ID;model_type;sequence_length;kernel_size;dilation_schedule;num_residual_blocks;channels_per_layer;convolutions_per_block;dropout;input_dim;head_pooling;use_weight_norm;activation;norm_in_block;output_clamp_min;optimizer;learning_rate;weight_decay;loss;grad_clip;batch_size;seed
128;TCN;50;3;1,2,4,8;4;64,64,64,64;2;0.1;12;last;TRUE;relu;none;;adamw;0.001;0.01;mse;1;128;42
129;TCN;50;4;1,2,4,8;4;64,64,64,64;2;0.1;12;last;TRUE;relu;none;;adamw;0.001;0.01;mse;1;128;42
130;TCN;50;5;1,2,4,8;4;64,64,64,64;2;0.1;12;last;TRUE;relu;none;;adamw;0.001;0.01;mse;1;128;42
131;TCN;50;3;1,2,4,8,16;5;64,64,64,64,64;2;0.1;12;last;TRUE;relu;none;;adamw;0.001;0.01;mse;1;128;42
132;TCN;50;4;1,2,4,8,16;5;64,64,64,64,64;2;0.1;12;last;TRUE;relu;none;;adamw;0.001;0.01;mse;1;128;42
133;TCN;50;5;1,2,4,8,16;5;64,64,64,64,64;2;0.1;12;last;TRUE;relu;none;;adamw;0.001;0.01;mse;1;128;42
134;TCN;50;3;1,2,4,8,16,32;6;64,64,64,64,64,64;2;0.1;12;last;TRUE;relu;none;;adamw;0.001;0.01;mse;1;128;42
135;TCN;50;4;1,2,4,8,16,32;6;64,64,64,64,64,64;2;0.1;12;last;TRUE;relu;none;;adamw;0.001;0.01;mse;1;128;42
136;TCN;50;5;1,2,4,8,16,32;6;64,64,64,64,64,64;2;0.1;12;last;TRUE;relu;none;;adamw;0.001;0.01;mse;1;128;42
137;TCN;100;5;1,2,4,8;4;64,64,64,64;2;0.1;12;last;TRUE;relu;none;;adamw;0.001;0.01;mse;1;128;42
138;TCN;100;3;1,2,4,8,16;5;64,64,64,64,64;2;0.1;12;last;TRUE;relu;none;;adamw;0.001;0.01;mse;1;128;42
139;TCN;100;4;1,2,4,8,16;5;64,64,64,64,64;2;0.1;12;last;TRUE;relu;none;;adamw;0.001;0.01;mse;1;128;42
140;TCN;100;5;1,2,4,8,16;5;64,64,64,64,64;2;0.1;12;last;TRUE;relu;none;;adamw;0.001;0.01;mse;1;128;42
141;TCN;100;3;1,2,4,8,16,32;6;64,64,64,64,64,64;2;0.1;12;last;TRUE;relu;none;;adamw;0.001;0.01;mse;1;128;42
142;TCN;100;4;1,2,4,8,16,32;6;64,64,64,64,64,64;2;0.1;12;last;TRUE;relu;none;;adamw;0.001;0.01;mse;1;128;42
143;TCN;100;5;1,2,4,8,16,32;6;64,64,64,64,64,64;2;0.1;12;last;TRUE;relu;none;;adamw;0.001;0.01;mse;1;128;42
144;TCN;150;4;1,2,4,8,16;5;64,64,64,64,64;2;0.1;12;last;TRUE;relu;none;;adamw;0.001;0.01;mse;1;128;42
145;TCN;150;5;1,2,4,8,16;5;64,64,64,64,64;2;0.1;12;last;TRUE;relu;none;;adamw;0.001;0.01;mse;1;128;42
146;TCN;150;3;1,2,4,8,16,32;6;64,64,64,64,64,64;2;0.1;12;last;TRUE;relu;none;;adamw;0.001;0.01;mse;1;128;42
147;TCN;150;4;1,2,4,8,16,32;6;64,64,64,64,64,64;2;0.1;12;last;TRUE;relu;none;;adamw;0.001;0.01;mse;1;128;42
148;TCN;150;5;1,2,4,8,16,32;6;64,64,64,64,64,64;2;0.1;12;last;TRUE;relu;none;;adamw;0.001;0.01;mse;1;128;42
149;TCN;200;5;1,2,4,8,16;5;64,64,64,64,64;2;0.1;12;last;TRUE;relu;none;;adamw;0.001;0.01;mse;1;128;42
150;TCN;200;3;1,2,4,8,16,32;6;64,64,64,64,64,64;2;0.1;12;last;TRUE;relu;none;;adamw;0.001;0.01;mse;1;128;42
151;TCN;200;4;1,2,4,8,16,32;6;64,64,64,64,64,64;2;0.1;12;last;TRUE;relu;none;;adamw;0.001;0.01;mse;1;128;42
152;TCN;200;5;1,2,4,8,16,32;6;64,64,64,64,64,64;2;0.1;12;last;TRUE;relu;none;;adamw;0.001;0.01;mse;1;128;42
