time,veh_u,veh_v,model_GRU_lon_2080.pt
0.0,0.0,0.0,-0.036532629281282425
0.01,0.0,0.0,-0.036532629281282425
0.02,0.0,0.0,-0.036532629281282425
0.03,0.0,0.0,-0.036532629281282425
0.04,0.0,0.0,-0.036532629281282425
0.05,0.0,0.0,-0.036532629281282425
0.06,0.0,0.0,-0.036532629281282425
0.07,0.0,0.0,-0.036532629281282425
0.08,0.0,0.0,-0.036532629281282425
0.09,0.0,0.0,-0.036532629281282425
0.1,0.0,0.0,-0.036532629281282425
0.11,0.0,0.0,-0.036532629281282425
0.12,0.0,0.0,-0.036532629281282425
0.13,0.0,0.0,-0.036532629281282425
0.14,0.0,0.0,-0.036532629281282425
0.15,0.0,0.00105,-0.036532629281282425
0.16,0.0,0.00131,-0.036532629281282425
0.17,0.0,0.00152,-0.036532629281282425
0.18,0.0,0.0017,-0.036532629281282425
0.19,0.0,0.00183,-0.036532629281282425
0.2,0.0,0.00192,-0.036532629281282425
0.21,0.0,0.00197,-0.036532629281282425
0.22,0.0,0.00198,-0.036532629281282425
0.23,0.0,0.00196,-0.036532629281282425
0.24,0.0,0.0019,-0.036532629281282425
0.25,0.0,0.0018,-0.036532629281282425
0.26,0.0,0.00168,-0.036532629281282425
0.27,0.0,0.00153,-0.036532629281282425
0.28,0.0,0.00135,-0.036532629281282425
0.29,0.0,0.00115,-0.036532629281282425
0.3,0.0,0.0,-0.036532629281282425
0.31,0.0,0.0,-0.036532629281282425
0.32,0.0,0.0,-0.036532629281282425
0.33,0.0,0.0,-0.036532629281282425
0.34,0.0,0.0,-0.036532629281282425
0.35,0.0,0.0,-0.036532629281282425
0.36,0.0,0.0,-0.036532629281282425
0.37,0.0,0.0,-0.036532629281282425
0.38,0.0,0.0,-0.036532629281282425
0.39,0.0,0.0,-0.036532629281282425
0.4,0.0,0.0,-0.036532629281282425
0.41,0.0,0.0,-0.036532629281282425
0.42,0.0,0.0,-0.036532629281282425
0.43,0.0,0.0,-0.036532629281282425
0.44,0.0,0.0,-0.036532629281282425
0.45,0.0,0.0,-0.036532629281282425
0.46,0.0,0.0,-0.036532629281282425
0.47,0.0,0.0,-0.036532629281282425
0.48,0.0,0.0,-0.036532629281282425
0.49,0.0,0.0,-0.036532629281282425
0.5,0.0,0.0,-0.036532629281282425
0.51,0.0,0.0,-0.036532629281282425
0.52,0.0,0.0,-0.036532629281282425
0.53,0.0,0.0,-0.036532629281282425
0.54,0.0,0.0,-0.036532629281282425
0.55,0.0,0.0,-0.036532629281282425
0.56,0.0,0.0,-0.036532629281282425
0.57,0.0,0.0,-0.036532629281282425
0.58,0.0,0.0,-0.036532629281282425
0.59,0.0,0.0,-0.036532629281282425
0.6,0.0,0.0,-0.036532629281282425
0.61,0.0,0.0,-0.036532629281282425
0.62,0.0,0.0,-0.036532629281282425
0.63,0.0,0.0,-0.036532629281282425
0.64,0.0,0.0,-0.036532629281282425
0.65,0.0,0.0,-0.036532629281282425
0.66,0.0,0.0,-0.036532629281282425
0.67,0.0,0.0,-0.036532629281282425
0.68,0.0,0.0,-0.036532629281282425
0.69,0.0,0.0,-0.036532629281282425
0.7,0.0,0.0,-0.036532629281282425
0.71,0.0,0.0,-0.036532629281282425
0.72,0.0,0.00116,-0.036532629281282425
0.73,0.0,0.00145,-0.036532629281282425
0.74,0.0,0.00172,-0.036532629281282425
0.75,0.0,0.00199,-0.036532629281282425
0.76,0.0,0.00224,-0.036532629281282425
0.77,0.0,0.00247,-0.036532629281282425
0.78,0.0,0.00269,-0.036532629281282425
0.79,0.0,0.00288,-0.036532629281282425
0.8,0.0,0.00306,-0.036532629281282425
0.81,0.0,0.00321,-0.036532629281282425
0.82,0.0,0.00331,-0.036532629281282425
0.83,0.0,0.00342,-0.036532629281282425
0.84,0.0,0.00351,-0.036532629281282425
0.85,0.0,0.00355,-0.036532629281282425
0.86,0.0,0.00357,-0.036532629281282425
0.87,0.0,0.00356,-0.036532629281282425
0.88,0.0,0.00353,-0.036532629281282425
0.89,0.0,0.00346,-0.036532629281282425
0.9,0.0,0.00338,-0.03687473386526108
0.91,0.0,0.00327,-0.03716055303812027
0.92,0.0,0.00314,-0.0374254547059536
0.93,0.0,0.00299,-0.0376373827457428
0.94,0.0,0.00286,-0.03780437260866165
0.95,0.0,0.00268,-0.03789322078227997
0.96,0.0,0.00244,-0.03787482529878616
0.97,0.0,0.00224,-0.03776102513074875
0.98,0.0,0.00203,-0.037623897194862366
0.99,0.0,0.00181,-0.037458278238773346
1.0,0.0,0.00159,-0.037263885140419006
1.01,0.0,0.00137,-0.037021659314632416
1.02,0.0,0.00116,-0.03674938902258873
1.03,0.0,0.0,-0.03643372654914856
1.04,0.0,0.0,-0.03610082343220711
1.05,0.0,0.0,-0.035746559500694275
1.06,0.0,0.0,-0.0353839248418808
1.07,0.0,0.0,-0.035081371665000916
1.08,0.0,0.0,-0.03482126444578171
