time_series,imu_COG_acc_x,imu_COG_acc_y,imu_COG_acc_z,imu_COG_gyro_roll_rate,imu_COG_gyro_pitch_rate,imu_COG_gyro_yaw_rate,wheel_speed_FL,wheel_speed_FR,wheel_speed_RL,wheel_speed_RR,drive_torque_FL,drive_torque_FR,drive_torque_RL,drive_torque_RR,brake_pressure_FL,brake_pressure_FR,brake_pressure_RL,brake_pressure_RR,rwa_FM,rwa_RM,veh_u,veh_v
0,0.15282,0,0,0,0,0,0,0,0,0,0,0,0.17114,0.17114,29.06667,29.06667,22.68421,22.68421,0,0,0,0.01272
0.002,0.15282,0,0,0,0,0,0,0,0,0,0,0,0.17114,0.17114,29.06667,29.06667,22.68421,22.68421,0,0,0,0.01262
0.004,0.15282,0,0,0,0,0,0,0,0,0,0,0,0.17114,0.17114,29.06667,29.06667,22.68421,22.68421,0,0,0,0.01251
0.006,0.17326,0,0,0,0,0.00195,0,0,0,0,0,0,0.17114,0.17114,29.06667,29.06667,22.68421,22.68421,0,0,0,0.01241
0.008,0.17326,0,0,0,0,0.00195,0,0,0,0,0,0,0.17114,0.17114,29.13333,29.13333,22.73684,22.73684,0,0,0,0.01231
0.01,0.17326,0,0,0,0,0.00195,0,0,0,0,0,0,0.17114,0.17114,29.13333,29.13333,22.73684,22.73684,0,0,0,0.0122
0.012,0.17326,0,0,0,0,0.00195,0,0,0,0,0,0,0.17114,0.17114,29.13333,29.13333,22.73684,22.73684,0,0,0,0.01209
0.014,0.17326,0,0,0,0,0.00195,0,0,0,0,0,0,0.17114,0.17114,29.13333,29.13333,22.73684,22.73684,0,0,0,0.01198
0.016,0.20813,0,0,0,0,0.002,0,0,0,0,0,0,0.17114,0.17114,29.13333,29.13333,22.73684,22.73684,0,0,0,0.01187
0.018,0.20813,0,0,0,0,0.002,0,0,0,0,0,0,0.17114,0.17114,29.16667,29.16667,22.73684,22.73684,0,0,0,0.01176
0.02,0.20813,0,0,0,0,0.002,0,0,0,0,0,0,0.17114,0.17114,29.16667,29.16667,22.73684,22.73684,0,0,0,0.01165
0.022,0.20813,0,0,0,0,0.002,0,0,0,0,0,0,0.17114,0.17114,29.16667,29.16667,22.73684,22.73684,0,0,0,0.01154
0.024,0.20813,0,0,0,0,0.002,0,0,0,0,0,0,0.17114,0.17114,29.16667,29.16667,22.73684,22.73684,0,0,0,0.01142
0.026,0.23526,0,0,0,0,0.002,0,0,0,0,0,0,0.17114,0.17114,29.16667,29.16667,22.73684,22.73684,0,0,0,0.01131
0.028,0.23526,0,0,0,0,0.002,0,0,0,0,0,0,0.17114,0.17114,29.16667,29.16667,22.73684,22.73684,0,0,0,0.01119
0.03,0.23526,0,0,0,0,0.002,0,0,0,0,0,0,0.17114,0.17114,29.16667,29.16667,22.73684,22.73684,0,0,0,0.01107
0.032,0.23526,0,0,0,0,0.002,0,0,0,0,0,0,0.17114,0.17114,29.16667,29.16667,22.73684,22.73684,0,0,0,0.01095
0.034,0.23526,0,0,0,0,0.002,0,0,0,0,0,0,0.17114,0.17114,29.16667,29.16667,22.73684,22.73684,0,0,0,0.01084
0.036,0.25528,0,0,0,0,0.002,0,0,0,0,0,0,0.17114,0.17114,29.16667,29.16667,22.73684,22.73684,0,0,0,0.01071
0.038,0.25528,0,0,0,0,0.002,0,0,0,0,0,0,0.17114,0.17114,29.2,29.2,22.78947,22.78947,0,0,0,0.01059
0.04,0.25528,0,0,0,0,0.002,0,0,0,0,0,0,0.17114,0.17114,29.2,29.2,22.78947,22.78947,0,0,0,0.01047
0.042,0.25528,0,0,0,0,0.002,0,0,0,0,0,0,0.17114,0.17114,29.2,29.2,22.78947,22.78947,0,0,0,0.01035
0.044,0.25528,0,0,0,0,0.002,0,0,0,0,0,0,0.17114,0.17114,29.2,29.2,22.78947,22.78947,0,0,0,0.01022
0.046,0.2829,0,0,0,0,0.002,0,0,0,0,0,0,0.17114,0.17114,29.2,29.2,22.78947,22.78947,0,0,0,0.0101
0.048,0.2829,0,0,0,0,0.002,0,0,0,0,0,0,0.17114,0.17114,29.23333,29.23333,22.78947,22.78947,0,0,0,0.00997
0.05,0.2829,0,0,0,0,0.002,0,0,0,0,0,0,0.17114,0.17114,29.23333,29.23333,22.78947,22.78947,0,0,0,0.00985
0.052,0.2829,0,0,0,0,0.002,0,0,0,0,0,0,0.17114,0.17114,29.23333,29.23333,22.78947,22.78947,0,0,0,0.00972
