time_series,imu_COG_acc_x,imu_COG_acc_y,imu_COG_acc_z,imu_COG_gyro_roll_rate,imu_COG_gyro_pitch_rate,imu_COG_gyro_yaw_rate,wheel_speed_FL,wheel_speed_FR,wheel_speed_RL,wheel_speed_RR,drive_torque_FL,drive_torque_FR,drive_torque_RL,drive_torque_RR,brake_pressure_FL,brake_pressure_FR,brake_pressure_RL,brake_pressure_RR,rwa_FM,rwa_RM,veh_u,veh_v
0,0.48863,0.05455,0.05455,0,0,0.00212,0,0,0,0,0.8548,0.8548,1.08386,1.08386,38.8,38.8,30.21053,30.21053,0,0,0,0.00455
0.002,0.48863,0.05455,0.05455,0,0,0.00212,0,0,0,0,0.8548,0.8548,1.08386,1.08386,38.8,38.8,30.21053,30.21053,0,0,0,0.00444
0.004,0.48863,0.05455,0.05455,0,0,0.00212,0,0,0,0,0.8548,0.8548,1.08386,1.08386,38.8,38.8,30.21053,30.21053,0,0,0,0.00433
0.006,0.48863,0.05455,0.05455,0,0,0.00212,0,0,0,0,0.8548,0.8548,1.08386,1.08386,38.8,38.8,30.21053,30.21053,0,0,0,0.00422
0.008,0.48878,0,0,0,0,0.00212,0,0,0,0,0.8548,0.8548,1.08386,1.08386,38.76667,38.76667,30.21053,30.21053,0,0,0,0.0041
0.01,0.48878,0,0,0,0,0,0,0,0,0,0.8548,0.8548,1.08386,1.08386,38.76667,38.76667,30.21053,30.21053,0,0,0,0.00399
0.012,0.48878,0,0,0,0,0,0,0,0,0,0.8548,0.8548,1.08386,1.08386,38.76667,38.76667,30.21053,30.21053,0,0,0,0.00388
0.014,0.48878,0,0,0,0,0,0,0,0,0,0.68384,0.68384,1.08386,1.08386,38.76667,38.76667,30.21053,30.21053,0,0,0,0.00377
0.016,0.48878,0,0,0,0,0,0,0,0,0,0.68384,0.68384,1.08386,1.08386,38.76667,38.76667,30.21053,30.21053,0,0,0,0.00366
0.018,0.51179,0.00759,0.00759,0,0,0,0,0,0,0,0.68384,0.68384,1.08386,1.08386,38.73333,38.73333,30.21053,30.21053,0,0,0,0.00355
0.02,0.51179,0.00759,0.00759,0,0,0.00209,0,0,0,0,0.68384,0.68384,1.08386,1.08386,38.73333,38.73333,30.21053,30.21053,0,0,0,0.00344
0.022,0.51179,0.00759,0.00759,0,0,0.00209,0,0,0,0,0.68384,0.68384,1.08386,1.08386,38.73333,38.73333,30.21053,30.21053,0,0,0,0.00332
0.024,0.51179,0.00759,0.00759,0,0,0.00209,0,0,0,0,0.68384,0.68384,1.08386,1.08386,38.73333,38.73333,30.21053,30.21053,0,0,0,0.00321
0.026,0.51179,0.00759,0.00759,0,0,0.00209,0,0,0,0,0.68384,0.68384,1.08386,1.08386,38.73333,38.73333,30.21053,30.21053,0,0,0,0.0031
0.028,0.5076,0.04656,0.04656,0,0,0.00209,0,0,0,0,0.68384,0.68384,1.08386,1.08386,38.7,38.7,30.15789,30.15789,0,0,0,0.00299
0.03,0.5076,0.04656,0.04656,0,0,0.00209,0,0,0,0,0.68384,0.68384,1.08386,1.08386,38.7,38.7,30.15789,30.15789,0,0,0,0.00288
0.032,0.5076,0.04656,0.04656,0,0,0.00209,0,0,0,0,0.68384,0.68384,1.08386,1.08386,38.7,38.7,30.15789,30.15789,0,0,0,0.00277
0.034,0.5076,0.04656,0.04656,0,0,0.00209,0,0,0,0,0.39891,0.39891,0.85568,0.85568,38.7,38.7,30.15789,30.15789,0,0,0,0.00266
