time_series,imu_COG_acc_x,imu_COG_acc_y,imu_COG_acc_z,imu_COG_gyro_roll_rate,imu_COG_gyro_pitch_rate,imu_COG_gyro_yaw_rate,wheel_speed_FL,wheel_speed_FR,wheel_speed_RL,wheel_speed_RR,drive_torque_FL,drive_torque_FR,drive_torque_RL,drive_torque_RR,brake_pressure_FL,brake_pressure_FR,brake_pressure_RL,brake_pressure_RR,rwa_FM,rwa_RM,veh_u,veh_v
0,0.21008,0,0,0,0,0,0,0,0,0,0,0,0,0,28.53333,28.53333,22.26316,22.26316,0.00588,0,0,0.01695
0.002,0.21008,0,0,0,0,0,0,0,0,0,0,0,0,0,28.53333,28.53333,22.26316,22.26316,0.0059,0,0,0.01668
0.004,0.21008,0,0,0,0,0,0,0,0,0,0,0,0,0,28.53333,28.53333,22.26316,22.26316,0.00592,0,0,0.01641
0.006,0.21008,0,0,0,0,0,0,0,0,0,0,0,0,0,28.56667,28.56667,22.26316,22.26316,0.00594,0,0,0.01615
0.008,0.21008,0,0,0,0,0,0,0,0,0,0,0,0,0,28.56667,28.56667,22.26316,22.26316,0.00596,0,0,0.01588
0.01,0.21008,0,0,0,0,0,0,0,0,0,0,0,0,0,28.56667,28.56667,22.26316,22.26316,0.00597,0,0,0.01561
0.012,0.21008,0,0,0,0,0,0,0,0,0,0,0,0,0,28.56667,28.56667,22.26316,22.26316,0.00599,0,0,0.01534
0.014,0.21008,0,0,0,0,0,0,0,0,0,0,0,0,0,28.56667,28.56667,22.26316,22.26316,0.00601,0,0,0.01508
0.016,0.21008,0,0,0,0,0,0,0,0,0,0,0,0,0,28.53333,28.53333,22.26316,22.26316,0.00602,0,0,0.01481
0.018,0.21399,0,0,0,0,0,0,0,0,0,0,0,0,0,28.53333,28.53333,22.26316,22.26316,0.00603,0,0,0.01454
0.02,0.21399,0,0,0,0,0,0,0,0,0,0,0,0,0,28.53333,28.53333,22.26316,22.26316,0.00605,0,0,0.01428
0.022,0.21399,0,0,0,0,0,0,0,0,0,0,0,0,0,28.53333,28.53333,22.26316,22.26316,0.00607,0,0,0.01401
0.024,0.21399,0,0,0,0,0,0,0,0,0,0,0,0,0,28.53333,28.53333,22.26316,22.26316,0.00607,0,0,0.01374
0.026,0.21399,0,0,0,0,0,0,0,0,0,0,0,0,0,28.56667,28.56667,22.26316,22.26316,0.00609,0,0,0.01348
0.028,0.20618,0,0,0,0,0,0,0,0,0,0,0,0,0,28.56667,28.56667,22.26316,22.26316,0.0061,0,0,0.01322
0.03,0.20618,0,0,0,0,0,0,0,0,0,0,0,0,0,28.56667,28.56667,22.26316,22.26316,0.00612,0,0,0.01295
