time_series,imu_COG_acc_x,imu_COG_acc_y,imu_COG_acc_z,imu_COG_gyro_roll_rate,imu_COG_gyro_pitch_rate,imu_COG_gyro_yaw_rate,wheel_speed_FL,wheel_speed_FR,wheel_speed_RL,wheel_speed_RR,drive_torque_FL,drive_torque_FR,drive_torque_RL,drive_torque_RR,brake_pressure_FL,brake_pressure_FR,brake_pressure_RL,brake_pressure_RR,rwa_FM,rwa_RM,veh_u,veh_v
0,0,0,0,0.00391,0,0,0,0,0,0,0,0,0,0,18.33333,18.33333,14.31579,14.31579,0.00623,0,0.05073,0
0.002,0,0,0,0.00391,0,0,0,0,0,0,0,0,0,0,18.33333,18.33333,14.31579,14.31579,0.00611,0,0.04971,0
0.004,0,0,0,0.00391,0,0,0,0,0,0,0,0,0,0,18.33333,18.33333,14.31579,14.31579,0.00598,0,0.04868,0
0.006,0,0,0,0.00391,0,0,0,0,0,0,0,0,0,0,18.33333,18.33333,14.31579,14.31579,0.00586,0,0.04763,0
0.008,0,0,0,0.00391,0.00195,0,0,0,0,0,0,0,0,0,18.33333,18.33333,14.31579,14.31579,0.00574,0,0.04658,0
0.01,0,0,0,0.00391,0.00195,0,0,0,0,0,0,0,0,0,18.4,18.4,14.36842,14.36842,0.00562,0,0.04555,0
0.012,0,0,0,0.00391,0.00195,0,0,0,0,0,0,0,0,0,18.4,18.4,14.36842,14.36842,0.0055,0,0.04449,0
0.014,0,0,0,0.00391,0.00195,0,0,0,0,0,0,0,0,0,18.4,18.4,14.36842,14.36842,0.00539,0,0.04343,0
0.016,0,0,0,0.00391,0.00195,0,0,0,0,0,0,0,0,0,18.4,18.4,14.36842,14.36842,0.00527,0,0.04236,0
0.018,0,0,0,0.00391,0.00195,0,0,0,0,0,0,0,0,0,18.4,18.4,14.36842,14.36842,0.00515,0,0.04128,0
0.02,0,0,0,0.00391,0.00195,0,0,0,0,0,0,0,0,0,18.6,18.6,14.47368,14.47368,0.00504,0,0.04022,0
0.022,0,0,0,0.00391,0.00195,0,0,0,0,0,0,0,0,0,18.6,18.6,14.47368,14.47368,0.00493,0,0.03915,0
