time_series,imu_COG_acc_x,imu_COG_acc_y,imu_COG_acc_z,imu_COG_gyro_roll_rate,imu_COG_gyro_pitch_rate,imu_COG_gyro_yaw_rate,wheel_speed_FL,wheel_speed_FR,wheel_speed_RL,wheel_speed_RR,drive_torque_FL,drive_torque_FR,drive_torque_RL,drive_torque_RR,brake_pressure_FL,brake_pressure_FR,brake_pressure_RL,brake_pressure_RR,rwa_FM,rwa_RM,veh_u,veh_v
0,0.48473,0,0,0,0,0.00205,0,0,0,0,0.68384,0.68384,0.17114,0.17114,20.63333,20.63333,16.10526,16.10526,0,0,0,0.00719
0.002,0.49994,0,0,0,0,0.00205,0,0,0,0,0.68384,0.68384,0.17114,0.17114,20.7,20.7,16.10526,16.10526,0,0,0,0.007
0.004,0.49994,0,0,0,0,0.00209,0,0,0,0,0.68384,0.68384,0.17114,0.17114,20.7,20.7,16.10526,16.10526,0,0,0,0.00681
0.006,0.49994,0,0,0,0,0.00209,0,0,0,0,0.68384,0.68384,0.17114,0.17114,20.7,20.7,16.10526,16.10526,0,0,0,0.00662
0.008,0.49994,0,0,0,0,0.00209,0,0,0,0,0.68384,0.68384,0.17114,0.17114,20.7,20.7,16.10526,16.10526,0,0,0,0.00643
0.01,0.49994,0,0,0,0,0.00209,0,0,0,0,0.68384,0.68384,0.17114,0.17114,20.7,20.7,16.10526,16.10526,0,0,0,0.00624
0.012,0.51528,0,0,0,0,0.00209,0,0,0,0,0.68384,0.68384,0.17114,0.17114,20.7,20.7,16.10526,16.10526,0,0,0,0.00605
0.014,0.51528,0,0,0,0,0.00208,0,0,0,0,0.68384,0.68384,0.17114,0.17114,20.7,20.7,16.10526,16.10526,0,0,0,0.00587
0.016,0.51528,0,0,0,0,0.00208,0,0,0,0,0.68384,0.68384,0.17114,0.17114,20.7,20.7,16.10526,16.10526,0,0,0,0.00568
0.018,0.51528,0,0,0,0,0.00208,0,0,0,0,0.68384,0.68384,0.17114,0.17114,20.7,20.7,16.10526,16.10526,0,0,0,0.00549
0.02,0.51528,0,0,0,0,0.00208,0,0,0,0,0.68384,0.68384,0.17114,0.17114,20.7,20.7,16.10526,16.10526,0,0,0,0.0053
0.022,0.51919,0,0,0,0,0.00208,0,0,0,0,0.68384,0.68384,0.17114,0.17114,20.66667,20.66667,16.10526,16.10526,0,0,0,0.00512
0.024,0.51919,0,0,0,0,0,0,0,0,0,0.68384,0.68384,0.17114,0.17114,20.66667,20.66667,16.10526,16.10526,0,0,0,0.00493
0.026,0.51919,0,0,0,0,0,0,0,0,0,0.68384,0.68384,0.17114,0.17114,20.66667,20.66667,16.10526,16.10526,0,0,0,0.00475
0.028,0.51919,0,0,0,0,0,0,0,0,0,0.68384,0.68384,0.17114,0.17114,20.66667,20.66667,16.10526,16.10526,0,0,0,0.00456
0.03,0.51919,0,0,0,0,0,0,0,0,0,0.68384,0.68384,0.17114,0.17114,20.66667,20.66667,16.10526,16.10526,0,0,0,0.00438
0.032,0.51912,0,0,0,0,0,0,0,0,0,0.68384,0.68384,0.17114,0.17114,20.66667,20.66667,16.10526,16.10526,0,0,0,0.0042
0.034,0.51912,0,0,0,0,0.00209,0,0,0,0,0.68384,0.68384,0.17114,0.17114,20.66667,20.66667,16.10526,16.10526,0,0,0,0.00402
0.036,0.51912,0,0,0,0,0.00209,0,0,0,0,0.68384,0.68384,0.17114,0.17114,20.66667,20.66667,16.10526,16.10526,0,0,0,0.00384
0.038,0.51912,0,0,0,0,0.00209,0,0,0,0,0.68384,0.68384,0.17114,0.17114,20.66667,20.66667,16.10526,16.10526,0,0,0,0.00366
0.04,0.51912,0,0,0,0,0.00209,0,0,0,0,0.68384,0.68384,0.17114,0.17114,20.66667,20.66667,16.10526,16.10526,0,0,0,0.00348
0.042,0.49136,0,0,0,0,0.00209,0,0,0,0,0.68384,0.68384,0.17114,0.17114,20.73333,20.73333,16.15789,16.15789,0,0,0,0.0033
0.044,0.49136,0,0,0,0,0,0,0,0,0,0.68384,0.68384,0.17114,0.17114,20.73333,20.73333,16.15789,16.15789,0,0,0,0.00313
0.046,0.49136,0,0,0,0,0,0,0,0,0,0.39891,0.39891,0.17114,0.17114,20.73333,20.73333,16.15789,16.15789,0,0,0,0.00295
0.048,0.49136,0,0,0,0,0,0,0,0,0,0.39891,0.39891,0.17114,0.17114,20.73333,20.73333,16.15789,16.15789,0,0,0,0.00278
0.05,0.49136,0,0,0,0,0,0,0,0,0,0.39891,0.39891,0.17114,0.17114,20.73333,20.73333,16.15789,16.15789,0,0,0,0.0026
0.052,0.46011,0,0,0,0,0,0,0,0,0,0.39891,0.39891,0.17114,0.17114,20.73333,20.73333,16.15789,16.15789,0,0,0,0.00243
0.054,0.46011,0,0,0,0,0,0,0,0,0,0.39891,0.39891,0.17114,0.17114,20.73333,20.73333,16.15789,16.15789,0,0,0,0.00226
0.056,0.46011,0,0,0,0,0,0,0,0,0,0.39891,0.39891,0.17114,0.17114,20.73333,20.73333,16.15789,16.15789,0,0,0,0.00209
0.058,0.46011,0,0,0,0,0,0,0,0,0,0.39891,0.39891,0.17114,0.17114,20.73333,20.73333,16.15789,16.15789,0,0,0,0.00193
0.06,0.46011,0,0,0,0,0,0,0,0,0,0.39891,0.39891,0.17114,0.17114,20.73333,20.73333,16.15789,16.15789,0,0,0,0.00176
0.062,0.44428,0,0,0,0,0,0,0,0,0,0.39891,0.39891,0.17114,0.17114,20.73333,20.73333,16.15789,16.15789,0,0,0,0.00159
0.064,0.44428,0,0,0,0,0,0,0,0,0,0.39891,0.39891,0.17114,0.17114,20.73333,20.73333,16.15789,16.15789,0,0,0,0.00143
0.066,0.44428,0,0,0,0,0,0,0,0,0,0.17096,0.17096,0.17114,0.17114,20.73333,20.73333,16.15789,16.15789,0,0,0,0.00127
0.068,0.44428,0,0,0,0,0,0,0,0,0,0.17096,0.17096,0.17114,0.17114,20.73333,20.73333,16.15789,16.15789,0,0,0,0.00111
0.07,0.44428,0,0,0,0,0,0,0,0,0,0.17096,0.17096,0.17114,0.17114,20.73333,20.73333,16.15789,16.15789,0,0,0,0
0.072,0.42831,0,0,0,0,0,0,0,0,0,0.17096,0.17096,0.17114,0.17114,20.8,20.8,16.21053,16.21053,0,0,0,0
0.074,0.42831,0,0,0,0,0,0,0,0,0,0.17096,0.17096,0.17114,0.17114,20.8,20.8,16.21053,16.21053,0,0,0,0
0.076,0.42831,0,0,0,0,0,0,0,0,0,0.17096,0.17096,0.17114,0.17114,20.8,20.8,16.21053,16.21053,0,0,0,0
0.078,0.42831,0,0,0,0,0,0,0,0,0,0.17096,0.17096,0.17114,0.17114,20.8,20.8,16.21053,16.21053,0,0,0,0
0.08,0.42831,0,0,0,0,0,0,0,0,0,0.17096,0.17096,0.17114,0.17114,20.8,20.8,16.21053,16.21053,0,0,0,0
0.082,0.40453,0,0,0,0,0,0,0,0,0,0.17096,0.17096,0.17114,0.17114,20.83333,20.83333,16.21053,16.21053,0,0,0,0
