time_series,imu_COG_acc_x,imu_COG_acc_y,imu_COG_acc_z,imu_COG_gyro_roll_rate,imu_COG_gyro_pitch_rate,imu_COG_gyro_yaw_rate,wheel_speed_FL,wheel_speed_FR,wheel_speed_RL,wheel_speed_RR,drive_torque_FL,drive_torque_FR,drive_torque_RL,drive_torque_RR,brake_pressure_FL,brake_pressure_FR,brake_pressure_RL,brake_pressure_RR,rwa_FM,rwa_RM,veh_u,veh_v
0,0.23331,0,0,0,0,0,0,0,0,0,2.67837,2.67837,2.9093,2.9093,12.96667,12.96667,10.10526,10.10526,0,0,0,0.0047
0.002,0.23331,0,0,0,0,0,0,0,0,0,2.67837,2.67837,2.9093,2.9093,12.96667,12.96667,10.10526,10.10526,0,0,0,0.00463
0.004,0.23331,0,0,0,0,0,0,0,0,0,2.67837,2.67837,2.9093,2.9093,12.96667,12.96667,10.10526,10.10526,0,0,0,0.00455
0.006,0.23331,0,0,0,0,0,0,0,0,0,2.67837,2.67837,2.9093,2.9093,12.96667,12.96667,10.10526,10.10526,0,0,0,0.00448
0.008,0.23331,0,0,0,0,0,0,0,0,0,2.67837,2.67837,2.9093,2.9093,12.96667,12.96667,10.10526,10.10526,0,0,0,0.00441
0.01,0.23331,0,0,0,0,0,0,0,0,0,2.67837,2.67837,2.9093,2.9093,12.96667,12.96667,10.10526,10.10526,0,0,0,0.00433
0.012,0.23331,0,0,0,0,0,0,0,0,0,2.67837,2.67837,2.9093,2.9093,12.96667,12.96667,10.10526,10.10526,0,0,0,0.00426
0.014,0.24133,0,0,0,0,0,0,0,0,0,2.67837,2.67837,2.9093,2.9093,12.96667,12.96667,10.10526,10.10526,0,0,0,0.00419
0.016,0.24133,0,0,0,0,0,0,0,0,0,2.67837,2.67837,2.9093,2.9093,12.96667,12.96667,10.10526,10.10526,0,0,0,0.00411
0.018,0.24133,0,0,0,0,0,0,0,0,0,2.67837,2.67837,2.9093,2.9093,12.96667,12.96667,10.10526,10.10526,0,0,0,0.00404
0.02,0.24133,0,0,0,0,0,0,0,0,0,2.67837,2.67837,2.9093,2.9093,12.96667,12.96667,10.10526,10.10526,0,0,0,0.00397
0.022,0.24133,0,0,0,0,0,0,0,0,0,2.67837,2.67837,2.9093,2.9093,12.96667,12.96667,10.10526,10.10526,0,0,0,0.0039
0.024,0.24105,0,0,0,0,0,0,0,0,0,2.67837,2.67837,2.9093,2.9093,12.96667,12.96667,10.10526,10.10526,0,0,0,0.00383
0.026,0.24105,0,0,0,0,0,0,0,0,0,2.67837,2.67837,2.9093,2.9093,12.96667,12.96667,10.10526,10.10526,0,0,0,0.00376
0.028,0.24105,0,0,0,0,0,0,0,0,0,2.67837,2.67837,2.9093,2.9093,12.96667,12.96667,10.10526,10.10526,0,0,0,0.00369
0.03,0.24105,0,0,0,0,0,0,0,0,0,2.67837,2.67837,2.9093,2.9093,12.96667,12.96667,10.10526,10.10526,0,0,0,0.00362
0.032,0.24105,0,0,0,0,0,0,0,0,0,2.67837,2.67837,2.9093,2.9093,12.96667,12.96667,10.10526,10.10526,0,0,0,0.00355
0.034,0.22941,0,0,0,0,0.002,0,0,0,0,2.67837,2.67837,2.9093,2.9093,12.96667,12.96667,10.10526,10.10526,0,0,0,0.00348
0.036,0.22941,0,0,0,0,0.002,0,0,0,0,2.67837,2.67837,2.9093,2.9093,12.96667,12.96667,10.10526,10.10526,0,0,0,0.00341
0.038,0.22941,0,0,0,0,0.002,0,0,0,0,2.67837,2.67837,2.9093,2.9093,12.96667,12.96667,10.10526,10.10526,0,0,0,0.00334
0.04,0.22941,0,0,0,0,0.002,0,0,0,0,2.67837,2.67837,2.9093,2.9093,12.96667,12.96667,10.10526,10.10526,0,0,0,0.00327
0.042,0.22941,0,0,0,0,0.002,0,0,0,0,2.67837,2.67837,2.9093,2.9093,12.96667,12.96667,10.10526,10.10526,0,0,0,0.00321
0.044,0.24105,0,0,0,0,0.002,0,0,0,0,2.67837,2.67837,2.9093,2.9093,12.96667,12.96667,10.10526,10.10526,0,0,0,0.00314
0.046,0.24105,0,0,0,0,0.002,0,0,0,0,2.67837,2.67837,2.9093,2.9093,12.96667,12.96667,10.10526,10.10526,0,0,0,0.00307
0.048,0.24105,0,0,0,0,0.002,0,0,0,0,2.67837,2.67837,2.9093,2.9093,12.96667,12.96667,10.10526,10.10526,0,0,0,0.00301
0.05,0.24105,0,0,0,0,0.002,0,0,0,0,2.67837,2.67837,2.9093,2.9093,12.96667,12.96667,10.10526,10.10526,0,0,0,0.00294
0.052,0.24105,0,0,0,0,0.002,0,0,0,0,2.67837,2.67837,2.9093,2.9093,12.96667,12.96667,10.10526,10.10526,0,0,0,0.00288
0.054,0.23729,0,0,0,0,0,0,0,0,0,2.67837,2.67837,2.9093,2.9093,12.96667,12.96667,10.10526,10.10526,0,0,0,0.00281
0.056,0.23729,0,0,0,0,0,0,0,0,0,2.67837,2.67837,2.9093,2.9093,12.96667,12.96667,10.10526,10.10526,0,0,0,0.00275
0.058,0.23729,0,0,0,0,0,0,0,0,0,2.67837,2.67837,2.9093,2.9093,12.96667,12.96667,10.10526,10.10526,0,0,0,0.00269
0.06,0.23729,0,0,0,0,0,0,0,0,0,2.67837,2.67837,2.9093,2.9093,12.96667,12.96667,10.10526,10.10526,0,0,0,0.00263
0.062,0.23729,0,0,0,0,0,0,0,0,0,2.67837,2.67837,2.9093,2.9093,12.96667,12.96667,10.10526,10.10526,0,0,0,0.00256
0.064,0.22934,0,0,0,0,0,0,0,0,0,2.67837,2.67837,2.9093,2.9093,12.96667,12.96667,10.10526,10.10526,0,0,0,0.0025
0.066,0.22934,0,0,0,0,0,0,0,0,0,2.67837,2.67837,2.9093,2.9093,12.96667,12.96667,10.10526,10.10526,0,0,0,0.00244
0.068,0.22934,0,0,0,0,0,0,0,0,0,2.67837,2.67837,2.9093,2.9093,12.96667,12.96667,10.10526,10.10526,0,0,0,0.00238
0.07,0.22934,0,0,0,0,0,0,0,0,0,2.67837,2.67837,2.9093,2.9093,12.96667,12.96667,10.10526,10.10526,0,0,0,0.00233
0.072,0.22934,0,0,0,0,0,0,0,0,0,2.67837,2.67837,2.9093,2.9093,12.96667,12.96667,10.10526,10.10526,0,0,0,0.00227
0.074,0.23729,0,0,0,0,0,0,0,0,0,2.67837,2.67837,2.9093,2.9093,12.96667,12.96667,10.10526,10.10526,0,0,0,0.00221
