ID;model_type;d_model;dim_ff;num_of_layers;nhead;sequence_size;input_size;output_size;input_id;step_size;dropout
500;Transformer;16;32;1;2;30;12;1;2;5;0.1
501;Transformer;16;32;1;2;30;12;1;2;5;0.1
502;Transformer;16;32;1;2;30;12;1;2;5;0.1
503;Transformer;16;48;1;2;30;12;1;2;5;0.1
504;Transformer;16;48;1;2;30;12;1;2;5;0.1
505;Transformer;16;48;1;2;30;12;1;2;5;0.1
506;Transformer;16;64;1;2;30;12;1;2;5;0.1
507;Transformer;16;64;1;2;30;12;1;2;5;0.1
508;Transformer;16;64;1;2;30;12;1;2;5;0.1
509;Transformer;32;64;1;2;30;12;1;2;5;0.1
510;Transformer;32;64;1;2;30;12;1;2;5;0.1
511;Transformer;32;64;1;2;30;12;1;2;5;0.1
512;Transformer;32;96;1;2;30;12;1;2;5;0.1
513;Transformer;32;96;1;2;30;12;1;2;5;0.1
514;Transformer;32;96;1;2;30;12;1;2;5;0.1
515;Transformer;32;128;1;2;30;12;1;2;5;0.1
516;Transformer;32;128;1;2;30;12;1;2;5;0.1
517;Transformer;32;128;1;2;30;12;1;2;5;0.1
518;Transformer;64;128;1;2;30;12;1;2;5;0.1
519;Transformer;64;128;1;2;30;12;1;2;5;0.1
520;Transformer;64;128;1;2;30;12;1;2;5;0.1
521;Transformer;64;192;1;2;30;12;1;2;5;0.1
522;Transformer;64;192;1;2;30;12;1;2;5;0.1
523;Transformer;64;192;1;2;30;12;1;2;5;0.1
524;Transformer;64;256;1;2;30;12;1;2;5;0.1
525;Transformer;64;256;1;2;30;12;1;2;5;0.1
526;Transformer;64;256;1;2;30;12;1;2;5;0.1
527;Transformer;16;32;2;2;30;12;1;2;5;0.1
528;Transformer;16;32;2;2;30;12;1;2;5;0.1
529;Transformer;16;32;2;2;30;12;1;2;5;0.1
530;Transformer;16;48;2;2;30;12;1;2;5;0.1
531;Transformer;16;48;2;2;30;12;1;2;5;0.1
532;Transformer;16;48;2;2;30;12;1;2;5;0.1
533;Transformer;16;64;2;2;30;12;1;2;5;0.1
534;Transformer;16;64;2;2;30;12;1;2;5;0.1
535;Transformer;16;64;2;2;30;12;1;2;5;0.1
536;Transformer;32;64;2;2;30;12;1;2;5;0.1
537;Transformer;32;64;2;2;30;12;1;2;5;0.1
538;Transformer;32;64;2;2;30;12;1;2;5;0.1
539;Transformer;32;96;2;2;30;12;1;2;5;0.1
540;Transformer;32;96;2;2;30;12;1;2;5;0.1
541;Transformer;32;96;2;2;30;12;1;2;5;0.1
542;Transformer;32;128;2;2;30;12;1;2;5;0.1
543;Transformer;32;128;2;2;30;12;1;2;5;0.1
544;Transformer;32;128;2;2;30;12;1;2;5;0.1
545;Transformer;64;128;2;2;30;12;1;2;5;0.1
546;Transformer;64;128;2;2;30;12;1;2;5;0.1
547;Transformer;64;128;2;2;30;12;1;2;5;0.1
548;Transformer;64;192;2;2;30;12;1;2;5;0.1
549;Transformer;64;192;2;2;30;12;1;2;5;0.1
550;Transformer;64;192;2;2;30;12;1;2;5;0.1
551;Transformer;64;256;2;2;30;12;1;2;5;0.1
552;Transformer;64;256;2;2;30;12;1;2;5;0.1
553;Transformer;64;256;2;2;30;12;1;2;5;0.1
554;Transformer;16;32;3;2;30;12;1;2;5;0.1
555;Transformer;16;32;3;2;30;12;1;2;5;0.1
556;Transformer;16;32;3;2;30;12;1;2;5;0.1
557;Transformer;16;48;3;2;30;12;1;2;5;0.1
558;Transformer;16;48;3;2;30;12;1;2;5;0.1
559;Transformer;16;48;3;2;30;12;1;2;5;0.1
560;Transformer;16;64;3;2;30;12;1;2;5;0.1
561;Transformer;16;64;3;2;30;12;1;2;5;0.1
562;Transformer;16;64;3;2;30;12;1;2;5;0.1
563;Transformer;32;64;3;2;30;12;1;2;5;0.1
564;Transformer;32;64;3;2;30;12;1;2;5;0.1
565;Transformer;32;64;3;2;30;12;1;2;5;0.1
566;Transformer;32;96;3;2;30;12;1;2;5;0.1
567;Transformer;32;96;3;2;30;12;1;2;5;0.1
568;Transformer;32;96;3;2;30;12;1;2;5;0.1
569;Transformer;32;128;3;2;30;12;1;2;5;0.1
570;Transformer;32;128;3;2;30;12;1;2;5;0.1
571;Transformer;32;128;3;2;30;12;1;2;5;0.1
572;Transformer;64;128;3;2;30;12;1;2;5;0.1
573;Transformer;64;128;3;2;30;12;1;2;5;0.1
574;Transformer;64;128;3;2;30;12;1;2;5;0.1
575;Transformer;64;192;3;2;30;12;1;2;5;0.1
576;Transformer;64;192;3;2;30;12;1;2;5;0.1
577;Transformer;64;192;3;2;30;12;1;2;5;0.1
578;Transformer;64;256;3;2;30;12;1;2;5;0.1
579;Transformer;64;256;3;2;30;12;1;2;5;0.1
580;Transformer;64;256;3;2;30;12;1;2;5;0.1
581;Transformer;16;32;1;4;30;12;1;2;5;0.1
582;Transformer;16;32;1;4;30;12;1;2;5;0.1
583;Transformer;16;32;1;4;30;12;1;2;5;0.1
584;Transformer;16;48;1;4;30;12;1;2;5;0.1
585;Transformer;16;48;1;4;30;12;1;2;5;0.1
586;Transformer;16;48;1;4;30;12;1;2;5;0.1
587;Transformer;16;64;1;4;30;12;1;2;5;0.1
588;Transformer;16;64;1;4;30;12;1;2;5;0.1
589;Transformer;16;64;1;4;30;12;1;2;5;0.1
590;Transformer;32;64;1;4;30;12;1;2;5;0.1
591;Transformer;32;64;1;4;30;12;1;2;5;0.1
592;Transformer;32;64;1;4;30;12;1;2;5;0.1
593;Transformer;32;96;1;4;30;12;1;2;5;0.1
594;Transformer;32;96;1;4;30;12;1;2;5;0.1
595;Transformer;32;96;1;4;30;12;1;2;5;0.1
596;Transformer;32;128;1;4;30;12;1;2;5;0.1
597;Transformer;32;128;1;4;30;12;1;2;5;0.1
598;Transformer;32;128;1;4;30;12;1;2;5;0.1
599;Transformer;64;128;1;4;30;12;1;2;5;0.1
600;Transformer;64;128;1;4;30;12;1;2;5;0.1
601;Transformer;64;128;1;4;30;12;1;2;5;0.1
602;Transformer;64;192;1;4;30;12;1;2;5;0.1
603;Transformer;64;192;1;4;30;12;1;2;5;0.1
604;Transformer;64;192;1;4;30;12;1;2;5;0.1
605;Transformer;64;256;1;4;30;12;1;2;5;0.1
606;Transformer;64;256;1;4;30;12;1;2;5;0.1
607;Transformer;64;256;1;4;30;12;1;2;5;0.1
608;Transformer;16;32;2;4;30;12;1;2;5;0.1
609;Transformer;16;32;2;4;30;12;1;2;5;0.1
610;Transformer;16;32;2;4;30;12;1;2;5;0.1
611;Transformer;16;48;2;4;30;12;1;2;5;0.1
612;Transformer;16;48;2;4;30;12;1;2;5;0.1
613;Transformer;16;48;2;4;30;12;1;2;5;0.1
614;Transformer;16;64;2;4;30;12;1;2;5;0.1
615;Transformer;16;64;2;4;30;12;1;2;5;0.1
616;Transformer;16;64;2;4;30;12;1;2;5;0.1
617;Transformer;32;64;2;4;30;12;1;2;5;0.1
618;Transformer;32;64;2;4;30;12;1;2;5;0.1
619;Transformer;32;64;2;4;30;12;1;2;5;0.1
620;Transformer;32;96;2;4;30;12;1;2;5;0.1
621;Transformer;32;96;2;4;30;12;1;2;5;0.1
622;Transformer;32;96;2;4;30;12;1;2;5;0.1
623;Transformer;32;128;2;4;30;12;1;2;5;0.1
624;Transformer;32;128;2;4;30;12;1;2;5;0.1
625;Transformer;32;128;2;4;30;12;1;2;5;0.1
626;Transformer;64;128;2;4;30;12;1;2;5;0.1
627;Transformer;64;128;2;4;30;12;1;2;5;0.1
628;Transformer;64;128;2;4;30;12;1;2;5;0.1
629;Transformer;64;192;2;4;30;12;1;2;5;0.1
630;Transformer;64;192;2;4;30;12;1;2;5;0.1
631;Transformer;64;192;2;4;30;12;1;2;5;0.1
632;Transformer;64;256;2;4;30;12;1;2;5;0.1
633;Transformer;64;256;2;4;30;12;1;2;5;0.1
634;Transformer;64;256;2;4;30;12;1;2;5;0.1
635;Transformer;16;32;3;4;30;12;1;2;5;0.1
636;Transformer;16;32;3;4;30;12;1;2;5;0.1
637;Transformer;16;32;3;4;30;12;1;2;5;0.1
638;Transformer;16;48;3;4;30;12;1;2;5;0.1
639;Transformer;16;48;3;4;30;12;1;2;5;0.1
640;Transformer;16;48;3;4;30;12;1;2;5;0.1
641;Transformer;16;64;3;4;30;12;1;2;5;0.1
642;Transformer;16;64;3;4;30;12;1;2;5;0.1
643;Transformer;16;64;3;4;30;12;1;2;5;0.1
644;Transformer;32;64;3;4;30;12;1;2;5;0.1
645;Transformer;32;64;3;4;30;12;1;2;5;0.1
646;Transformer;32;64;3;4;30;12;1;2;5;0.1
647;Transformer;32;96;3;4;30;12;1;2;5;0.1
648;Transformer;32;96;3;4;30;12;1;2;5;0.1
649;Transformer;32;96;3;4;30;12;1;2;5;0.1
650;Transformer;32;128;3;4;30;12;1;2;5;0.1
651;Transformer;32;128;3;4;30;12;1;2;5;0.1
652;Transformer;32;128;3;4;30;12;1;2;5;0.1
653;Transformer;64;128;3;4;30;12;1;2;5;0.1
654;Transformer;64;128;3;4;30;12;1;2;5;0.1
655;Transformer;64;128;3;4;30;12;1;2;5;0.1
656;Transformer;64;192;3;4;30;12;1;2;5;0.1
657;Transformer;64;192;3;4;30;12;1;2;5;0.1
658;Transformer;64;192;3;4;30;12;1;2;5;0.1
659;Transformer;64;256;3;4;30;12;1;2;5;0.1
660;Transformer;64;256;3;4;30;12;1;2;5;0.1
661;Transformer;64;256;3;4;30;12;1;2;5;0.1
662;Transformer;16;32;1;2;40;12;1;2;5;0.1
663;Transformer;16;32;1;2;40;12;1;2;5;0.1
664;Transformer;16;32;1;2;40;12;1;2;5;0.1
665;Transformer;16;48;1;2;40;12;1;2;5;0.1
666;Transformer;16;48;1;2;40;12;1;2;5;0.1
667;Transformer;16;48;1;2;40;12;1;2;5;0.1
668;Transformer;16;64;1;2;40;12;1;2;5;0.1
669;Transformer;16;64;1;2;40;12;1;2;5;0.1
670;Transformer;16;64;1;2;40;12;1;2;5;0.1
671;Transformer;32;64;1;2;40;12;1;2;5;0.1
672;Transformer;32;64;1;2;40;12;1;2;5;0.1
