time,veh_u,veh_v,best_wheel,model_based,ekf_m_bw,veh_ref,ekf_ai
0 sec,0.02112,0.02213,-0.001684,-0.75827209304464,-0.00168399999984681,0,0.0457894681573259
0.01 sec,0.01911,0.02182,0,-0.758268605631879,2.55458414838428e-13,0,0.0383969318580199
0.02 sec,0.01713,0.02141,0,-0.758273642340495,-1.19773846873547e-16,0,0.02692181880859
0.03 sec,0.01519,0.02088,-0.00167558,-0.758265673480014,-0.00167557999983224,0,0.0176678380809038
0.04 sec,0.0133,0.02024,-0.00167558,-0.758279134939577,-0.0016755799995787,0,0.00453825682145053
0.05 sec,0.01147,0.01948,-0.0016419,-0.758255497465197,-0.00164189999958104,0,0.00072619304096177
0.06 sec,0.00972,0.01861,-0.0016419,-0.758297916024476,-0.00164189999958802,0,-0.00425049576384306
0.07 sec,0.00805,0.01763,-0.0016419,-0.758220685897529,-0.00164189999958459,0,-0.00439921177283913
0.08 sec,0.00649,0.01655,-0.0016419,-0.758361720339416,-0.00164189999959087,0,-0.00780253303392621
0.09 sec,0.00502,0.01536,-0.00163348,-0.758100374012798,-0.00163347999958015,0,-0.00805068241840706
0.1 sec,0.00367,0.01408,0,-0.758583494240088,2.33952614225874e-13,0,-0.00870997399598818
0.11 sec,0.00244,0.01272,-0.00163348,-0.757640185735257,-0.00163347999981069,0,-0.00812228555407141
0.12 sec,0.00133,0.01128,-0.00166716,-0.759530268568367,-0.00166715999963449,0,-0.00854830253104475
0.13 sec,0.00034,0.00174,-0.00166716,-0.755457183194523,-0.00166715999947779,0,-0.00871251131860869
0.14 sec,0,0,0,-0.546822920862344,3.77655805933186e-14,0,-0.00957852073197122
0.15 sec,0,0,0,-0.48811370804437,4.18176777927659e-13,0,-0.00978727117902033
0.16 sec,0,0,0,-0.489667487339309,-6.36658260833034e-13,0,-0.00902682392719032
0.17 sec,0,0,0,-0.493080841852092,7.10296405026511e-13,0,-0.00941207386847163
0.18 sec,0,0,0,-0.489157957490364,-7.95407142928362e-13,0,-0.0100109433624757
0.19 sec,0,0,-0.00166716,-0.493140399288545,-0.00166715999907587,0,-0.00986966836941392
0.2 sec,0,0,-0.00166716,-0.489151355551518,-0.00166716000039057,0,-0.00863569920533876
0.21 sec,0,0,-0.00166716,-0.493141417459751,-0.00166715999881963,0,-0.00902497122318298
0.22 sec,0,0,-0.00166716,-0.489151184683894,-0.00166716000039157,0,-0.00969361593422323
0.23 sec,0,0,-0.00167558,-0.493141464841012,-0.00167557999881856,0,-0.0101734708608435
0.24 sec,0,0,-0.00167558,-0.48915117295203,-0.00167558000038952,0,-0.00986209130799686
0.25 sec,0,0,0,-0.493141468998983,1.01517232120596e-12,0,-0.010770564560716
0.26 sec,0,0,0,-0.489151171832031,-8.11184452942371e-13,0,-0.0113810521073344
0.27 sec,0,0,-0.00167558,-0.493141469410602,-0.00167557999907131,0,-0.0113167648645802
0.28 sec,0,0,0,-0.489151171720009,-5.57077821372598e-13,0,-0.0127534078577533
0.29 sec,0,0,-0.00170084,-0.493141469451943,-0.00170083999906884,0,-0.0125211952785164
0.3 sec,0,0,-0.00170084,-0.489151171708745,-0.00170084000038316,0,-0.0131937340619644
0.31 sec,0.00048,0,0,-0.493141469456102,1.01899565174701e-12,0,-0.0141702987129701
0.32 sec,0.00099,0,-0.00170084,-0.489151171707612,-0.0017008400006411,0,-0.0140855720891659
0.33 sec,0.0015,0,0,-0.493141469456521,1.0190615712391e-12,0,-0.0148656057468222
0.34 sec,0.00199,0,0,-0.489151171707498,-8.11193126559751e-13,0,-0.0151560974768109
0.35 sec,0.00237,0,-9.48829903535398e-18,-0.493141469456563,7.61134211213488e-13,0,-0.0152255685531642
0.36 sec,0.0029,0,-0.00170926,-0.489151171707486,-0.00170926000064026,0,-0.01474960966745
0.37 sec,0.00331,0,-0.00170926,-0.493141469456567,-0.00170925999880872,0,-0.0147441175083568
0.38 sec,0.00368,0,0,-0.489151171707485,-5.51982938523654e-13,0,-0.0152505053113109
0.39 sec,0.00402,0,0,-0.493141469456567,7.61086506317898e-13,0,-0.0147928379860704
0.4 sec,0.0043,0,0,-0.489151171707485,-8.11174044601515e-13,0,-0.0142803803144839
0.41 sec,0.00451,0,0,-0.493141469456567,7.61125537596108e-13,0,-0.0140118846724414
0.42 sec,0.00475,0,0,-0.489151171707485,-8.11180983495419e-13,0,-0.0137017656584454
0.43 sec,0.00491,0,0,-0.493141469456567,7.61135078575226e-13,0,-0.0130457584655583
0.44 sec,0.00503,0,0,-0.489151171707485,-8.11180983495419e-13,0,-0.0126263346323287
0.45 sec,0.00511,0,0,-0.493141469456567,7.6113768066044e-13,0,-0.0122153243733549
0.46 sec,0.00515,0,-0.00171768,-0.489151171707485,-0.00171768000063941,0,-0.0111431088220666
0.47 sec,0.00516,0,0,-0.493141469456567,1.02162722726007e-12,0,-0.0109162978375921
0.48 sec,0.00513,0,0,-0.489151171707485,-8.11194861283226e-13,0,-0.0104291644918453
0.49 sec,0.00508,0,0,-0.493141422101725,7.59979752740225e-13,0,-0.0100539248036981
0.5 sec,0.00501,0,0,-0.489153579912697,-8.04176170099424e-13,0,-0.00948056653496891
0.51 sec,0.00492,0,0,-0.493124438031039,7.38945363232268e-13,0,-0.00911031458806605
0.52 sec,0.00482,0,0,-0.489202219924994,-7.77307905541758e-13,0,-0.00873204872522551
0.53 sec,0.0047,0,-0.001684,-0.493057617061101,-0.00168399999910785,0,-0.00786253610900217
0.54 sec,0.00459,0,0,-0.489243265788035,-5.18421243433931e-13,0,-0.00785763856507964
0.55 sec,0.00447,0,-0.001684,-0.493045229639327,-0.00168399999910674,0,-0.0068196904427889
0.56 sec,0.00435,0,-0.001684,-0.489241844332492,-0.00168400000035118,0,-0.00645497885369309
0.57 sec,0.00426,0,-1.86026749560142e-17,-0.493048089110172,9.81376438446979e-13,0,-0.00684317516337194
0.58 sec,0.00414,0,-0.00167558,-0.489238938871991,-0.00167558000060858,0,-0.00568794136580528
0.59 sec,0.00404,0,-0.00167558,-0.493051055634107,-0.00167557999885226,0,-0.00522685587470739
0.6 sec,0.00396,0,-0.00167558,-0.489238648544145,-0.00167558000035449,0,-0.00504304551804262
0.61 sec,0.00388,0,-0.00167558,-0.493051131453108,-0.00167557999885113,0,-0.00525785434087281
0.62 sec,0.00382,0,0,-0.489236019009066,-5.23205610780675e-13,0,-0.00561063007880485
0.63 sec,0.00377,0,-0.00167558,-0.49305406764654,-0.00167557999910525,0,-0.00498061949415949
0.64 sec,0.00374,0,0,-0.489235731629555,-5.23192600354605e-13,0,-0.00571021681892955
0.65 sec,0.00371,0,0,-0.493054097822561,7.2718220334167e-13,0,-0.00579464793772503
0.66 sec,0.00368,0,-0.00167558,-0.489235770836372,-0.0016755800006109,0,-0.0051300950666049
0.67 sec,0.00367,0,0,-0.493056785044199,9.82509212876792e-13,0,-0.0058421454957491
0.68 sec,0.00365,0,-0.00167558,-0.489232843383429,-0.00167558000061093,0,-0.00581469796752286
0.69 sec,0.00363,0,0,-0.493057106716524,9.8253176428198e-13,0,-0.00691729141807
0.7 sec,0.00361,0,0,-0.489232812484372,-7.78487517505422e-13,0,-0.00715778506785015
0.71 sec,0.00358,0,0,-0.493057109724562,7.28432938967849e-13,0,-0.00753190788761028
0.72 sec,0.00353,0,0,-0.489232812293925,-7.78476241802828e-13,0,-0.00793690001894215
0.73 sec,0.00348,0,0,-0.493057109702239,7.28426000073945e-13,0,-0.00860899135130452
0.74 sec,0.0034,0,0,-0.489232812307071,-7.7847537444109e-13,0,-0.00870794373388047
0.75 sec,0.00331,0,-0.00170084,-0.493057109696395,-0.00170083999910149,0,-0.00848231668861739
0.76 sec,0.00319,0,-0.00170926,-0.489232812308751,-0.00170926000034961,0,-0.00885344333062404
0.77 sec,0.00304,0,0,-0.493057109695768,9.87578074873596e-13,0,-0.0102380719301628
0.78 sec,0.00287,0,-0.001684,-0.489232812308924,-0.00168400000061008,0,-0.0100116266208553
0.79 sec,0.00267,0,-0.00170084,-0.493057109695704,-0.00170083999884612,0,-0.0104254385739132
0.8 sec,0.00244,0,-0.00170926,-0.489232854125418,-0.00170926000035079,0,-0.0107286162774
0.81 sec,0.00218,0,0,-0.493059751357147,9.875850137675e-13,0,-0.0120133964872515
0.82 sec,0.00195,0,0,-0.489232553505424,-7.78478843888042e-13,0,-0.0119983478816674
0.83 sec,0.00164,0,0,-0.493057182479053,7.29587397441112e-13,0,-0.0120361483761005
0.84 sec,0.00124,0,0,-0.489230141270639,-7.78474507079352e-13,0,-0.0122673580030862
0.85 sec,0.00088,0,0,-0.493057404214467,7.28422530626993e-13,0,-0.0126272979380705
0.86 sec,0.0005,0,0,-0.489232783760014,-7.78474507079352e-13,0,-0.0125402303678462
0.87 sec,0.00011,0,0,-0.493057112582088,7.28423397988731e-13,0,-0.0125965930673181
0.88 sec,0,0,0,-0.489232812095438,-7.78474507079352e-13,0,-0.012727598391411
0.89 sec,0,0,-0.00170926,-0.493057109690033,-0.00170925999910065,0,-0.0122147605810893
0.9 sec,0,0,0,-0.489232812316895,-5.1926258431978e-13,0,-0.0125452395997198
0.91 sec,0,0,0,-0.49305710969185,7.28365284752286e-13,0,-0.0124147418062766
0.92 sec,0,0,0,-0.48923281231007,-7.78465833461972e-13,0,-0.012650073171565
0.93 sec,0,0,0,-0.493057109695274,7.28408652839185e-13,0,-0.0123968016129473
0.94 sec,0,0,0,-0.48923281230906,-7.78472772355876e-13,0,-0.0118800310652593
