time,veh_u,veh_v,best_wheel,model_based,ekf_m_bw,veh_ref,ekf_ai
0 sec,0,0.05073,0,-0.758273004922223,-1.52095946514413e-14,0,0.0322557838924213
0.01 sec,0,0.04555,0,-0.758271272212486,6.02508299667377e-17,0,0.0278299462713903
0.02 sec,0,0.04022,0,-0.758276066900996,-8.85405657347288e-17,0,0.0194847299770244
0.03 sec,0,0.0348,0,-0.758271657063223,1.36082830998218e-16,0,0.0134383825590006
0.04 sec,0,0.02931,0.0015998,-0.758280287099977,0.00159979999983981,0,0.0042429683041349
0.05 sec,0,0.0238,0.0015998,-0.758268654794892,0.00159979999959774,0,0.00213897969687728
0.06 sec,0,0.0183,0.0015998,-0.75828846585217,0.00159979999959685,0,-0.00177904013487662
0.07 sec,0,0.01284,0.0015998,-0.758256955805444,0.00159979999959832,0,-0.00211532635070228
0.08 sec,0,0,0.0015998,-0.758310510832954,0.00159979999959584,0,-0.00667932272235731
0.09 sec,0,0,0.00326696,-0.758215586241593,0.0032669599994335,0,-0.00627578430239025
0.1 sec,0,0,0.00326696,-0.758387334804156,0.00326695999917274,0,-0.00737541882475883
0.11 sec,0,0,0.00327538,-0.758045953278619,0.00327537999918689,0,-0.00761637447020025
0.12 sec,0,0,0.00166716,-0.758720297848107,0.00166715999931819,0,-0.0112766323605904
0.13 sec,0,0,0.00167558,-0.757209141838333,0.00167557999962069,0,-0.0113700548605402
0.14 sec,0,0,0.00167558,-0.565631234876587,0.00167557999949463,0,-0.0113618711178575
0.15 sec,0,0,0.00170084,-0.486268455283635,0.00170083999974236,0,-0.0111746933302364
0.16 sec,0,0,0.00170926,-0.490930207840333,0.00170925999930523,0,-0.0120447540339768
0.17 sec,0.00085,0,0.00170926,-0.491871817011214,0.00170925999984252,0,-0.0117616422930714
0.18 sec,0.00166,0,0,-0.49033603434613,-5.93881714638922e-13,0,-0.0122893489903321
0.19 sec,0.00241,0,8.42e-05,-0.491934767847105,8.42000002793902e-05,0,-0.0120609217483104
0.2 sec,0.0031,0,8.42e-05,-0.490334206294218,8.41999996504983e-05,0,-0.0121715909129564
0.21 sec,0.00374,0,8.42e-05,-0.491905366277264,8.42000002305157e-05,0,-0.0122531513992966
0.22 sec,0.00432,0,8.42e-05,-0.490421404754333,8.41999997178195e-05,0,-0.0125536860286209
0.23 sec,0.00485,0,0,-0.491741068180091,1.47893849944403e-13,0,-0.0128599139600695
0.24 sec,0.00532,0,-9.262e-05,-0.490644668734347,-9.26200001524667e-05,0,-0.0137980792945005
0.25 sec,0.00574,0,0,-0.491491188625606,8.82693440909521e-14,0,-0.0144461052152824
0.26 sec,0.0061,0,0,-0.490866641824174,-9.74867972805549e-14,0,-0.0149966766995905
0.27 sec,0.0064,0,-9.262e-05,-0.491321724922862,-9.26199999585663e-05,0,-0.0149169739462356
0.28 sec,0.00665,0,-9.262e-05,-0.490979659753572,-9.26200000484803e-05,0,-0.0148657307297777
0.29 sec,0.00685,0,0,-0.491251482991313,2.51908411665058e-14,0,-0.0142169239372285
0.3 sec,0.00701,0,-8.42e-05,-0.491034687930729,-8.42000000423434e-05,0,-0.0140071477774308
0.31 sec,0.00711,0,-8.42e-05,-0.491197915287044,-8.41999999910265e-05,0,-0.0138602154061226
0.32 sec,0.00717,0,-8.42e-05,-0.491093358988004,-8.42000000038769e-05,0,-0.0136646029210007
0.33 sec,0.00719,0,-0.00011788,-0.491133376295582,-0.000117880000000508,0,-0.0129333567053144
0.34 sec,0.00716,0,-8.42e-05,-0.491129262626423,-8.41999999987688e-05,0,-0.0120480545762143
0.35 sec,0.00711,0,-8.42000000000002e-05,-0.491129663329877,-8.42000000038769e-05,0,-0.0109832943612751
0.36 sec,0.007,0,-0.00011788,-0.491129631487143,-0.000117880000000508,0,-0.0101911210422276
0.37 sec,0.00687,0,-0.00175136,-0.491129631550547,-0.00175135999983205,0,-0.0089640594821599
0.38 sec,0.0067,0,-0.00175978,-0.491129632588093,-0.00175977999958348,0,-0.008226205175093
0.39 sec,0.00651,0,-0.00175136,-0.4911296321475,-0.00175135999958307,0,-0.00694977276452704
0.4 sec,0.00629,0,-0.00175136,-0.491129632299017,-0.00175135999958434,0,-0.006264789979599
0.41 sec,0.00609,6.59472476627343e-17,-0.00175136,-0.491129632249712,-0.00175135999958434,0,-0.0043859260306044
0.42 sec,0.00578,0.01188,-0.00175136,-0.491129632265484,-0.00175135999958434,0,-0.00306907990938454
0.43 sec,0.00549,0.015,-0.00175136,-0.491129632260467,-0.00175135999958434,0,-0.00219826707816461
0.44 sec,0.00519,0.01789,-0.00339326,-0.49112963226206,-0.00339325999942015,0,-0.00121468552800431
0.45 sec,0.00486,0.02053,-0.00175136,-0.491129632261555,-0.00175135999933534,0,-0.000733143154057685
0.46 sec,0.00453,0.02288,-0.00171768,-0.491129632261714,-0.00171767999958773,0,0.000313172883450176
0.47 sec,0.00424,0.02455,-0.00171768,-0.491129632261664,-0.0017176799995928,0,0.00132314494179917
0.48 sec,0.00381,0.02666,-0.00170926,-0.49112963226168,-0.00170925999959366,0,0.00237005880560101
0.49 sec,0.00344,0.02805,-0.00170926,-0.491129632261675,-0.00170925999959493,0,0.00340699173314439
0.5 sec,0.00305,0.02909,0,-0.491129632261677,2.34139096999542e-13,0,0.00337708734337243
0.51 sec,0.00266,0.02977,0,-0.491129632261676,-2.50777588799156e-14,0,0.00400851761609216
0.52 sec,0.00226,0.03009,0,-0.491129632261676,-2.5058514291354e-14,0,0.00462483619592436
0.53 sec,0.00185,0.03006,0,-0.491129632261676,-2.50687057917753e-14,0,0.00533465251998464
0.54 sec,0.00143,0.02968,0,-0.491129632261676,-2.50632847809129e-14,0,0.00564570220123884
0.55 sec,0.00101,0.02897,0,-0.491129632261676,-2.506615791667e-14,0,0.00593157974911887
0.56 sec,0.00059,0.02792,0,-0.491129632261676,-2.50646400336285e-14,0,0.00538832418224554
0.57 sec,0.000249999999999997,0.02686,0,-0.491129632261676,-2.50654531852579e-14,0,0.00502726830684609
0.58 sec,0,0.02494,0,-0.491129632261676,-2.50650195043889e-14,0,0.00404333382648722
0.59 sec,0,0.02304,0,-0.491129632261676,-2.50652363448234e-14,0,0.00353446551675033
0.6 sec,0,0.02091,0,-0.491129632261676,-2.50651279246061e-14,0,0.00227593014558535
0.61 sec,0,0.01857,0,-0.491129632261676,-2.50651821347148e-14,0,0.00120245806332409
0.62 sec,0,0.01605,0,-0.491129632261676,-2.50651279246061e-14,0,-0.000107581826872533
0.63 sec,0,0.01339,0,-0.491129632261676,-2.50651821347148e-14,0,-0.00118380999482965
0.64 sec,0,0.01062,0,-0.491129632261676,-2.50651821347148e-14,0,-0.00205398136109677
