time,veh_u,veh_v,best_wheel,model_based,ekf_m_bw,veh_ref,ekf_ai
0 sec,0,0.02873,0,-0.758278145695364,-1.51655489381841e-14,0,0.0575187575891306
0.01 sec,0,0.02754,0,-0.758278145695364,1.74604902612873e-20,0,0.0497556166878667
0.02 sec,0,0.02624,0,-0.758278145695364,3.11174489696909e-20,0,0.0363538462122641
0.03 sec,0,0.02485,0,-0.758278145695364,5.77656410897578e-20,0,0.0253129789623996
0.04 sec,0,0.02337,0,-0.758278145695364,1.14828799044305e-19,0,0.0102281542687326
0.05 sec,0,0.0218,0,-0.758278145695364,2.51904207072917e-19,0,0.00556063084860084
0.06 sec,0,0.02015,0,-0.758278145695364,6.21000054609898e-19,0,-0.00106065666089371
0.07 sec,0,0.01842,0,-0.758278145695364,1.70979225231446e-18,0,-0.0010632436563597
0.08 sec,0,0.01664,0,-0.758278145695364,5.1227560033205e-18,0,-0.00627607215530563
0.09 sec,0,0.0148,-0.00166716,-0.758278145695364,-0.00166715999983327,0,-0.00582575875897099
0.1 sec,0,0.01292,-0.00163348,-0.758278145695364,-0.00163347999958377,0,-0.00632206055417227
0.11 sec,0,0.01101,-0.00165874,-0.758278145695364,-0.00165873999958623,0,-0.00635838509007987
0.12 sec,0,0,0,-0.758278145695364,2.52106061721102e-13,0,-0.00906320598556864
0.13 sec,0,0,-0.00163348,-0.758278145695364,-0.00163347999983511,0,-0.00858281690847118
0.14 sec,0,0,-0.00166716,-0.758278145695364,-0.00166715999958285,0,-0.00886955826304936
0.15 sec,0,0,-0.00166716,-0.758278145695364,-0.00166715999958232,0,-0.00884362377678848
0.16 sec,0,0,-0.00166716,-0.758278145695364,-0.00166715999959581,0,-0.00852452008425183
0.17 sec,0,0,-0.00166716,-0.758278145695364,-0.00166715999960251,0,-0.00893291551551366
0.18 sec,0,0,-0.00166716,-0.758278145695364,-0.00166715999960464,0,-0.00893816001467458
0.19 sec,0,0,-0.00166716,-0.758278145695364,-0.00166715999960532,0,-0.00936350081907516
0.2 sec,0,0,-0.00170084,-0.758278145695364,-0.00170083999960209,0,-0.00811307093542077
0.21 sec,0,0,-0.00167558,-0.758278145695364,-0.00167557999959957,0,-0.00833277743039391
0.22 sec,0.00018,0,-0.00170084,-0.758278145695364,-0.00170083999960088,0,-0.00860491640826918
0.23 sec,0.00051,0,-0.00170084,-0.758278145695364,-0.00170083999959705,0,-0.00926543720846995
0.24 sec,0.00078,0,-0.00170084,-0.758278145695364,-0.00170083999959705,0,-0.0089381104784123
0.25 sec,0.00099,0,-0.00170084,-0.758278145695364,-0.00170083999959705,0,-0.00930625649989541
0.26 sec,0.00114,0,-0.00170084,-0.758278145695364,-0.00170083999959705,0,-0.00957531854530111
0.27 sec,0.00124,0,0,-0.758278145695364,2.3286364156383e-13,0,-0.0109343066066188
0.28 sec,0.00128,0,0,-0.758278145695364,-2.50784094012191e-14,0,-0.0111621400479996
0.29 sec,0.00127,0,-0.00170084,-0.758278145695364,-0.00170083999985497,0,-0.0107337697660912
0.3 sec,0.00121,0,0,-0.758278145695364,2.32873182542948e-13,0,-0.0116946698235454
0.31 sec,0.00112,0,-0.00170926,-0.758278145695364,-0.00170925999985416,0,-0.0115002920253907
0.32 sec,0.00098,0,-0.00010104,-0.758278145695364,-0.000101039999755733,0,-0.0120906017951207
0.33 sec,0.0008,0,0,-0.758278145695364,-9.76746895170466e-15,0,-0.0122059102482681
0.34 sec,0.0006,0,-0.00170926,-0.758278145695364,-0.00170925999985413,0,-0.0113789908058715
0.35 sec,0.000419999999999998,0,0,-0.758278145695364,2.34147336936052e-13,0,-0.0112780963934086
0.36 sec,0.00012,0,0,-0.758278145695364,-2.50821498987142e-14,0,-0.0112615581471376
0.37 sec,0,0,0,-0.758278145695364,-2.50561832566831e-14,0,-0.0107720319476827
