time,veh_u,veh_v,model_TCN_lon_128.pt,model_TCN_lon_129.pt,model_TCN_lon_130.pt,model_TCN_lon_131.pt,model_TCN_lon_132.pt,model_TCN_lon_133.pt,model_TCN_lon_134.pt,model_TCN_lon_135.pt,model_TCN_lon_136.pt,model_TCN_lon_137.pt,model_TCN_lon_138.pt,model_TCN_lon_139.pt,model_TCN_lon_140.pt,model_TCN_lon_141.pt,model_TCN_lon_142.pt,model_TCN_lon_143.pt,model_TCN_lon_144.pt,model_TCN_lon_145.pt,model_TCN_lon_146.pt,model_TCN_lon_147.pt,model_TCN_lon_148.pt,model_TCN_lon_149.pt,model_TCN_lon_150.pt,model_TCN_lon_151.pt,model_TCN_lon_152.pt
0.0,0.02213,0.02112,-0.008049145340919495,-0.00044075027108192444,-0.041059765964746475,0.0025320276618003845,-0.0017685815691947937,0.28134849667549133,0.0368560254573822,-0.029705345630645752,0.047646887600421906,0.0009751357138156891,-0.012644368223845959,-0.011992841958999634,0.010919205844402313,-0.012710615992546082,-0.005679648369550705,-0.002104570157825947,-0.01018078625202179,0.004067227244377136,0.010958567261695862,-0.021640174090862274,-0.020466310903429985,0.020743481814861298,6.984919309616089e-05,-0.003946501761674881,-0.01026331726461649
0.01,0.02182,0.01911,-0.008049145340919495,-0.00044075027108192444,-0.041059765964746475,0.0025320276618003845,-0.0017685815691947937,0.28134849667549133,0.0368560254573822,-0.029705345630645752,0.047646887600421906,0.0009751357138156891,-0.012644368223845959,-0.011992841958999634,0.010919205844402313,-0.012710615992546082,-0.005679648369550705,-0.002104570157825947,-0.01018078625202179,0.004067227244377136,0.010958567261695862,-0.021640174090862274,-0.020466310903429985,0.020743481814861298,6.984919309616089e-05,-0.003946501761674881,-0.01026331726461649
0.02,0.02141,0.01713,-0.008049145340919495,-0.00044075027108192444,-0.041059765964746475,0.0025320276618003845,-0.0017685815691947937,0.28134849667549133,0.0368560254573822,-0.029705345630645752,0.047646887600421906,0.0009751357138156891,-0.012644368223845959,-0.011992841958999634,0.010919205844402313,-0.012710615992546082,-0.005679648369550705,-0.002104570157825947,-0.01018078625202179,0.004067227244377136,0.010958567261695862,-0.021640174090862274,-0.020466310903429985,0.020743481814861298,6.984919309616089e-05,-0.003946501761674881,-0.01026331726461649
0.03,0.02088,0.01519,-0.008049145340919495,-0.00044075027108192444,-0.041059765964746475,0.0025320276618003845,-0.0017685815691947937,0.28134849667549133,0.0368560254573822,-0.029705345630645752,0.047646887600421906,0.0009751357138156891,-0.012644368223845959,-0.011992841958999634,0.010919205844402313,-0.012710615992546082,-0.005679648369550705,-0.002104570157825947,-0.01018078625202179,0.004067227244377136,0.010958567261695862,-0.021640174090862274,-0.020466310903429985,0.020743481814861298,6.984919309616089e-05,-0.003946501761674881,-0.01026331726461649
0.04,0.02024,0.0133,-0.008049145340919495,-0.00044075027108192444,-0.041059765964746475,0.0025320276618003845,-0.0017685815691947937,0.28134849667549133,0.0368560254573822,-0.029705345630645752,0.047646887600421906,0.0009751357138156891,-0.012644368223845959,-0.011992841958999634,0.010919205844402313,-0.012710615992546082,-0.005679648369550705,-0.002104570157825947,-0.01018078625202179,0.004067227244377136,0.010958567261695862,-0.021640174090862274,-0.020466310903429985,0.020743481814861298,6.984919309616089e-05,-0.003946501761674881,-0.01026331726461649
0.05,0.01948,0.01147,-0.008049145340919495,-0.00044075027108192444,-0.041059765964746475,0.0025320276618003845,-0.0017685815691947937,0.28134849667549133,0.0368560254573822,-0.029705345630645752,0.047646887600421906,0.0009751357138156891,-0.012644368223845959,-0.011992841958999634,0.010919205844402313,-0.012710615992546082,-0.005679648369550705,-0.002104570157825947,-0.01018078625202179,0.004067227244377136,0.010958567261695862,-0.021640174090862274,-0.020466310903429985,0.020743481814861298,6.984919309616089e-05,-0.003946501761674881,-0.01026331726461649
0.06,0.01861,0.00972,-0.008049145340919495,-0.00044075027108192444,-0.041059765964746475,0.0025320276618003845,-0.0017685815691947937,0.28134849667549133,0.0368560254573822,-0.029705345630645752,0.047646887600421906,0.0009751357138156891,-0.012644368223845959,-0.011992841958999634,0.010919205844402313,-0.012710615992546082,-0.005679648369550705,-0.002104570157825947,-0.01018078625202179,0.004067227244377136,0.010958567261695862,-0.021640174090862274,-0.020466310903429985,0.020743481814861298,6.984919309616089e-05,-0.003946501761674881,-0.01026331726461649
0.07,0.01763,0.00805,-0.008049145340919495,-0.00044075027108192444,-0.041059765964746475,0.0025320276618003845,-0.0017685815691947937,0.28134849667549133,0.0368560254573822,-0.029705345630645752,0.047646887600421906,0.0009751357138156891,-0.012644368223845959,-0.011992841958999634,0.010919205844402313,-0.012710615992546082,-0.005679648369550705,-0.002104570157825947,-0.01018078625202179,0.004067227244377136,0.010958567261695862,-0.021640174090862274,-0.020466310903429985,0.020743481814861298,6.984919309616089e-05,-0.003946501761674881,-0.01026331726461649
0.08,0.01655,0.00649,-0.008049145340919495,-0.00044075027108192444,-0.041059765964746475,0.0025320276618003845,-0.0017685815691947937,0.28134849667549133,0.0368560254573822,-0.029705345630645752,0.047646887600421906,0.0009751357138156891,-0.012644368223845959,-0.011992841958999634,0.010919205844402313,-0.012710615992546082,-0.005679648369550705,-0.002104570157825947,-0.01018078625202179,0.004067227244377136,0.010958567261695862,-0.021640174090862274,-0.020466310903429985,0.020743481814861298,6.984919309616089e-05,-0.003946501761674881,-0.01026331726461649
0.09,0.01536,0.00502,-0.008049145340919495,-0.00044075027108192444,-0.041059765964746475,0.0025320276618003845,-0.0017685815691947937,0.28134849667549133,0.0368560254573822,-0.029705345630645752,0.047646887600421906,0.0009751357138156891,-0.012644368223845959,-0.011992841958999634,0.010919205844402313,-0.012710615992546082,-0.005679648369550705,-0.002104570157825947,-0.01018078625202179,0.004067227244377136,0.010958567261695862,-0.021640174090862274,-0.020466310903429985,0.020743481814861298,6.984919309616089e-05,-0.003946501761674881,-0.01026331726461649
