time,veh_u,veh_v,model_TCN_lon_128.pt,model_TCN_lon_129.pt,model_TCN_lon_130.pt,model_TCN_lon_131.pt,model_TCN_lon_132.pt,model_TCN_lon_133.pt,model_TCN_lon_134.pt,model_TCN_lon_135.pt,model_TCN_lon_136.pt,model_TCN_lon_137.pt,model_TCN_lon_138.pt,model_TCN_lon_139.pt,model_TCN_lon_140.pt,model_TCN_lon_141.pt,model_TCN_lon_142.pt,model_TCN_lon_143.pt,model_TCN_lon_144.pt,model_TCN_lon_145.pt,model_TCN_lon_146.pt,model_TCN_lon_147.pt,model_TCN_lon_148.pt,model_TCN_lon_149.pt,model_TCN_lon_150.pt,model_TCN_lon_151.pt,model_TCN_lon_152.pt
0.0,0.0,0.0,-0.02029646560549736,0.0009974539279937744,-0.075002521276474,-0.00721382349729538,-0.01997779682278633,0.4201143682003021,0.03505944460630417,-0.016925588250160217,0.11796862632036209,0.0010702572762966156,-0.00134190171957016,-0.012858834117650986,-0.003604978322982788,-0.03312306851148605,-0.0159425288438797,-0.013854668475687504,-0.006092991679906845,-0.030313581228256226,-0.0031926333904266357,-0.0285751111805439,-0.027162617072463036,-0.021683596074581146,-0.0590573251247406,-0.008238021284341812,-0.0021842503920197487
0.01,0.0,0.0,-0.02029646560549736,0.0009974539279937744,-0.075002521276474,-0.00721382349729538,-0.01997779682278633,0.4201143682003021,0.03505944460630417,-0.016925588250160217,0.11796862632036209,0.0010702572762966156,-0.00134190171957016,-0.012858834117650986,-0.003604978322982788,-0.03312306851148605,-0.0159425288438797,-0.013854668475687504,-0.006092991679906845,-0.030313581228256226,-0.0031926333904266357,-0.0285751111805439,-0.027162617072463036,-0.021683596074581146,-0.0590573251247406,-0.008238021284341812,-0.0021842503920197487
0.02,0.0,0.0,-0.02029646560549736,0.0009974539279937744,-0.075002521276474,-0.00721382349729538,-0.01997779682278633,0.4201143682003021,0.03505944460630417,-0.016925588250160217,0.11796862632036209,0.0010702572762966156,-0.00134190171957016,-0.012858834117650986,-0.003604978322982788,-0.03312306851148605,-0.0159425288438797,-0.013854668475687504,-0.006092991679906845,-0.030313581228256226,-0.0031926333904266357,-0.0285751111805439,-0.027162617072463036,-0.021683596074581146,-0.0590573251247406,-0.008238021284341812,-0.0021842503920197487
0.03,0.0,0.0,-0.02029646560549736,0.0009974539279937744,-0.075002521276474,-0.00721382349729538,-0.01997779682278633,0.4201143682003021,0.03505944460630417,-0.016925588250160217,0.11796862632036209,0.0010702572762966156,-0.00134190171957016,-0.012858834117650986,-0.003604978322982788,-0.03312306851148605,-0.0159425288438797,-0.013854668475687504,-0.006092991679906845,-0.030313581228256226,-0.0031926333904266357,-0.0285751111805439,-0.027162617072463036,-0.021683596074581146,-0.0590573251247406,-0.008238021284341812,-0.0021842503920197487
0.04,0.0,0.0,-0.02029646560549736,0.0009974539279937744,-0.075002521276474,-0.00721382349729538,-0.01997779682278633,0.4201143682003021,0.03505944460630417,-0.016925588250160217,0.11796862632036209,0.0010702572762966156,-0.00134190171957016,-0.012858834117650986,-0.003604978322982788,-0.03312306851148605,-0.0159425288438797,-0.013854668475687504,-0.006092991679906845,-0.030313581228256226,-0.0031926333904266357,-0.0285751111805439,-0.027162617072463036,-0.021683596074581146,-0.0590573251247406,-0.008238021284341812,-0.0021842503920197487
0.05,0.0,0.0,-0.02029646560549736,0.0009974539279937744,-0.075002521276474,-0.00721382349729538,-0.01997779682278633,0.4201143682003021,0.03505944460630417,-0.016925588250160217,0.11796862632036209,0.0010702572762966156,-0.00134190171957016,-0.012858834117650986,-0.003604978322982788,-0.03312306851148605,-0.0159425288438797,-0.013854668475687504,-0.006092991679906845,-0.030313581228256226,-0.0031926333904266357,-0.0285751111805439,-0.027162617072463036,-0.021683596074581146,-0.0590573251247406,-0.008238021284341812,-0.0021842503920197487
0.06,0.0,0.0,-0.02029646560549736,0.0009974539279937744,-0.075002521276474,-0.00721382349729538,-0.01997779682278633,0.4201143682003021,0.03505944460630417,-0.016925588250160217,0.11796862632036209,0.0010702572762966156,-0.00134190171957016,-0.012858834117650986,-0.003604978322982788,-0.03312306851148605,-0.0159425288438797,-0.013854668475687504,-0.006092991679906845,-0.030313581228256226,-0.0031926333904266357,-0.0285751111805439,-0.027162617072463036,-0.021683596074581146,-0.0590573251247406,-0.008238021284341812,-0.0021842503920197487
0.07,0.0,0.0,-0.02029646560549736,0.0009974539279937744,-0.075002521276474,-0.00721382349729538,-0.01997779682278633,0.4201143682003021,0.03505944460630417,-0.016925588250160217,0.11796862632036209,0.0010702572762966156,-0.00134190171957016,-0.012858834117650986,-0.003604978322982788,-0.03312306851148605,-0.0159425288438797,-0.013854668475687504,-0.006092991679906845,-0.030313581228256226,-0.0031926333904266357,-0.0285751111805439,-0.027162617072463036,-0.021683596074581146,-0.0590573251247406,-0.008238021284341812,-0.0021842503920197487
0.08,0.0,0.0,-0.02029646560549736,0.0009974539279937744,-0.075002521276474,-0.00721382349729538,-0.01997779682278633,0.4201143682003021,0.03505944460630417,-0.016925588250160217,0.11796862632036209,0.0010702572762966156,-0.00134190171957016,-0.012858834117650986,-0.003604978322982788,-0.03312306851148605,-0.0159425288438797,-0.013854668475687504,-0.006092991679906845,-0.030313581228256226,-0.0031926333904266357,-0.0285751111805439,-0.027162617072463036,-0.021683596074581146,-0.0590573251247406,-0.008238021284341812,-0.0021842503920197487
0.09,0.0,0.0,-0.02029646560549736,0.0009974539279937744,-0.075002521276474,-0.00721382349729538,-0.01997779682278633,0.4201143682003021,0.03505944460630417,-0.016925588250160217,0.11796862632036209,0.0010702572762966156,-0.00134190171957016,-0.012858834117650986,-0.003604978322982788,-0.03312306851148605,-0.0159425288438797,-0.013854668475687504,-0.006092991679906845,-0.030313581228256226,-0.0031926333904266357,-0.0285751111805439,-0.027162617072463036,-0.021683596074581146,-0.0590573251247406,-0.008238021284341812,-0.0021842503920197487
