time,veh_u,veh_v,model_TCN_lon_129.pt
0.0,0.02213,0.02112,-0.010057255625724792
0.01,0.02182,0.01911,-0.010057255625724792
0.02,0.02141,0.01713,-0.010057255625724792
0.03,0.02088,0.01519,-0.010057255625724792
0.04,0.02024,0.0133,-0.010057255625724792
0.05,0.01948,0.01147,-0.010057255625724792
0.06,0.01861,0.00972,-0.010057255625724792
0.07,0.01763,0.00805,-0.010057255625724792
0.08,0.01655,0.00649,-0.010057255625724792
0.09,0.01536,0.00502,-0.010057255625724792
0.1,0.01408,0.00367,-0.010057255625724792
0.11,0.01272,0.00244,-0.010057255625724792
0.12,0.01128,0.00133,-0.010057255625724792
0.13,0.00174,0.0,-0.010057255625724792
0.14,0.0,0.0,-0.010057255625724792
0.15,0.0,0.0,-0.010057255625724792
0.16,0.0,0.0,-0.010057255625724792
0.17,0.0,0.0,-0.010057255625724792
0.18,0.0,0.0,-0.010057255625724792
0.19,0.0,0.0,-0.010057255625724792
0.2,0.0,0.0,-0.010057255625724792
0.21,0.0,0.0,-0.010057255625724792
0.22,0.0,0.0,-0.010057255625724792
0.23,0.0,0.0,-0.010057255625724792
0.24,0.0,0.0,-0.010057255625724792
0.25,0.0,0.0,-0.010057255625724792
0.26,0.0,0.0,-0.010057255625724792
0.27,0.0,0.0,-0.010057255625724792
0.28,0.0,0.0,-0.010057255625724792
0.29,0.0,0.0,-0.010057255625724792
0.3,0.0,0.0,-0.010057255625724792
0.31,0.0,0.0,-0.010057255625724792
0.32,0.0,0.0,-0.010057255625724792
0.33,0.0,0.0015,-0.010057255625724792
0.34,0.0,0.00199,-0.010057255625724792
0.35,0.0,0.00237,-0.010057255625724792
0.36,0.0,0.0029,-0.010057255625724792
0.37,0.0,0.00331,-0.010057255625724792
0.38,0.0,0.00368,-0.010057255625724792
0.39,0.0,0.00402,-0.010057255625724792
0.4,0.0,0.0043,-0.010057255625724792
0.41,0.0,0.00451,-0.010057255625724792
0.42,0.0,0.00475,-0.010057255625724792
0.43,0.0,0.00491,-0.010057255625724792
0.44,0.0,0.00503,-0.010057255625724792
0.45,0.0,0.00511,-0.010057255625724792
0.46,0.0,0.00515,-0.010057255625724792
0.47,0.0,0.00516,-0.010057255625724792
0.48,0.0,0.00513,-0.010057255625724792
0.49,0.0,0.00508,-0.010057255625724792
0.5,0.0,0.00501,-0.009482204914093018
0.51,0.0,0.00492,-0.009113386273384094
0.52,0.0,0.00482,-0.008733585476875305
0.53,0.0,0.0047,-0.007865369319915771
0.54,0.0,0.00459,-0.00785878300666809
0.55,0.0,0.00447,-0.006822317838668823
0.56,0.0,0.00435,-0.006455942988395691
0.57,0.0,0.00426,-0.006845548748970032
0.58,0.0,0.00414,-0.005688771605491638
0.59,0.0,0.00404,-0.005228966474533081
0.6,0.0,0.00396,-0.005043521523475647
0.61,0.0,0.00388,-0.005259856581687927
0.62,0.0,0.00382,-0.005611225962638855
0.63,0.0,0.00377,-0.0049827247858047485
0.64,0.0,0.00374,-0.005710765719413757
0.65,0.0,0.00371,-0.005796805024147034
0.66,0.0,0.00368,-0.005130738019943237
0.67,0.0,0.00367,-0.005844250321388245
0.68,0.0,0.00365,-0.005815371870994568
0.69,0.0,0.00363,-0.006919607520103455
0.7,0.0,0.00361,-0.007158786058425903
0.71,0.0,0.00358,-0.007534489035606384
0.72,0.0,0.00353,-0.007938072085380554
0.73,0.0,0.00348,-0.008611783385276794
0.74,0.0,0.0034,-0.008709341287612915
0.75,0.0,0.00331,-0.008485198020935059
0.76,0.0,0.00319,-0.008854791522026062
0.77,0.0,0.00304,-0.010241150856018066
0.78,0.0,0.00287,-0.01001344621181488
0.79,0.0,0.00267,-0.010428696870803833
0.8,0.0,0.00244,-0.010730460286140442
0.81,0.0,0.00218,-0.01201699674129486
0.82,0.0,0.00195,-0.01200065016746521
0.83,0.0,0.00164,-0.012039914727210999
0.84,0.0,0.00124,-0.012269631028175354
0.85,0.0,0.0,-0.01263117790222168
0.86,0.0,0.0,-0.012542620301246643
0.87,0.0,0.0,-0.012600496411323547
0.88,0.0,0.0,-0.01272997260093689
0.89,0.0,0.0,-0.012218669056892395
0.9,0.0,0.0,-0.012547597289085388
0.91,0.0,0.0,-0.012418627738952637
0.92,0.0,0.0,-0.012652426958084106
0.93,0.0,0.0,-0.012400686740875244
0.94,0.0,0.0,-0.011882320046424866
0.95,0.0,0.0,-0.011547625064849854
0.96,0.0,0.0,-0.011467739939689636
0.97,0.0,0.0,-0.011275768280029297
0.98,0.0,0.0,-0.010121628642082214
0.99,0.0,0.0,-0.010758444666862488
1.0,0.0,0.0,-0.009940236806869507
1.01,0.0,0.0,-0.009579852223396301
1.02,0.0,0.0,-0.009014829993247986
1.03,0.0,0.0,-0.008957594633102417
1.04,0.0,0.0,-0.008699506521224976
1.05,0.0,0.0,-0.008434802293777466
1.06,0.0,0.0,-0.00808696448802948
