Time,imu_COG_acc_x,imu_COG_acc_y,imu_COG_acc_z,imu_COG_gyro_roll_rate,imu_COG_gyro_pitch_rate,imu_COG_gyro_yaw_rate,wheel_speed_FL,wheel_speed_FR,wheel_speed_RL,wheel_speed_RR,drive_torque_FL,drive_torque_FR,drive_torque_RL,drive_torque_RR,brake_pressure_FL,brake_pressure_FR,brake_pressure_RL,brake_pressure_RR,rwa_FM,rwa_RM,veh_u,veh_v
0,0.00470182271776037,0,0,0,0,0.0016295447761796,0,0,0,0,0,0,0,0,0.137346859214236,0.138944164329674,0.127956688879899,0.13109489481933,0.00483390760378684,0,0,0.00543
0.01,0.00509356317939558,0,0,0,0,0.00160534361613733,0,0,0,0,0,0,0,0,0.137346859214236,0.138944164329674,0.127956688879899,0.13109489481933,0.00483390760378684,0,0,0.00517
0.02,0.007747651665881,0,0,0,0,0.00160534361613733,0,0,0,0,0,0,0,0,0.137346859214236,0.138944164329674,0.127956688879899,0.13109489481933,0.00483390760378684,0,0,0.00492
0.03,0.0102574147191324,0,0,0,0,0.00160534361613733,0,0,0,0,0,0,0.000526792657961998,0.000526792657961998,0.137346859214236,0.138944164329674,0.127956688879899,0.13109489481933,0.00483390760378684,0,0,0.00468
0.04,0.0117672086992623,0,0,0,0,0.0016295447761796,0,0,0,0,0,0,0,0,0.137195565917477,0.138791111534677,0.127671715952327,0.130802932778944,0.00483390760378684,0,0,0.00446
0.05,0.0140220592990095,0,0,0,0,0.00160534361613733,0,0,0,0,0,0,0,0,0.137044317999632,0.138638104646337,0.127386743024756,0.130510970738558,0.00483390760378684,0,0,0.00425
0.06,0.0184146132312684,0,0,0,0,0,0,0,0,0,0,0,0,0,0.137195565917477,0.138791111534677,0.127671715952327,0.130802932778944,0.00483390760378684,0,0,0.00406
0.07,0.020930936531485,0,0,0,0,0.00161341066948476,0,0,0,0,0,0,0,0,0.136893070081787,0.138485097757997,0.127386743024756,0.130510970738558,0.00483390760378684,0,0,0.00389
0.08,0.0231857871312321,0,0,0,0,0.00161341066948476,0,0,0,0,0,0,0.000526792657961998,0.000526792657961998,0.136893070081787,0.138485097757997,0.127386743024756,0.130510970738558,0.00483390760378684,0,0,0.00374
0.09,0.026871708747527,0,0,0,0,0,0,0,0,0,0,0,0,0,0.136893070081787,0.138485097757997,0.127386743024756,0.130510970738558,0.00483390760378684,0,0,0.0036
0.1,0.0286429754281264,0,0,0,0,0,0,0,0,0,0,0,0.000526792657961998,0.000526792657961998,0.136741776785028,0.138332044963,0.127386743024756,0.130510970738558,0.00483390760378684,0,0,0.00349
0.11,0.0294208332825695,0,0,0,0,0,0,0,0,0,0,0,0,0,0.136741776785028,0.138332044963,0.127386743024756,0.130510970738558,0.00483390760378684,0,0,0.00339
0.12,0.0319896385585076,0,0,0,0,0,0,0,0,0,0,0,0.000526792657961998,0.000526792657961998,0.136741776785028,0.138332044963,0.127386743024756,0.130510970738558,0.00483390760378684,0,0,0.0033
0.13,0.0334085262592628,0,0,0,0,0,0,0,0,0,0,0,0.000526792657961998,0.000526792657961998,0.136741776785028,0.138332044963,0.127386743024756,0.130510970738558,0.00483390760378684,0,0,0.00324
0.14,0.0341339021379845,0,0,0,0,0,0,0,0,0,0,0,0,0,0.136741776785028,0.138332044963,0.127386743024756,0.130510970738558,0.00483390760378684,0,0,0.00319
0.15,0.0352322749155837,0,0,0,0,0,0,0,0,0,0,0,0,0,0.136741776785028,0.138332044963,0.127386743024756,0.130510970738558,0.00483390760378684,0,0,0.00315
0.16,0.036683026673027,0,0,0,0,0,0,0,0,0,0,0,0.000526792657961998,0.000526792657961998,0.136741776785028,0.138332044963,0.127386743024756,0.130510970738558,0.00483390760378684,0,0,0.00312
0.17,0.0358986085716187,0,0,0,0,0,0,0,0,0,0,0,0.000526792657961998,0.000526792657961998,0.136741776785028,0.138332044963,0.127386743024756,0.130510970738558,0.00483390760378684,0,0,0.00311
0.18,0.0359314098064446,0,0,0,0,0,0,0,0,0,0,0,0,0,0.136590528867183,0.13817903807466,0.127101715950703,0.13021895322372,0.00483390760378684,0,0,0.0031
0.19,0.034819916534915,0,0,0,0,0,0,0,0,0,0,0,0,0,0.136439280949338,0.13802603118632,0.126816743023131,0.129926991183334,0.00483390760378684,0,0,0.0031
0.2,0.0355003078630183,0,0,0,0,0,0,0,0,0,0,0,0.000526792657961998,0.000526792657961998,0.136590528867183,0.13817903807466,0.127101715950703,0.13021895322372,0.00483390760378684,0,0,0.00311
0.21,0.0347486909964359,0,0,0,0,0,0,0,0,0,0,0,0,0,0.136439280949338,0.13802603118632,0.126816743023131,0.129926991183334,0.00483390760378684,0,0,0.00312
0.22,0.0325650659351679,0,0,0,0,0,0,0,0,0,0,0,0.000526792657961998,0.000526792657961998,0.136439280949338,0.13802603118632,0.126816743023131,0.129926991183334,0.00483390760378684,0,0,0.00313
0.23,0.0321602049796023,0,0,0,0,0,0,0,0,0,0,0,0,0,0.136287987652579,0.137872978391323,0.126816743023131,0.129926991183334,0.00483390760378684,0,0,0.00314
0.24,0.0299447158616463,0,0,0,0,0.00161341066948476,0,0,0,0,0,0,0.000526792657961998,0.000526792657961998,0.136287987652579,0.137872978391323,0.126816743023131,0.129926991183334,0.00483390760378684,0,0,0.00315
0.25,0.0277742112943086,0,0,0,0,0,0,0,0,0,0,0,0,0,0.136287987652579,0.137872978391323,0.126816743023131,0.129926991183334,0.00483390760378684,0,0,0.00316
0.26,0.0262316160793527,0,0,0,0,0,0,0,0,0,0,0,0,0,0.136287987652579,0.137872978391323,0.126816743023131,0.129926991183334,0.00483390760378684,0,0,0.00317
0.27,0.0383952511309397,0,0,0,0,0.00160534361613733,0,0,0,0,0,0,0.000526792657961998,0.000526792657961998,0.136287987652579,0.137872978391323,0.126816743023131,0.129926991183334,0.00483390760378684,0,0,0.00317
0.28,0.00262972185490046,0,0,0,0,0.00158920950944249,0,0,0,0,0,0,0,0,0.136287987652579,0.137872978391323,0.126816743023131,0.129926991183334,0.00483390760378684,0,0,0.00316
0.29,0.0209506172723805,0,0,0,0,0,0,0,0,0,0,0,0.000526792657961998,0.000526792657961998,0.136439280949338,0.13802603118632,0.127101715950703,0.13021895322372,0.00483390760378684,0,0,0.00314
0.3,0.0281144069583602,0,0,0,0,0.0016295447761796,0,0,0,0,0,0,0,0,0.136741776785028,0.138332044963,0.127386743024756,0.130510970738558,0.00483390760378684,0,0,0.00312
0.31,0.0125909882824617,0,0,0,0,0.00166988004291672,0,0,0,0,0,0,0,0,0.136741776785028,0.138332044963,0.127386743024756,0.130510970738558,0.00483390760378684,0,0,0.00309
0.32,0.0163031508866174,0,0,0,0,0,0,0,0,0,0,0,0,0,0.136741776785028,0.138332044963,0.127386743024756,0.130510970738558,0.00483390760378684,0,0,0.00304
0.33,0.0151073115826783,0,0,0,0,0.0016618129895693,0,0,0,0,0,0,0,0,0.136741776785028,0.138332044963,0.127386743024756,0.130510970738558,0.00483390760378684,0,0,0.00299
