time,veh_u,veh_v,model_T_lon_1560.pt
0.0,0.02213,0.02112,-0.0890423059463501
0.01,0.02182,0.01911,-0.0890423059463501
0.02,0.02141,0.01713,-0.0890423059463501
0.03,0.02088,0.01519,-0.0890423059463501
0.04,0.02024,0.0133,-0.0890423059463501
0.05,0.01948,0.01147,-0.0890423059463501
0.06,0.01861,0.00972,-0.0890423059463501
0.07,0.01763,0.00805,-0.0890423059463501
0.08,0.01655,0.00649,-0.0890423059463501
0.09,0.01536,0.00502,-0.0890423059463501
0.1,0.01408,0.00367,-0.0890423059463501
0.11,0.01272,0.00244,-0.0890423059463501
0.12,0.01128,0.00133,-0.0890423059463501
0.13,0.00174,0.0,-0.0890423059463501
0.14,0.0,0.0,-0.0890423059463501
0.15,0.0,0.0,-0.0890423059463501
0.16,0.0,0.0,-0.0890423059463501
0.17,0.0,0.0,-0.0890423059463501
0.18,0.0,0.0,-0.0890423059463501
0.19,0.0,0.0,-0.0890423059463501
0.2,0.0,0.0,-0.0890423059463501
0.21,0.0,0.0,-0.0890423059463501
0.22,0.0,0.0,-0.0890423059463501
0.23,0.0,0.0,-0.0890423059463501
0.24,0.0,0.0,-0.0890423059463501
0.25,0.0,0.0,-0.0890423059463501
0.26,0.0,0.0,-0.0890423059463501
0.27,0.0,0.0,-0.0890423059463501
0.28,0.0,0.0,-0.0890423059463501
0.29,0.0,0.0,-0.0890423059463501
0.3,0.0,0.0,-0.0890423059463501
0.31,0.0,0.0,-0.0890423059463501
0.32,0.0,0.0,-0.0890423059463501
0.33,0.0,0.0015,-0.0890423059463501
0.34,0.0,0.00199,-0.0890423059463501
0.35,0.0,0.00237,-0.0890423059463501
0.36,0.0,0.0029,-0.0890423059463501
0.37,0.0,0.00331,-0.0890423059463501
0.38,0.0,0.00368,-0.0890423059463501
0.39,0.0,0.00402,-0.0890423059463501
0.4,0.0,0.0043,-0.0890423059463501
0.41,0.0,0.00451,-0.0890423059463501
0.42,0.0,0.00475,-0.0890423059463501
0.43,0.0,0.00491,-0.0890423059463501
0.44,0.0,0.00503,-0.0890423059463501
0.45,0.0,0.00511,-0.0890423059463501
0.46,0.0,0.00515,-0.0890423059463501
0.47,0.0,0.00516,-0.0890423059463501
0.48,0.0,0.00513,-0.0890423059463501
0.49,0.0,0.00508,-0.0890423059463501
0.5,0.0,0.00501,-0.0890423059463501
0.51,0.0,0.00492,-0.0890423059463501
0.52,0.0,0.00482,-0.0890423059463501
0.53,0.0,0.0047,-0.0890423059463501
0.54,0.0,0.00459,-0.0890423059463501
0.55,0.0,0.00447,-0.0890423059463501
0.56,0.0,0.00435,-0.0890423059463501
0.57,0.0,0.00426,-0.0890423059463501
0.58,0.0,0.00414,-0.0890423059463501
0.59,0.0,0.00404,-0.0890423059463501
0.6,0.0,0.00396,-0.0890423059463501
0.61,0.0,0.00388,-0.0890423059463501
0.62,0.0,0.00382,-0.0890423059463501
0.63,0.0,0.00377,-0.0890423059463501
0.64,0.0,0.00374,-0.0890423059463501
0.65,0.0,0.00371,-0.0890423059463501
0.66,0.0,0.00368,-0.0890423059463501
0.67,0.0,0.00367,-0.0890423059463501
0.68,0.0,0.00365,-0.0890423059463501
0.69,0.0,0.00363,-0.0890423059463501
0.7,0.0,0.00361,-0.0890423059463501
0.71,0.0,0.00358,-0.0890423059463501
0.72,0.0,0.00353,-0.0890423059463501
0.73,0.0,0.00348,-0.0890423059463501
0.74,0.0,0.0034,-0.0890423059463501
0.75,0.0,0.00331,-0.0890423059463501
0.76,0.0,0.00319,-0.0890423059463501
0.77,0.0,0.00304,-0.0890423059463501
0.78,0.0,0.00287,-0.0890423059463501
0.79,0.0,0.00267,-0.0890423059463501
0.8,0.0,0.00244,-0.0890423059463501
0.81,0.0,0.00218,-0.0890423059463501
0.82,0.0,0.00195,-0.0890423059463501
0.83,0.0,0.00164,-0.0890423059463501
0.84,0.0,0.00124,-0.0890423059463501
0.85,0.0,0.0,-0.0890423059463501
0.86,0.0,0.0,-0.0890423059463501
0.87,0.0,0.0,-0.0890423059463501
0.88,0.0,0.0,-0.0890423059463501
0.89,0.0,0.0,-0.0890423059463501
0.9,0.0,0.0,-0.0890423059463501
0.91,0.0,0.0,-0.0890423059463501
0.92,0.0,0.0,-0.0890423059463501
0.93,0.0,0.0,-0.0890423059463501
0.94,0.0,0.0,-0.0890423059463501
0.95,0.0,0.0,-0.0890423059463501
0.96,0.0,0.0,-0.0890423059463501
0.97,0.0,0.0,-0.0890423059463501
0.98,0.0,0.0,-0.0890423059463501
0.99,0.0,0.0,-0.0890423059463501
1.0,0.0,0.0,-0.0890423059463501
1.01,0.0,0.0,-0.0890423059463501
1.02,0.0,0.0,-0.0890423059463501
1.03,0.0,0.0,-0.0890423059463501
1.04,0.0,0.0,-0.0890423059463501
1.05,0.0,0.0,-0.0890423059463501
1.06,0.0,0.0,-0.0890423059463501
1.07,0.0,0.0,-0.0890423059463501
1.08,0.0,0.0,-0.0890423059463501
1.09,0.0,0.0,-0.0890423059463501
1.1,0.0,0.0,-0.08918321132659912
1.11,0.0,0.0,-0.08922344446182251
1.12,0.0,0.0,-0.08926922082901001
1.13,0.0,0.0,-0.08928307890892029
