time,veh_u,veh_v,model_T_lon_1560.pt
0.0,0.0,0.01722,-0.08789867162704468
0.01,0.0,0.01565,-0.08789867162704468
0.02,0.0,0.01409,-0.08789867162704468
0.03,0.0,0.01256,-0.08789867162704468
0.04,0.0,0.01105,-0.08789867162704468
0.05,0.0,0.00957,-0.08789867162704468
0.06,0.0,0.00815,-0.08789867162704468
0.07,0.0,0.00677,-0.08789867162704468
0.08,0.0,0.00546,-0.08789867162704468
0.09,0.0,0.00421,-0.08789867162704468
0.1,0.0,0.00303,-0.08789867162704468
0.11,0.0,0.00192,-0.08789867162704468
0.12,0.0,0.0,-0.08789867162704468
0.13,0.0,0.0,-0.08789867162704468
0.14,0.0,0.0,-0.08789867162704468
0.15,0.0,0.0,-0.08789867162704468
0.16,0.0,0.0,-0.08789867162704468
0.17,0.0,0.0,-0.08789867162704468
0.18,0.0,0.0,-0.08789867162704468
0.19,0.0,0.0,-0.08789867162704468
0.2,0.0,0.0,-0.08789867162704468
0.21,0.0,0.0,-0.08789867162704468
0.22,0.0,0.0,-0.08789867162704468
0.23,0.0,0.0,-0.08789867162704468
0.24,0.0,0.0,-0.08789867162704468
0.25,0.0,0.0,-0.08789867162704468
0.26,0.0,0.0,-0.08789867162704468
0.27,0.0,0.0,-0.08789867162704468
0.28,0.0,0.0,-0.08789867162704468
0.29,0.0,0.0,-0.08789867162704468
0.3,0.0,0.0,-0.08789867162704468
0.31,0.0,0.0,-0.08789867162704468
0.32,0.01094,0.0,-0.08789867162704468
0.33,0.01192,0.0,-0.08789867162704468
0.34,0.01278,0.0,-0.08789867162704468
0.35,0.01336,0.0,-0.08789867162704468
0.36,0.01405,0.0,-0.08789867162704468
0.37,0.01444,0.0,-0.08789867162704468
0.38,0.01468,0.0,-0.08789867162704468
0.39,0.01474,0.0,-0.08789867162704468
0.4,0.01463,0.0,-0.08789867162704468
0.41,0.01441,0.0,-0.08789867162704468
0.42,0.01389,0.0,-0.08789867162704468
0.43,0.01326,0.0,-0.08789867162704468
0.44,0.01248,0.0,-0.08789867162704468
0.45,0.01153,0.0,-0.08789867162704468
0.46,0.01044,0.0,-0.08789867162704468
0.47,0.0,0.0,-0.08789867162704468
0.48,0.0,0.0,-0.08789867162704468
0.49,0.0,0.0,-0.08789867162704468
0.5,0.0,0.0,-0.08789867162704468
0.51,0.0,0.0,-0.08789867162704468
0.52,0.0,0.0,-0.08789867162704468
0.53,0.0,0.0,-0.08789867162704468
0.54,0.0,0.0,-0.08789867162704468
0.55,0.0,0.0,-0.08789867162704468
0.56,0.0,0.0,-0.08789867162704468
0.57,0.0,0.0,-0.08789867162704468
0.58,0.0,0.0,-0.08789867162704468
0.59,0.0,0.0,-0.08789867162704468
0.6,0.0,0.0,-0.08789867162704468
0.61,0.0,0.0,-0.08789867162704468
0.62,0.0,0.0,-0.08789867162704468
0.63,0.0,0.0,-0.08789867162704468
0.64,0.0,0.0,-0.08789867162704468
0.65,0.0,0.0,-0.08789867162704468
0.66,0.0,0.0,-0.08789867162704468
0.67,0.0,0.0,-0.08789867162704468
0.68,0.0,0.0,-0.08789867162704468
0.69,0.0,0.0,-0.08789867162704468
0.7,0.0,0.0,-0.08789867162704468
0.71,0.0,0.0,-0.08789867162704468
0.72,0.0,0.0,-0.08789867162704468
0.73,0.0,0.0,-0.08789867162704468
0.74,0.0,0.0,-0.08789867162704468
0.75,0.0,0.0,-0.08789867162704468
0.76,0.0,0.0,-0.08789867162704468
0.77,0.0,0.0,-0.08789867162704468
0.78,0.0,0.0,-0.08789867162704468
