time,veh_u,veh_v,model_T_lon_1560.pt
1.24,0.0,0.0,-0.09251183271408081
1.25,0.0,0.0,-0.09252426028251648
1.26,0.0,0.0,-0.09254264831542969
1.27,0.0,0.00168,-0.09251701831817627
1.28,0.0,0.00234,-0.09249722957611084
1.29,0.0,0.00296,-0.09245800971984863
1.3,0.0,0.00353,-0.09239804744720459
1.31,0.0,0.00404,-0.09237310290336609
1.32,0.0,0.00449,-0.0922892689704895
1.33,0.0,0.00488,-0.09242725372314453
1.34,0.0,0.0052,-0.09237480163574219
1.35,0.0,0.00545,-0.0922938883304596
1.36,0.0,0.00563,-0.09226351976394653
1.37,0.0,0.00574,-0.09225985407829285
1.38,0.0,0.00578,-0.09213927388191223
1.39,0.0,0.00577,-0.09223735332489014
1.4,0.0,0.0057,-0.0922187864780426
1.41,0.0,0.00553,-0.09225982427597046
1.42,0.0,0.00532,-0.09223994612693787
1.43,0.0,0.00506,-0.09226462244987488
1.44,0.0,0.00476,-0.09232455492019653
1.45,0.0,0.00441,-0.09218847751617432
1.46,0.0,0.00403,-0.09210717678070068
1.47,0.0,0.00361,-0.09190431237220764
1.48,0.0,0.00318,-0.09153604507446289
1.49,0.0,0.00272,-0.09106293320655823
1.5,0.0,0.00225,-0.09061485528945923
1.51,0.0,0.00178,-0.09005126357078552
1.52,0.0,0.0013,-0.08937203884124756
1.53,0.0,0.0,-0.08869552612304688
1.54,0.0,0.0,-0.08802318572998047
1.55,0.0,0.0,-0.08731675148010254
1.56,0.0,0.0,-0.08671191334724426
1.57,0.0,0.0,-0.08625704050064087
1.58,0.0,0.0,-0.08572867512702942
1.59,0.0,0.0,-0.08520975708961487
1.6,0.0,0.0,-0.08479544520378113
1.61,0.0,0.0,-0.08446156978607178
1.62,0.0,0.0,-0.08399617671966553
1.63,0.0,0.0,-0.08349573612213135
1.64,0.0,0.0,-0.08318260312080383
1.65,0.0,0.0,-0.08274120092391968
1.66,0.0,0.0,-0.08238065242767334
1.67,0.0,0.0,-0.08182787895202637
1.68,0.0,0.0,-0.08155357837677002
1.69,0.0,0.0,-0.08104637265205383
1.7,0.0,0.0,-0.08048844337463379
1.71,0.0,0.0,-0.08023419976234436
1.72,0.0,0.0,-0.07967227697372437
1.73,0.0,0.0,-0.0791950523853302
1.74,0.0,0.0,-0.07882413268089294
1.75,0.0,0.0,-0.07852679491043091
1.76,0.0,0.0,-0.07812237739562988
1.77,0.0,0.0,-0.07776620984077454
1.78,0.0,0.0,-0.07745715975761414
1.79,0.0,0.0,-0.07725447416305542
1.8,0.0,0.0,-0.07696869969367981
1.81,0.0,0.0,-0.0767369270324707
1.82,0.0,0.0,-0.07632511854171753
1.83,0.0,0.0,-0.07616370916366577
1.84,0.0,0.0,-0.07585686445236206
1.85,0.0,0.0,-0.07563644647598267
1.86,0.0,0.0,-0.07547318935394287
1.87,0.0,0.0,-0.07536262273788452
1.88,0.01022,0.0,-0.07506835460662842
1.89,0.01163,0.0,-0.07490849494934082
1.9,0.0131,0.0,-0.07480311393737793
1.91,0.01466,0.0,-0.07464644312858582
1.92,0.01666,0.0,-0.07452398538589478
1.93,0.01844,0.0,-0.07433557510375977
1.94,0.02031,0.0,-0.07433009147644043
1.95,0.02228,0.0,-0.07405725121498108
1.96,0.02436,0.0,-0.07392242550849915
1.97,0.02653,0.0,-0.07380270957946777
1.98,0.02882,0.0,-0.07373195886611938
1.99,0.03121,0.0,-0.07358026504516602
2.0,0.03371,0.0,-0.07359009981155396
2.01,0.0358,0.0,-0.07337838411331177
2.02,0.03907,0.0,-0.07323068380355835
