time,veh_u,veh_v,model_T_lon_1560.pt
0.0,0.0,0.0047,-0.08183923363685608
0.01,0.0,0.00433,-0.08183923363685608
0.02,0.0,0.00397,-0.08183923363685608
0.03,0.0,0.00362,-0.08183923363685608
0.04,0.0,0.00327,-0.08183923363685608
0.05,0.0,0.00294,-0.08183923363685608
0.06,0.0,0.00263,-0.08183923363685608
0.07,0.0,0.00233,-0.08183923363685608
0.08,0.0,0.00204,-0.08183923363685608
0.09,0.0,0.00178,-0.08183923363685608
0.1,0.0,0.00153,-0.08183923363685608
0.11,0.0,0.00131,-0.08183923363685608
0.12,0.0,0.00111,-0.08183923363685608
0.13,0.0,0.0,-0.08183923363685608
0.14,0.0,0.0,-0.08183923363685608
0.15,0.0,0.0,-0.08183923363685608
0.16,0.0,0.0,-0.08183923363685608
0.17,0.0,0.0,-0.08183923363685608
0.18,0.0,0.0,-0.08183923363685608
0.19,0.0,0.0,-0.08183923363685608
0.2,0.0,0.0,-0.08183923363685608
0.21,0.0,0.0,-0.08183923363685608
0.22,0.0,0.0,-0.08183923363685608
0.23,0.0,0.0,-0.08183923363685608
0.24,0.0,0.0,-0.08183923363685608
0.25,0.0,0.0,-0.08183923363685608
0.26,0.0,0.0,-0.08183923363685608
0.27,0.0,0.0,-0.08183923363685608
0.28,0.0,0.0,-0.08183923363685608
0.29,0.0,0.0,-0.08183923363685608
0.3,0.0,0.00103,-0.08183923363685608
0.31,0.0,0.00117,-0.08183923363685608
0.32,0.0,0.0013,-0.08183923363685608
0.33,0.0,0.00144,-0.08183923363685608
0.34,0.0,0.00158,-0.08183923363685608
0.35,0.0,0.00169,-0.08183923363685608
0.36,0.0,0.00184,-0.08183923363685608
0.37,0.0,0.00196,-0.08183923363685608
0.38,0.0,0.00207,-0.08183923363685608
0.39,0.0,0.00217,-0.08183923363685608
0.4,0.0,0.00224,-0.08183923363685608
0.41,0.0,0.00229,-0.08183923363685608
0.42,0.0,0.00234,-0.08183923363685608
0.43,0.0,0.00235,-0.08183923363685608
0.44,0.0,0.00234,-0.08183923363685608
0.45,0.0,0.0023,-0.08183923363685608
0.46,0.0,0.00222,-0.08183923363685608
0.47,0.0,0.00214,-0.08183923363685608
0.48,0.0,0.00197,-0.08183923363685608
0.49,0.0,0.00179,-0.08183923363685608
0.5,0.0,0.00157,-0.08183923363685608
0.51,0.0,0.00132,-0.08183923363685608
0.52,0.0,0.00103,-0.08183923363685608
0.53,0.0,0.0,-0.08183923363685608
0.54,0.0,0.0,-0.08183923363685608
0.55,0.0,0.0,-0.08183923363685608
0.56,0.0,0.0,-0.08183923363685608
0.57,0.0,0.0,-0.08183923363685608
0.58,0.0,0.0,-0.08183923363685608
0.59,0.0,0.0,-0.08183923363685608
0.6,0.0,0.0,-0.08183923363685608
0.61,0.0,0.0,-0.08183923363685608
0.62,0.0,0.0,-0.08183923363685608
0.63,0.0,0.0,-0.08183923363685608
0.64,0.0,0.0,-0.08183923363685608
0.65,0.0,0.0,-0.08183923363685608
0.66,0.0,0.0,-0.08183923363685608
0.67,0.0,0.0,-0.08183923363685608
0.68,0.0,0.0,-0.08183923363685608
0.69,0.0,0.0,-0.08183923363685608
0.7,0.0,0.0,-0.08183923363685608
0.71,0.0,0.0,-0.08183923363685608
0.72,0.0,0.0,-0.08183923363685608
0.73,0.0,0.0,-0.08183923363685608
0.74,0.0,0.0,-0.08183923363685608
0.75,0.0,0.0,-0.08183923363685608
0.76,0.0,0.0,-0.08183923363685608
0.77,0.0,0.0,-0.08183923363685608
0.78,0.0,0.0,-0.08183923363685608
0.79,0.0,0.0,-0.08183923363685608
0.8,0.0,0.0,-0.08183923363685608
0.81,0.0,0.0,-0.08183923363685608
0.82,0.0,0.0,-0.08183923363685608
0.83,0.0,0.0,-0.08183923363685608
0.84,0.0,0.0,-0.08183923363685608
0.85,0.0,0.0,-0.08183923363685608
0.86,0.0,0.0,-0.08183923363685608
0.87,0.0,0.0,-0.08183923363685608
0.88,0.0,0.0,-0.08183923363685608
0.89,0.0,0.0,-0.08183923363685608
0.9,0.0,0.0,-0.08183923363685608
0.91,0.0,0.0,-0.08183923363685608
0.92,0.0,0.0,-0.08183923363685608
0.93,0.0,0.0,-0.08183923363685608
0.94,0.0,0.0,-0.08183923363685608
0.95,0.0,0.0,-0.08183923363685608
0.96,0.0,0.0,-0.08183923363685608
0.97,0.0,0.0,-0.08183923363685608
0.98,0.0,0.0,-0.08183923363685608
0.99,0.0,0.00109,-0.08183923363685608
1.0,0.0,0.00208,-0.08183923363685608
