time,veh_u,veh_v,model_LSTM_lon_2139.pt
0.0,0.0,0.0,-0.05780811607837677
0.01,0.0,0.0,-0.05780811607837677
0.02,0.0,0.0,-0.05780811607837677
0.03,0.0,0.0,-0.05780811607837677
0.04,0.0,0.0,-0.05780811607837677
0.05,0.0,0.0,-0.05780811607837677
0.06,0.0,0.0,-0.05780811607837677
0.07,0.0,0.0,-0.05780811607837677
0.08,0.0,0.0,-0.05780811607837677
0.09,0.0,0.0,-0.05780811607837677
0.1,0.0,0.0,-0.05780811607837677
0.11,0.0,0.0,-0.05780811607837677
0.12,0.0,0.0,-0.05780811607837677
0.13,0.0,0.0,-0.05780811607837677
0.14,0.0,0.0,-0.05780811607837677
0.15,0.0,0.00105,-0.05780811607837677
0.16,0.0,0.00131,-0.05780811607837677
0.17,0.0,0.00152,-0.05780811607837677
0.18,0.0,0.0017,-0.05780811607837677
0.19,0.0,0.00183,-0.05780811607837677
0.2,0.0,0.00192,-0.05780811607837677
0.21,0.0,0.00197,-0.05780811607837677
0.22,0.0,0.00198,-0.05780811607837677
0.23,0.0,0.00196,-0.05780811607837677
0.24,0.0,0.0019,-0.05780811607837677
0.25,0.0,0.0018,-0.05780811607837677
0.26,0.0,0.00168,-0.05780811607837677
0.27,0.0,0.00153,-0.05780811607837677
0.28,0.0,0.00135,-0.05780811607837677
0.29,0.0,0.00115,-0.05780811607837677
0.3,0.0,0.0,-0.05780811607837677
0.31,0.0,0.0,-0.05780811607837677
0.32,0.0,0.0,-0.05780811607837677
0.33,0.0,0.0,-0.05780811607837677
0.34,0.0,0.0,-0.05780811607837677
0.35,0.0,0.0,-0.05780811607837677
0.36,0.0,0.0,-0.05780811607837677
0.37,0.0,0.0,-0.05780811607837677
0.38,0.0,0.0,-0.05780811607837677
0.39,0.0,0.0,-0.05780811607837677
0.4,0.0,0.0,-0.05780811607837677
0.41,0.0,0.0,-0.05780811607837677
0.42,0.0,0.0,-0.05780811607837677
0.43,0.0,0.0,-0.05780811607837677
0.44,0.0,0.0,-0.05780811607837677
0.45,0.0,0.0,-0.05780811607837677
0.46,0.0,0.0,-0.05780811607837677
0.47,0.0,0.0,-0.05780811607837677
0.48,0.0,0.0,-0.05780811607837677
0.49,0.0,0.0,-0.05780811607837677
0.5,0.0,0.0,-0.057527415454387665
0.51,0.0,0.0,-0.057142216712236404
0.52,0.0,0.0,-0.056748341768980026
0.53,0.0,0.0,-0.056335434317588806
0.54,0.0,0.0,-0.055906519293785095
0.55,0.0,0.0,-0.05546054244041443
0.56,0.0,0.0,-0.05504253879189491
0.57,0.0,0.0,-0.05461694672703743
0.58,0.0,0.0,-0.054204631596803665
0.59,0.0,0.0,-0.053820379078388214
0.6,0.0,0.0,-0.05344377085566521
0.61,0.0,0.0,-0.05308050289750099
0.62,0.0,0.0,-0.05275683477520943
0.63,0.0,0.0,-0.052450843155384064
0.64,0.0,0.0,-0.052153535187244415
0.65,0.0,0.0,-0.0518958754837513
0.66,0.0,0.0,-0.05169013515114784
0.67,0.0,0.0,-0.05148851498961449
0.68,0.0,0.0,-0.05133236572146416
0.69,0.0,0.0,-0.05125313252210617
0.7,0.0,0.0,-0.05123479291796684
0.71,0.0,0.0,-0.05127871409058571
0.72,0.0,0.00116,-0.0514012835919857
0.73,0.0,0.00145,-0.05153848975896835
0.74,0.0,0.00172,-0.05168912932276726
0.75,0.0,0.00199,-0.051878780126571655
0.76,0.0,0.00224,-0.05209296941757202
0.77,0.0,0.00247,-0.052335865795612335
0.78,0.0,0.00269,-0.052610673010349274
0.79,0.0,0.00288,-0.05292090028524399
0.8,0.0,0.00306,-0.05321304500102997
0.81,0.0,0.00321,-0.05351448431611061
0.82,0.0,0.00331,-0.053834546357393265
0.83,0.0,0.00342,-0.05413205549120903
0.84,0.0,0.00351,-0.054414052516222
0.85,0.0,0.00355,-0.05474837124347687
0.86,0.0,0.00357,-0.055057279765605927
0.87,0.0,0.00356,-0.05532282963395119
0.88,0.0,0.00353,-0.0556100457906723
0.89,0.0,0.00346,-0.05587827041745186
0.9,0.0,0.00338,-0.05609597638249397
0.91,0.0,0.00327,-0.05627208575606346
0.92,0.0,0.00314,-0.05639270320534706
0.93,0.0,0.00299,-0.056458182632923126
0.94,0.0,0.00286,-0.056494854390621185
0.95,0.0,0.00268,-0.05653127655386925
0.96,0.0,0.00244,-0.05650322139263153
0.97,0.0,0.00224,-0.05643187090754509
0.98,0.0,0.00203,-0.056345872581005096
0.99,0.0,0.00181,-0.05618772283196449
1.0,0.0,0.00159,-0.055990297347307205
1.01,0.0,0.00137,-0.05581803247332573
1.02,0.0,0.00116,-0.055608827620744705
1.03,0.0,0.0,-0.05538075044751167
1.04,0.0,0.0,-0.055166855454444885
1.05,0.0,0.0,-0.05496051907539368
1.06,0.0,0.0,-0.054718267172575
