time,veh_u,veh_v,model_LSTM_lon_2139.pt
0.0,0.02213,0.02112,0.017568951472640038
0.01,0.02182,0.01911,0.017568951472640038
0.02,0.02141,0.01713,0.017568951472640038
0.03,0.02088,0.01519,0.017568951472640038
0.04,0.02024,0.0133,0.017568951472640038
0.05,0.01948,0.01147,0.017568951472640038
0.06,0.01861,0.00972,0.017568951472640038
0.07,0.01763,0.00805,0.017568951472640038
0.08,0.01655,0.00649,0.017568951472640038
0.09,0.01536,0.00502,0.017568951472640038
0.1,0.01408,0.00367,0.017568951472640038
0.11,0.01272,0.00244,0.017568951472640038
0.12,0.01128,0.00133,0.017568951472640038
0.13,0.00174,0.0,0.017568951472640038
0.14,0.0,0.0,0.017568951472640038
0.15,0.0,0.0,0.017568951472640038
0.16,0.0,0.0,0.017568951472640038
0.17,0.0,0.0,0.017568951472640038
0.18,0.0,0.0,0.017568951472640038
0.19,0.0,0.0,0.017568951472640038
0.2,0.0,0.0,0.017568951472640038
0.21,0.0,0.0,0.017568951472640038
0.22,0.0,0.0,0.017568951472640038
0.23,0.0,0.0,0.017568951472640038
0.24,0.0,0.0,0.017568951472640038
0.25,0.0,0.0,0.017568951472640038
0.26,0.0,0.0,0.017568951472640038
0.27,0.0,0.0,0.017568951472640038
0.28,0.0,0.0,0.017568951472640038
0.29,0.0,0.0,0.017568951472640038
0.3,0.0,0.0,0.017568951472640038
0.31,0.0,0.0,0.017568951472640038
0.32,0.0,0.0,0.017568951472640038
0.33,0.0,0.0015,0.017568951472640038
0.34,0.0,0.00199,0.017568951472640038
0.35,0.0,0.00237,0.017568951472640038
0.36,0.0,0.0029,0.017568951472640038
0.37,0.0,0.00331,0.017568951472640038
0.38,0.0,0.00368,0.017568951472640038
0.39,0.0,0.00402,0.017568951472640038
0.4,0.0,0.0043,0.017568951472640038
0.41,0.0,0.00451,0.017568951472640038
0.42,0.0,0.00475,0.017568951472640038
0.43,0.0,0.00491,0.017568951472640038
0.44,0.0,0.00503,0.017568951472640038
0.45,0.0,0.00511,0.017568951472640038
0.46,0.0,0.00515,0.017568951472640038
0.47,0.0,0.00516,0.017568951472640038
0.48,0.0,0.00513,0.017568951472640038
0.49,0.0,0.00508,0.017568951472640038
0.5,0.0,0.00501,0.018469521775841713
0.51,0.0,0.00492,0.019242843613028526
