time,veh_u,veh_v,model_LSTM_lon_2139.pt
0.0,0.05073,0.0,0.03881663829088211
0.01,0.04555,0.0,0.03881663829088211
0.02,0.04022,0.0,0.03881663829088211
0.03,0.0348,0.0,0.03881663829088211
0.04,0.02931,0.0,0.03881663829088211
0.05,0.0238,0.0,0.03881663829088211
0.06,0.0183,0.0,0.03881663829088211
0.07,0.01284,0.0,0.03881663829088211
0.08,0.0,0.0,0.03881663829088211
0.09,0.0,0.0,0.03881663829088211
0.1,0.0,0.0,0.03881663829088211
0.11,0.0,0.0,0.03881663829088211
0.12,0.0,0.0,0.03881663829088211
0.13,0.0,0.0,0.03881663829088211
0.14,0.0,0.0,0.03881663829088211
0.15,0.0,0.0,0.03881663829088211
0.16,0.0,0.0,0.03881663829088211
0.17,0.0,0.0,0.03881663829088211
0.18,0.0,0.00166,0.03881663829088211
0.19,0.0,0.00241,0.03881663829088211
0.2,0.0,0.0031,0.03881663829088211
0.21,0.0,0.00374,0.03881663829088211
0.22,0.0,0.00432,0.03881663829088211
0.23,0.0,0.00485,0.03881663829088211
0.24,0.0,0.00532,0.03881663829088211
0.25,0.0,0.00574,0.03881663829088211
0.26,0.0,0.0061,0.03881663829088211
0.27,0.0,0.0064,0.03881663829088211
0.28,0.0,0.00665,0.03881663829088211
0.29,0.0,0.00685,0.03881663829088211
0.3,0.0,0.00701,0.03881663829088211
0.31,0.0,0.00711,0.03881663829088211
0.32,0.0,0.00717,0.03881663829088211
0.33,0.0,0.00719,0.03881663829088211
0.34,0.0,0.00716,0.03881663829088211
0.35,0.0,0.00711,0.03881663829088211
0.36,0.0,0.007,0.03881663829088211
0.37,0.0,0.00687,0.03881663829088211
0.38,0.0,0.0067,0.03881663829088211
0.39,0.0,0.00651,0.03881663829088211
0.4,0.0,0.00629,0.03881663829088211
0.41,0.0,0.00609,0.03881663829088211
0.42,0.01188,0.00578,0.03881663829088211
0.43,0.015,0.00549,0.03881663829088211
0.44,0.01789,0.00519,0.03881663829088211
0.45,0.02053,0.00486,0.03881663829088211
0.46,0.02288,0.00453,0.03881663829088211
0.47,0.02455,0.00424,0.03881663829088211
0.48,0.02666,0.00381,0.03881663829088211
0.49,0.02805,0.00344,0.03881663829088211
0.5,0.02909,0.00305,0.03811311721801758
0.51,0.02977,0.00266,0.03709110990166664
0.52,0.03009,0.00226,0.035801418125629425
0.53,0.03006,0.00185,0.034256238490343094
0.54,0.02968,0.00143,0.03253931552171707
0.55,0.02897,0.00101,0.03068193979561329
0.56,0.02792,0.0,0.028723789379000664
0.57,0.02686,0.0,0.02665574476122856
0.58,0.02494,0.0,0.024507855996489525
0.59,0.02304,0.0,0.0223085954785347
0.6,0.02091,0.0,0.02013215981423855
0.61,0.01857,0.0,0.018013209104537964
0.62,0.01605,0.0,0.01599551923573017
0.63,0.01339,0.0,0.014084374532103539
0.64,0.01062,0.0,0.012234607711434364
0.65,0.0,0.0,0.010475356131792068
0.66,0.0,0.0,0.008841615170240402
0.67,0.0,0.0,0.0073357135988771915
0.68,0.0,0.0,0.005989742930978537
0.69,0.0,0.0,0.004808145109564066
0.7,0.0,0.0,0.003812787588685751
0.71,0.0,0.0,0.0029604691080749035
0.72,0.0,0.0,0.0022508972324430943
0.73,0.0,0.0,0.0017017321661114693
0.74,0.0,0.0,0.0013345968909561634
0.75,0.0,0.0,0.0011477479711174965
0.76,0.0,0.0,0.0011465316638350487
0.77,0.0,0.0,0.0013191839680075645
0.78,0.0,0.0,0.0016262833960354328
0.79,0.0,0.0,0.002035224810242653
0.8,0.0,0.0,0.0025545782409608364
0.81,0.0,0.0,0.00321381539106369
0.82,0.0,0.0,0.004006886389106512
0.83,0.0,0.0,0.004916009027510881
0.84,0.0,0.0,0.005918172653764486
0.85,0.0,0.0,0.007003473583608866
0.86,0.0,0.0,0.008173912763595581
0.87,0.0,0.0,0.009451813995838165
0.88,0.0,0.0,0.01077280007302761
0.89,0.0,0.0,0.01212453655898571
0.9,0.0,0.0,0.0134955495595932
0.91,0.0,0.0,0.014814229682087898
0.92,0.0,0.0,0.01605025865137577
0.93,0.0,0.0,0.017234936356544495
0.94,0.0,0.0,0.018333911895751953
0.95,0.0,0.0,0.019343454390764236
0.96,0.0,0.0,0.020274700596928596
0.97,0.0,0.0,0.02105364389717579
0.98,0.0,0.0,0.021710524335503578
0.99,0.0,0.0,0.02222776599228382
1.0,0.0,0.0,0.022612756118178368
1.01,0.0,0.0,0.022872114554047585
1.02,0.0,0.0,0.023014992475509644
1.03,0.0,0.0,0.02300712652504444
1.04,0.0,0.0,0.02287405915558338
