ID;model_type;sequence_length;kernel_size;dilation_schedule;num_residual_blocks;channels_per_layer;convolutions_per_block;dropout;input_dim;head_pooling;use_weight_norm;activation;norm_in_block;output_clamp_min;optimizer;learning_rate;weight_decay;loss;grad_clip;batch_size;seed
414;TCN;150;5;1,2,4,8,16,32;6;64,64,64,64,64,64;2;0.1;1;last;TRUE;relu;none;;adamw;0.001;0.01;mse;1;128;42
415;TCN;150;5;1,2,4,8,16,32;6;64,64,64,64,64,64;3;0.1;1;last;TRUE;relu;none;;adamw;0.001;0.01;mse;1;128;42
416;TCN;160;4;1,2,4,8,16;4;64,64,64,64;2;0.1;1;last;TRUE;relu;none;;adamw;0.001;0.01;mse;1;128;42
417;TCN;160;4;1,2,4,8,16;4;64,64,64,64;3;0.1;1;last;TRUE;relu;none;;adamw;0.001;0.01;mse;1;128;42
418;TCN;160;4;1,2,4,8,16;5;64,64,64,64,64;2;0.1;1;last;TRUE;relu;none;;adamw;0.001;0.01;mse;1;128;42
419;TCN;160;4;1,2,4,8,16;5;64,64,64,64,64;3;0.1;1;last;TRUE;relu;none;;adamw;0.001;0.01;mse;1;128;42
420;TCN;160;4;1,2,4,8,16;6;64,64,64,64,64,64;2;0.1;1;last;TRUE;relu;none;;adamw;0.001;0.01;mse;1;128;42
421;TCN;160;4;1,2,4,8,16;6;64,64,64,64,64,64;3;0.1;1;last;TRUE;relu;none;;adamw;0.001;0.01;mse;1;128;42
422;TCN;160;5;1,2,4,8,16,32;4;64,64,64,64;2;0.1;1;last;TRUE;relu;none;;adamw;0.001;0.01;mse;1;128;42
423;TCN;160;5;1,2,4,8,16,32;4;64,64,64,64;3;0.1;1;last;TRUE;relu;none;;adamw;0.001;0.01;mse;1;128;42
424;TCN;160;5;1,2,4,8,16,32;5;64,64,64,64,64;2;0.1;1;last;TRUE;relu;none;;adamw;0.001;0.01;mse;1;128;42
425;TCN;160;5;1,2,4,8,16,32;5;64,64,64,64,64;3;0.1;1;last;TRUE;relu;none;;adamw;0.001;0.01;mse;1;128;42
426;TCN;160;5;1,2,4,8,16,32;6;64,64,64,64,64,64;2;0.1;1;last;TRUE;relu;none;;adamw;0.001;0.01;mse;1;128;42
427;TCN;160;5;1,2,4,8,16,32;6;64,64,64,64,64,64;3;0.1;1;last;TRUE;relu;none;;adamw;0.001;0.01;mse;1;128;42
428;TCN;170;4;1,2,4,8,16;4;64,64,64,64;2;0.1;1;last;TRUE;relu;none;;adamw;0.001;0.01;mse;1;128;42
429;TCN;170;4;1,2,4,8,16;4;64,64,64,64;3;0.1;1;last;TRUE;relu;none;;adamw;0.001;0.01;mse;1;128;42
430;TCN;170;4;1,2,4,8,16;5;64,64,64,64,64;2;0.1;1;last;TRUE;relu;none;;adamw;0.001;0.01;mse;1;128;42
431;TCN;170;4;1,2,4,8,16;5;64,64,64,64,64;3;0.1;1;last;TRUE;relu;none;;adamw;0.001;0.01;mse;1;128;42
432;TCN;170;4;1,2,4,8,16;6;64,64,64,64,64,64;2;0.1;1;last;TRUE;relu;none;;adamw;0.001;0.01;mse;1;128;42
433;TCN;170;4;1,2,4,8,16;6;64,64,64,64,64,64;3;0.1;1;last;TRUE;relu;none;;adamw;0.001;0.01;mse;1;128;42
434;TCN;170;5;1,2,4,8,16,32;4;64,64,64,64;2;0.1;1;last;TRUE;relu;none;;adamw;0.001;0.01;mse;1;128;42
435;TCN;170;5;1,2,4,8,16,32;4;64,64,64,64;3;0.1;1;last;TRUE;relu;none;;adamw;0.001;0.01;mse;1;128;42
436;TCN;170;5;1,2,4,8,16,32;5;64,64,64,64,64;2;0.1;1;last;TRUE;relu;none;;adamw;0.001;0.01;mse;1;128;42
437;TCN;170;5;1,2,4,8,16,32;5;64,64,64,64,64;3;0.1;1;last;TRUE;relu;none;;adamw;0.001;0.01;mse;1;128;42
438;TCN;170;5;1,2,4,8,16,32;6;64,64,64,64,64,64;2;0.1;1;last;TRUE;relu;none;;adamw;0.001;0.01;mse;1;128;42
439;TCN;170;5;1,2,4,8,16,32;6;64,64,64,64,64,64;3;0.1;1;last;TRUE;relu;none;;adamw;0.001;0.01;mse;1;128;42
