time,veh_u,model_RNN_lon_2020.pt,model_LSTM_lon_2139.pt,model_GRU_lon_2080.pt,model_TCN_lon_129.pt,model_T_lon_1560.pt,best_wheel,model_based,ekf_m_bw,veh_ref,ekf_ai
0.0,0.0,0.028895244002342224,0.05383714288473129,0.023553116247057915,-0.008383974432945251,-0.08183923363685608,0,-0.758278145695364,-1.51655489381841e-14,0,0.0119279607163165
0.01,0.0,0.028895244002342224,0.05383714288473129,0.023553116247057915,-0.008383974432945251,-0.08183923363685608,0,-0.758278145695364,1.74604902612873e-20,0,0.00937777113171686
0.02,0.0,0.028895244002342224,0.05383714288473129,0.023553116247057915,-0.008383974432945251,-0.08183923363685608,0,-0.758278145695364,3.11174489696909e-20,0,0.00393532686173645
0.03,0.0,0.028895244002342224,0.05383714288473129,0.023553116247057915,-0.008383974432945251,-0.08183923363685608,0,-0.758278145695364,5.77656410897578e-20,0,0.000112241798876523
0.04,0.0,0.028895244002342224,0.05383714288473129,0.023553116247057915,-0.008383974432945251,-0.08183923363685608,-0.001684,-0.758278145695364,-0.0016839999998316,0,-0.00565012280023045
0.05,0.0,0.028895244002342224,0.05383714288473129,0.023553116247057915,-0.008383974432945251,-0.08183923363685608,-0.001684,-0.758278145695364,-0.00168399999957621,0,-0.00702900488342106
0.06,0.0,0.028895244002342224,0.05383714288473129,0.023553116247057915,-0.008383974432945251,-0.08183923363685608,0,-0.758278145695364,2.5538859221852e-13,0,-0.00945063686915857
0.07,0.0,0.028895244002342224,0.05383714288473129,0.023553116247057915,-0.008383974432945251,-0.08183923363685608,0,-0.758278145695364,1.70903786359581e-18,0,-0.00951425726891306
0.08,0.0,0.028895244002342224,0.05383714288473129,0.023553116247057915,-0.008383974432945251,-0.08183923363685608,0,-0.758278145695364,5.12154501090372e-18,0,-0.0114253558198044
0.09,0.0,0.028895244002342224,0.05383714288473129,0.023553116247057915,-0.008383974432945251,-0.08183923363685608,0,-0.758278145695364,1.6198340445936e-17,0,-0.0114130782047539
0.1,0.0,0.028895244002342224,0.05383714288473129,0.023553116247057915,-0.008383974432945251,-0.08183923363685608,0,-0.758278145695364,5.27141425603057e-17,0,-0.0114504799278993
0.11,0.0,0.028895244002342224,0.05383714288473129,0.023553116247057915,-0.008383974432945251,-0.08183923363685608,0,-0.758278137417219,1.12417365726643e-15,0,-0.0113171896996319
0.12,0.0,0.028895244002342224,0.05383714288473129,0.023553116247057915,-0.008383974432945251,-0.08183923363685608,0,-0.75827811427046,-2.51709053990593e-15,0,-0.0115994768601326
0.13,0.0,0.028895244002342224,0.05383714288473129,0.023553116247057915,-0.008383974432945251,-0.08183923363685608,0,-0.7582780984273,1.0191785024434e-14,0,-0.0114423550385003
0.14,0.0,0.028895244002342224,0.05383714288473129,0.023553116247057915,-0.008383974432945251,-0.08183923363685608,0,-0.758278042225989,-2.10502730697837e-14,0,-0.0112504057115154
0.15,0.0,0.028895244002342224,0.05383714288473129,0.023553116247057915,-0.008383974432945251,-0.08183923363685608,0,-0.758278045221223,5.40436835907987e-14,0,-0.0110675954991749
0.16,0.0,0.028895244002342224,0.05383714288473129,0.023553116247057915,-0.008383974432945251,-0.08183923363685608,0,-0.758277904242165,-1.11145034148441e-13,0,-0.0100208634097856
0.17,0.0,0.028895244002342224,0.05383714288473129,0.023553116247057915,-0.008383974432945251,-0.08183923363685608,0,-0.758278049107739,1.07350543385176e-13,0,-0.00983976540491836
