time,veh_u,model_RNN_lon_2020.pt,model_LSTM_lon_2139.pt,model_GRU_lon_2080.pt,model_TCN_lon_129.pt,model_T_lon_1560.pt,best_wheel,model_based,ekf_m_bw,veh_ref,ekf_ai
0.0,0.02873,0.030377447605133057,0.006492156069725752,-0.0014936821535229683,-0.004799738526344299,-0.0925615131855011,0,-0.758278145695364,-1.51655489381841e-14,0,0.0575239478732147
0.01,0.02754,0.030377447605133057,0.006492156069725752,-0.0014936821535229683,-0.004799738526344299,-0.0925615131855011,0,-0.758278145695364,1.74604902612873e-20,0,0.0497679421123655
0.02,0.02624,0.030377447605133057,0.006492156069725752,-0.0014936821535229683,-0.004799738526344299,-0.0925615131855011,0,-0.758278145695364,3.11174489696909e-20,0,0.0363639063732682
0.03,0.02485,0.030377447605133057,0.006492156069725752,-0.0014936821535229683,-0.004799738526344299,-0.0925615131855011,0,-0.758278145695364,5.77656410897578e-20,0,0.0253202170132959
0.04,0.02337,0.030377447605133057,0.006492156069725752,-0.0014936821535229683,-0.004799738526344299,-0.0925615131855011,0,-0.758278145695364,1.14828799044305e-19,0,0.0102325285125733
0.05,0.0218,0.030377447605133057,0.006492156069725752,-0.0014936821535229683,-0.004799738526344299,-0.0925615131855011,0,-0.758278145695364,2.51904207072917e-19,0,0.00556252678166497
0.06,0.02015,0.030377447605133057,0.006492156069725752,-0.0014936821535229683,-0.004799738526344299,-0.0925615131855011,0,-0.758278145695364,6.21000054609898e-19,0,-0.00105999335287592
0.07,0.01842,0.030377447605133057,0.006492156069725752,-0.0014936821535229683,-0.004799738526344299,-0.0925615131855011,0,-0.758278145695364,1.70979225231446e-18,0,-0.00106348406577213
0.08,0.01664,0.030377447605133057,0.006492156069725752,-0.0014936821535229683,-0.004799738526344299,-0.0925615131855011,0,-0.758278145695364,5.1227560033205e-18,0,-0.0062767819383152
0.09,0.0148,0.030377447605133057,0.006492156069725752,-0.0014936821535229683,-0.004799738526344299,-0.0925615131855011,-0.00166716,-0.758278145695364,-0.00166715999983327,0,-0.00582713933953264
0.1,0.01292,0.030377447605133057,0.006492156069725752,-0.0014936821535229683,-0.004799738526344299,-0.0925615131855011,-0.00163348,-0.758278145695364,-0.00163347999958377,0,-0.00632342436563806
0.11,0.01101,0.030377447605133057,0.006492156069725752,-0.0014936821535229683,-0.004799738526344299,-0.0925615131855011,-0.00165874,-0.758278145695364,-0.00165873999958623,0,-0.00635982000025402
0.12,0.0,0.030377447605133057,0.006492156069725752,-0.0014936821535229683,-0.004799738526344299,-0.0925615131855011,0,-0.758278145695364,2.52106061721102e-13,0,-0.00906488955915728
0.13,0.0,0.030377447605133057,0.006492156069725752,-0.0014936821535229683,-0.004799738526344299,-0.0925615131855011,-0.00163348,-0.758278145695364,-0.00163347999983511,0,-0.0085848272308662
0.14,0.0,0.030377447605133057,0.006492156069725752,-0.0014936821535229683,-0.004799738526344299,-0.0925615131855011,-0.00166716,-0.758278145695364,-0.00166715999958285,0,-0.00887152986987943
0.15,0.0,0.030377447605133057,0.006492156069725752,-0.0014936821535229683,-0.004799738526344299,-0.0925615131855011,-0.00166716,-0.758278145695364,-0.00166715999958232,0,-0.00884562802442605
0.16,0.0,0.030377447605133057,0.006492156069725752,-0.0014936821535229683,-0.004799738526344299,-0.0925615131855011,-0.00166716,-0.758278145695364,-0.00166715999959581,0,-0.00852647989274243
0.17,0.0,0.030377447605133057,0.006492156069725752,-0.0014936821535229683,-0.004799738526344299,-0.0925615131855011,-0.00166716,-0.758278145695364,-0.00166715999960251,0,-0.0089348625382732
0.18,0.0,0.030377447605133057,0.006492156069725752,-0.0014936821535229683,-0.004799738526344299,-0.0925615131855011,-0.00166716,-0.758278145695364,-0.00166715999960464,0,-0.00894016131863845
0.19,0.0,0.030377447605133057,0.006492156069725752,-0.0014936821535229683,-0.004799738526344299,-0.0925615131855011,-0.00166716,-0.758278145695364,-0.00166715999960532,0,-0.00936554050072921
0.2,0.0,0.030377447605133057,0.006492156069725752,-0.0014936821535229683,-0.004799738526344299,-0.0925615131855011,-0.00170084,-0.758278145695364,-0.00170083999960209,0,-0.00811505602197956
0.21,0.0,0.030377447605133057,0.006492156069725752,-0.0014936821535229683,-0.004799738526344299,-0.0925615131855011,-0.00167558,-0.758278145695364,-0.00167557999959957,0,-0.00833461160436635
0.22,0.0,0.030377447605133057,0.006492156069725752,-0.0014936821535229683,-0.004799738526344299,-0.0925615131855011,-0.00170084,-0.758278145695364,-0.00170083999960088,0,-0.00860680506301982
0.23,0.0,0.030377447605133057,0.006492156069725752,-0.0014936821535229683,-0.004799738526344299,-0.0925615131855011,-0.00170084,-0.758278145695364,-0.00170083999959705,0,-0.00926742241135916
0.24,0.0,0.030377447605133057,0.006492156069725752,-0.0014936821535229683,-0.004799738526344299,-0.0925615131855011,-0.00170084,-0.758278145695364,-0.00170083999959705,0,-0.00894015636296174
0.25,0.0,0.030377447605133057,0.006492156069725752,-0.0014936821535229683,-0.004799738526344299,-0.0925615131855011,-0.00170084,-0.758278145695364,-0.00170083999959705,0,-0.00930829083313565
0.26,0.0,0.030377447605133057,0.006492156069725752,-0.0014936821535229683,-0.004799738526344299,-0.0925615131855011,-0.00170084,-0.758278145695364,-0.00170083999959705,0,-0.00957742733152963
0.27,0.0,0.030377447605133057,0.006492156069725752,-0.0014936821535229683,-0.004799738526344299,-0.0925615131855011,0,-0.758278145695364,2.3286364156383e-13,0,-0.0109365743746184
