time,veh_u,veh_v,model_RNN_lon_2020.pt
0.0,0.05073,0.0,0.03782200813293457
0.01,0.04555,0.0,0.03782200813293457
0.02,0.04022,0.0,0.03782200813293457
0.03,0.0348,0.0,0.03782200813293457
0.04,0.02931,0.0,0.03782200813293457
0.05,0.0238,0.0,0.03782200813293457
0.06,0.0183,0.0,0.03782200813293457
0.07,0.01284,0.0,0.03782200813293457
0.08,0.0,0.0,0.03782200813293457
0.09,0.0,0.0,0.03782200813293457
0.1,0.0,0.0,0.03782200813293457
0.11,0.0,0.0,0.03782200813293457
0.12,0.0,0.0,0.03782200813293457
0.13,0.0,0.0,0.03782200813293457
0.14,0.0,0.0,0.03782200813293457
0.15,0.0,0.0,0.03782200813293457
0.16,0.0,0.0,0.03782200813293457
0.17,0.0,0.0,0.03782200813293457
0.18,0.0,0.00166,0.03782200813293457
0.19,0.0,0.00241,0.03782200813293457
0.2,0.0,0.0031,0.03782200813293457
0.21,0.0,0.00374,0.03782200813293457
0.22,0.0,0.00432,0.03782200813293457
0.23,0.0,0.00485,0.03782200813293457
0.24,0.0,0.00532,0.03782200813293457
0.25,0.0,0.00574,0.03782200813293457
0.26,0.0,0.0061,0.03782200813293457
0.27,0.0,0.0064,0.03782200813293457
0.28,0.0,0.00665,0.03782200813293457
0.29,0.0,0.00685,0.03782200813293457
0.3,0.0,0.00701,0.03782200813293457
0.31,0.0,0.00711,0.03782200813293457
0.32,0.0,0.00717,0.03782200813293457
0.33,0.0,0.00719,0.03782200813293457
0.34,0.0,0.00716,0.03782200813293457
0.35,0.0,0.00711,0.03782200813293457
0.36,0.0,0.007,0.03782200813293457
0.37,0.0,0.00687,0.03782200813293457
0.38,0.0,0.0067,0.03782200813293457
0.39,0.0,0.00651,0.03782200813293457
0.4,0.0,0.00629,0.038149625062942505
0.41,0.0,0.00609,0.037736743688583374
0.42,0.01188,0.00578,0.03677496314048767
0.43,0.015,0.00549,0.03571444749832153
0.44,0.01789,0.00519,0.03450667858123779
0.45,0.02053,0.00486,0.03309085965156555
0.46,0.02288,0.00453,0.0313410758972168
0.47,0.02455,0.00424,0.02971060574054718
0.48,0.02666,0.00381,0.028228551149368286
0.49,0.02805,0.00344,0.026971563696861267
