time,veh_u,veh_v,model_RNN_lon_2020.pt
0.0,0.0,0.0047,0.028895244002342224
0.01,0.0,0.00433,0.028895244002342224
0.02,0.0,0.00397,0.028895244002342224
0.03,0.0,0.00362,0.028895244002342224
0.04,0.0,0.00327,0.028895244002342224
0.05,0.0,0.00294,0.028895244002342224
0.06,0.0,0.00263,0.028895244002342224
0.07,0.0,0.00233,0.028895244002342224
0.08,0.0,0.00204,0.028895244002342224
0.09,0.0,0.00178,0.028895244002342224
0.1,0.0,0.00153,0.028895244002342224
0.11,0.0,0.00131,0.028895244002342224
0.12,0.0,0.00111,0.028895244002342224
0.13,0.0,0.0,0.028895244002342224
0.14,0.0,0.0,0.028895244002342224
0.15,0.0,0.0,0.028895244002342224
0.16,0.0,0.0,0.028895244002342224
0.17,0.0,0.0,0.028895244002342224
0.18,0.0,0.0,0.028895244002342224
0.19,0.0,0.0,0.028895244002342224
0.2,0.0,0.0,0.028895244002342224
0.21,0.0,0.0,0.028895244002342224
0.22,0.0,0.0,0.028895244002342224
0.23,0.0,0.0,0.028895244002342224
0.24,0.0,0.0,0.028895244002342224
0.25,0.0,0.0,0.028895244002342224
0.26,0.0,0.0,0.028895244002342224
0.27,0.0,0.0,0.028895244002342224
0.28,0.0,0.0,0.028895244002342224
0.29,0.0,0.0,0.028895244002342224
0.3,0.0,0.00103,0.028895244002342224
0.31,0.0,0.00117,0.028895244002342224
0.32,0.0,0.0013,0.028895244002342224
0.33,0.0,0.00144,0.028895244002342224
0.34,0.0,0.00158,0.028895244002342224
0.35,0.0,0.00169,0.028895244002342224
0.36,0.0,0.00184,0.028895244002342224
0.37,0.0,0.00196,0.028895244002342224
0.38,0.0,0.00207,0.028895244002342224
0.39,0.0,0.00217,0.028895244002342224
0.4,0.0,0.00224,0.029088646173477173
0.41,0.0,0.00229,0.029200375080108643
0.42,0.0,0.00234,0.029093459248542786
0.43,0.0,0.00235,0.02893492579460144
0.44,0.0,0.00234,0.028845086693763733
0.45,0.0,0.0023,0.02872203290462494
0.46,0.0,0.00222,0.02859656512737274
0.47,0.0,0.00214,0.028490394353866577
0.48,0.0,0.00197,0.02834075689315796
0.49,0.0,0.00179,0.028247520327568054
0.5,0.0,0.00157,0.028255343437194824
0.51,0.0,0.00132,0.02824641764163971
0.52,0.0,0.00103,0.02825707197189331
0.53,0.0,0.0,0.028327926993370056
0.54,0.0,0.0,0.028428882360458374
0.55,0.0,0.0,0.028354689478874207
