time,veh_u,veh_v,model_RNN_lon_2020.pt
0.0,0.0,0.01722,0.030043423175811768
0.01,0.0,0.01565,0.030043423175811768
0.02,0.0,0.01409,0.030043423175811768
0.03,0.0,0.01256,0.030043423175811768
0.04,0.0,0.01105,0.030043423175811768
0.05,0.0,0.00957,0.030043423175811768
0.06,0.0,0.00815,0.030043423175811768
0.07,0.0,0.00677,0.030043423175811768
0.08,0.0,0.00546,0.030043423175811768
0.09,0.0,0.00421,0.030043423175811768
0.1,0.0,0.00303,0.030043423175811768
0.11,0.0,0.00192,0.030043423175811768
0.12,0.0,0.0,0.030043423175811768
0.13,0.0,0.0,0.030043423175811768
0.14,0.0,0.0,0.030043423175811768
0.15,0.0,0.0,0.030043423175811768
0.16,0.0,0.0,0.030043423175811768
0.17,0.0,0.0,0.030043423175811768
0.18,0.0,0.0,0.030043423175811768
0.19,0.0,0.0,0.030043423175811768
0.2,0.0,0.0,0.030043423175811768
0.21,0.0,0.0,0.030043423175811768
0.22,0.0,0.0,0.030043423175811768
0.23,0.0,0.0,0.030043423175811768
0.24,0.0,0.0,0.030043423175811768
0.25,0.0,0.0,0.030043423175811768
0.26,0.0,0.0,0.030043423175811768
0.27,0.0,0.0,0.030043423175811768
0.28,0.0,0.0,0.030043423175811768
0.29,0.0,0.0,0.030043423175811768
0.3,0.0,0.0,0.030043423175811768
0.31,0.0,0.0,0.030043423175811768
0.32,0.01094,0.0,0.030043423175811768
0.33,0.01192,0.0,0.030043423175811768
0.34,0.01278,0.0,0.030043423175811768
0.35,0.01336,0.0,0.030043423175811768
0.36,0.01405,0.0,0.030043423175811768
0.37,0.01444,0.0,0.030043423175811768
0.38,0.01468,0.0,0.030043423175811768
0.39,0.01474,0.0,0.030043423175811768
0.4,0.01463,0.0,0.029152199625968933
0.41,0.01441,0.0,0.0282725989818573
0.42,0.01389,0.0,0.02742379903793335
0.43,0.01326,0.0,0.02641831338405609
0.44,0.01248,0.0,0.025333866477012634
0.45,0.01153,0.0,0.024258092045783997
0.46,0.01044,0.0,0.023306161165237427
0.47,0.0,0.0,0.02246910333633423
0.48,0.0,0.0,0.021762698888778687
0.49,0.0,0.0,0.021164193749427795
0.5,0.0,0.0,0.020783141255378723
0.51,0.0,0.0,0.020520582795143127
0.52,0.0,0.0,0.020359426736831665
0.53,0.0,0.0,0.020330652594566345
0.54,0.0,0.0,0.02050498127937317
0.55,0.0,0.0,0.02091430127620697
0.56,0.0,0.0,0.021618768572807312
0.57,0.0,0.0,0.02258598804473877
0.58,0.0,0.0,0.023626655340194702
0.59,0.0,0.0,0.024684518575668335
0.6,0.0,0.0,0.025545313954353333
