time,veh_u,veh_v,model_RNN_lon_2020.pt
0.0,0.02213,0.02112,0.026798561215400696
0.01,0.02182,0.01911,0.026798561215400696
0.02,0.02141,0.01713,0.026798561215400696
0.03,0.02088,0.01519,0.026798561215400696
0.04,0.02024,0.0133,0.026798561215400696
0.05,0.01948,0.01147,0.026798561215400696
0.06,0.01861,0.00972,0.026798561215400696
0.07,0.01763,0.00805,0.026798561215400696
0.08,0.01655,0.00649,0.026798561215400696
0.09,0.01536,0.00502,0.026798561215400696
0.1,0.01408,0.00367,0.026798561215400696
0.11,0.01272,0.00244,0.026798561215400696
0.12,0.01128,0.00133,0.026798561215400696
0.13,0.00174,0.0,0.026798561215400696
0.14,0.0,0.0,0.026798561215400696
0.15,0.0,0.0,0.026798561215400696
0.16,0.0,0.0,0.026798561215400696
0.17,0.0,0.0,0.026798561215400696
0.18,0.0,0.0,0.026798561215400696
0.19,0.0,0.0,0.026798561215400696
0.2,0.0,0.0,0.026798561215400696
0.21,0.0,0.0,0.026798561215400696
0.22,0.0,0.0,0.026798561215400696
0.23,0.0,0.0,0.026798561215400696
0.24,0.0,0.0,0.026798561215400696
0.25,0.0,0.0,0.026798561215400696
0.26,0.0,0.0,0.026798561215400696
0.27,0.0,0.0,0.026798561215400696
0.28,0.0,0.0,0.026798561215400696
0.29,0.0,0.0,0.026798561215400696
0.3,0.0,0.0,0.026798561215400696
0.31,0.0,0.0,0.026798561215400696
0.32,0.0,0.0,0.026798561215400696
0.33,0.0,0.0015,0.026798561215400696
0.34,0.0,0.00199,0.026798561215400696
0.35,0.0,0.00237,0.026798561215400696
0.36,0.0,0.0029,0.026798561215400696
0.37,0.0,0.00331,0.026798561215400696
0.38,0.0,0.00368,0.026798561215400696
0.39,0.0,0.00402,0.026798561215400696
0.4,0.0,0.0043,0.027536541223526
0.41,0.0,0.00451,0.028261810541152954
0.42,0.0,0.00475,0.02899274230003357
0.43,0.0,0.00491,0.029744848608970642
0.44,0.0,0.00503,0.030420899391174316
0.45,0.0,0.00511,0.031025052070617676
0.46,0.0,0.00515,0.0314340740442276
0.47,0.0,0.00516,0.03163614869117737
0.48,0.0,0.00513,0.031668975949287415
0.49,0.0,0.00508,0.03156919777393341
0.5,0.0,0.00501,0.0313347727060318
0.51,0.0,0.00492,0.03107224404811859
0.52,0.0,0.00482,0.03073933720588684
0.53,0.0,0.0047,0.03027917444705963
0.54,0.0,0.00459,0.029563963413238525
0.55,0.0,0.00447,0.028714090585708618
0.56,0.0,0.00435,0.027722269296646118
0.57,0.0,0.00426,0.026583299040794373
0.58,0.0,0.00414,0.025495171546936035
0.59,0.0,0.00404,0.024430006742477417
0.6,0.0,0.00396,0.023303791880607605
0.61,0.0,0.00388,0.022185400128364563
0.62,0.0,0.00382,0.021161168813705444
0.63,0.0,0.00377,0.02040068805217743
0.64,0.0,0.00374,0.019819676876068115
0.65,0.0,0.00371,0.0194503515958786
0.66,0.0,0.00368,0.01937425136566162
0.67,0.0,0.00367,0.019399389624595642
0.68,0.0,0.00365,0.019514352083206177
0.69,0.0,0.00363,0.019737303256988525
0.7,0.0,0.00361,0.020018547773361206
0.71,0.0,0.00358,0.020391687750816345
0.72,0.0,0.00353,0.020853862166404724
0.73,0.0,0.00348,0.02131253480911255
0.74,0.0,0.0034,0.02176085114479065
0.75,0.0,0.00331,0.022144004702568054
0.76,0.0,0.00319,0.022382095456123352
0.77,0.0,0.00304,0.022439882159233093
0.78,0.0,0.00287,0.022405728697776794
0.79,0.0,0.00267,0.0223236083984375
0.8,0.0,0.00244,0.022150114178657532
0.81,0.0,0.00218,0.022044867277145386
0.82,0.0,0.00195,0.02209015190601349
0.83,0.0,0.00164,0.02235586941242218
0.84,0.0,0.00124,0.02279619872570038
0.85,0.0,0.0,0.023407727479934692
0.86,0.0,0.0,0.024151191115379333
0.87,0.0,0.0,0.024940624833106995
0.88,0.0,0.0,0.0257854163646698
0.89,0.0,0.0,0.02662123739719391
0.9,0.0,0.0,0.027223587036132812
0.91,0.0,0.0,0.02770279347896576
0.92,0.0,0.0,0.028105884790420532
0.93,0.0,0.0,0.028390422463417053
0.94,0.0,0.0,0.028507933020591736
