time,veh_u,veh_v,model_RNN_lon_2020.pt
0.0,0.0,0.0,0.014630958437919617
0.01,0.0,0.0,0.014630958437919617
0.02,0.0,0.0,0.014630958437919617
0.03,0.0,0.0,0.014630958437919617
0.04,0.0,0.0,0.014630958437919617
0.05,0.0,0.0,0.014630958437919617
0.06,0.0,0.0,0.014630958437919617
0.07,0.0,0.0,0.014630958437919617
0.08,0.0,0.0,0.014630958437919617
0.09,0.0,0.0,0.014630958437919617
0.1,0.0,0.0,0.014630958437919617
0.11,0.0,0.0,0.014630958437919617
0.12,0.0,0.0,0.014630958437919617
0.13,0.0,0.0,0.014630958437919617
0.14,0.0,0.0,0.014630958437919617
0.15,0.0,0.00105,0.014630958437919617
0.16,0.0,0.00131,0.014630958437919617
0.17,0.0,0.00152,0.014630958437919617
0.18,0.0,0.0017,0.014630958437919617
0.19,0.0,0.00183,0.014630958437919617
0.2,0.0,0.00192,0.014630958437919617
0.21,0.0,0.00197,0.014630958437919617
0.22,0.0,0.00198,0.014630958437919617
0.23,0.0,0.00196,0.014630958437919617
0.24,0.0,0.0019,0.014630958437919617
0.25,0.0,0.0018,0.014630958437919617
0.26,0.0,0.00168,0.014630958437919617
0.27,0.0,0.00153,0.014630958437919617
0.28,0.0,0.00135,0.014630958437919617
0.29,0.0,0.00115,0.014630958437919617
0.3,0.0,0.0,0.014630958437919617
0.31,0.0,0.0,0.014630958437919617
0.32,0.0,0.0,0.014630958437919617
0.33,0.0,0.0,0.014630958437919617
0.34,0.0,0.0,0.014630958437919617
0.35,0.0,0.0,0.014630958437919617
0.36,0.0,0.0,0.014630958437919617
0.37,0.0,0.0,0.014630958437919617
0.38,0.0,0.0,0.014630958437919617
0.39,0.0,0.0,0.014630958437919617
0.4,0.0,0.0,0.01527494192123413
0.41,0.0,0.0,0.015819519758224487
0.42,0.0,0.0,0.016203254461288452
0.43,0.0,0.0,0.0162801593542099
0.44,0.0,0.0,0.016218408942222595
0.45,0.0,0.0,0.016052141785621643
0.46,0.0,0.0,0.01582704484462738
0.47,0.0,0.0,0.015674740076065063
0.48,0.0,0.0,0.015531226992607117
0.49,0.0,0.0,0.015437468886375427
0.5,0.0,0.0,0.015486881136894226
0.51,0.0,0.0,0.015572220087051392
0.52,0.0,0.0,0.015606671571731567
0.53,0.0,0.0,0.015686601400375366
0.54,0.0,0.0,0.015909478068351746
0.55,0.0,0.0,0.01620522141456604
0.56,0.0,0.0,0.01646941900253296
