Time,imu_COG_acc_x,imu_COG_acc_y,imu_COG_acc_z,imu_COG_gyro_roll_rate,imu_COG_gyro_pitch_rate,imu_COG_gyro_yaw_rate,wheel_speed_FL,wheel_speed_FR,wheel_speed_RL,wheel_speed_RR,drive_torque_FL,drive_torque_FR,drive_torque_RL,drive_torque_RR,brake_pressure_FL,brake_pressure_FR,brake_pressure_RL,brake_pressure_RR,rwa_FM,rwa_RM,veh_u,veh_v
0,0.40049,0,0,0,0,0.002,0,0,0,0,0,0,0,0,22.56667,22.56667,17.57895,17.57895,0.00676,0,0.02213,0.02112
0.01,0.37308,0,0,0,0,0,0,0,0,0,0,0,0,0,22.53333,22.53333,17.57895,17.57895,0.00675,0,0.02182,0.01911
0.02,0.34128,0,0,0,0,0,0,0,0,0,0,0,0,0,22.6,22.6,17.63158,17.63158,0.00675,0,0.02141,0.01713
0.03,0.29811,0,0,0,0,0.00199,0,0,0,0,0,0,0,0,22.63333,22.63333,17.68421,17.68421,0.00675,0,0.02088,0.01519
0.04,0.25103,0,0,0,0,0.00199,0,0,0,0,0,0,0,0,22.6,22.6,17.63158,17.63158,0.00674,0,0.02024,0.0133
0.05,0.21183,0,0,0,0,0.00195,0,0,0,0,0,0,0,0,22.6,22.6,17.63158,17.63158,0.00674,0,0.01948,0.01147
0.06,0.18003,0,0,0,0,0.00195,0,0,0,0,0,0,0,0,22.63333,22.63333,17.63158,17.63158,0.00673,0,0.01861,0.00972
0.07,0.14516,0,0,0,0,0.00195,0,0,0,0,0,0,0,0,22.63333,22.63333,17.68421,17.68421,0.00673,0,0.01763,0.00805
0.08,0.10199,0,0,0,0,0.00195,0,0,0,0,0,0,0,0,22.63333,22.63333,17.68421,17.68421,0.00673,0,0.01655,0.00649
0.09,0.09013,0,0,0.00196,0,0.00194,0,0,0,0,0,0,0,0,22.63333,22.63333,17.68421,17.68421,0.00673,0,0.01536,0.00502
0.1,0.05114,0,0,0.00195,0,0,0,0,0,0,0,0,0,0,22.63333,22.63333,17.68421,17.68421,0.00673,0,0.01408,0.00367
