Time,imu_COG_acc_x,imu_COG_acc_y,imu_COG_acc_z,imu_COG_gyro_roll_rate,imu_COG_gyro_pitch_rate,imu_COG_gyro_yaw_rate,wheel_speed_FL,wheel_speed_FR,wheel_speed_RL,wheel_speed_RR,drive_torque_FL,drive_torque_FR,drive_torque_RL,drive_torque_RR,brake_pressure_FL,brake_pressure_FR,brake_pressure_RL,brake_pressure_RR,rwa_FM,rwa_RM,veh_u,veh_v
0,0.15729,0,0,0,0,0,0,0,0,0,0.39891,0.39891,0.6275,0.6275,18.73333,18.73333,14.57895,14.57895,0.00162,0,0,0.0041
0.01,0.1771,0,0,0,0,0,0,0,0,0,0.39891,0.39891,0.6275,0.6275,18.73333,18.73333,14.57895,14.57895,0.00162,0,0,0.00348
0.02,0.20792,0,0,0,0,0,0,0,0,0,0.39891,0.39891,0.6275,0.6275,18.73333,18.73333,14.57895,14.57895,0.00162,0,0,0.00284
0.03,0.2271,0,0,0,0,0,0,0,0,0,0.39891,0.39891,0.6275,0.6275,18.73333,18.73333,14.57895,14.57895,0.00163,0,0,0.00218
0.04,0.24684,0,0,0,0,0,0,0,0,0,0.39891,0.39891,0.6275,0.6275,18.73333,18.73333,14.57895,14.57895,0.00163,0,0,0.00151
0.05,0.28611,0,0,0,0,0,0,0,0,0,0.39891,0.39891,0.85568,0.85568,18.66667,18.66667,14.52632,14.52632,0.00163,0,0,0
0.06,0.33646,0,0,0,0,0,0,0,0,0,0.39891,0.39891,0.85568,0.85568,18.66667,18.66667,14.57895,14.57895,0.00163,0,0,0
0.07,0.38347,0,0,0,0,0,0,0,0,0,0.68384,0.68384,0.85568,0.85568,18.63333,18.63333,14.52632,14.52632,0.00163,0,0,0
0.08,0.42273,0,0,0,0,0,0,0,0,0,0.68384,0.68384,0.85568,0.85568,18.63333,18.63333,14.52632,14.52632,0.00163,0,0,0
0.09,0.45377,0,0,0,0,0,0,0,0,0,0.68384,0.68384,0.6275,0.6275,18.63333,18.63333,14.52632,14.52632,0.00163,0,0,0
0.1,0.45747,0,0,0,0,0,0,0,0,0,0.8548,0.8548,0.6275,0.6275,18.6,18.6,14.52632,14.52632,0.00163,0,0,0
0.11,0.47748,0,0,0,0,0,0,0,0,0,0.8548,0.8548,0.34227,0.34227,18.6,18.6,14.52632,14.52632,0.00163,0,0,0
0.12,0.47309,0,0,0,0,0,0,0,0,0,0.68384,0.68384,0.34227,0.34227,18.6,18.6,14.52632,14.52632,0.00163,0,0,0
0.13,0.49234,0,0,0,0,0.00204,0,0,0,0,0.68384,0.68384,0.34227,0.34227,18.6,18.6,14.52632,14.52632,0.00163,0,0,0
0.14,0.48836,0,0,0,0,0.00205,0,0,0,0,0.39891,0.39891,0.34227,0.34227,18.6,18.6,14.52632,14.52632,0.00163,0,0,0
0.15,0.48439,0,0,0,0,0.00204,0,0,0,0,0.39891,0.39891,0.34227,0.34227,18.6,18.6,14.52632,14.52632,0.00162,0,0,0
0.16,0.49562,0,0,0,0,0.00204,0,0,0,0,0.39891,0.39891,0.34227,0.34227,18.6,18.6,14.52632,14.52632,0.00161,0,0,0
0.17,0.48746,0,0,0,0,0,0,0,0,0,0.68384,0.68384,0.34227,0.34227,18.6,18.6,14.52632,14.52632,0.00152,0,0,0
0.18,0.45628,0,0,0,0,0,0,0,0,0,0.39891,0.39891,0.34227,0.34227,18.6,18.6,14.52632,14.52632,0.00124,0,0,0
0.19,0.4445,0,0,0,0,0.00204,0,0,0,0,0.39891,0.39891,0.34227,0.34227,18.56667,18.56667,14.47368,14.47368,0,0,0.01207,0
0.2,0.4362,0,0,0,0,0,0,0,0,0,0.17096,0.17096,0.34227,0.34227,18.53333,18.53333,14.47368,14.47368,0,0,0.01437,0
0.21,0.39693,0,0,0,0,0,0,0,0,0,0.17096,0.17096,0.34227,0.34227,18.56667,18.56667,14.47368,14.47368,0,0,0.01639,0
0.22,0.36576,0,0,0,0,0,0,0,0,0,0.17096,0.17096,0.34227,0.34227,18.6,18.6,14.47368,14.47368,0,0,0.01813,0
0.23,0.35355,0,0,0,0,0,0,0,0,0,0.17096,0.17096,0.34227,0.34227,18.6,18.6,14.47368,14.47368,0,0,0.01958,0
0.24,0.3062,0,0,0,0,0,0,0,0,0,0.17096,0.17096,0.17114,0.17114,18.6,18.6,14.47368,14.47368,0,0,0.02074,0
0.25,0.28332,0,0,0,0,0,0,0,0,0,0.17096,0.17096,0.17114,0.17114,18.56667,18.56667,14.47368,14.47368,0,0,0.02162,0
0.26,0.25145,0,0,0,0,0,0,0,0,0,0,0,0.17114,0.17114,18.53333,18.53333,14.42105,14.42105,0,0,0.02221,0
0.27,0.2239,0,0,0,0,0,0,0,0,0,0,0,0.17114,0.17114,18.6,18.6,14.47368,14.47368,0,0,0.02252,0
