Time,imu_COG_acc_x,imu_COG_acc_y,imu_COG_acc_z,imu_COG_gyro_roll_rate,imu_COG_gyro_pitch_rate,imu_COG_gyro_yaw_rate,wheel_speed_FL,wheel_speed_FR,wheel_speed_RL,wheel_speed_RR,drive_torque_FL,drive_torque_FR,drive_torque_RL,drive_torque_RR,brake_pressure_FL,brake_pressure_FR,brake_pressure_RL,brake_pressure_RR,rwa_FM,rwa_RM,veh_u,veh_v
0,0.50782,0,0,0,0,0,0,0,0,0,0.39891,0.39891,0.17114,0.17114,22.33333,22.33333,17.36842,17.36842,0.00478,0,0,0.00701
0.01,0.49234,0,0,0,0,0,0,0,0,0,0.39891,0.39891,0.17114,0.17114,22.33333,22.33333,17.42105,17.42105,0.00478,0,0,0.0065
0.02,0.51138,0,0,0,0,0,0,0,0,0,0.39891,0.39891,0.17114,0.17114,22.33333,22.33333,17.42105,17.42105,0.00478,0,0,0.006
0.03,0.52268,0,0,0,0,0,0,0,0,0,0.39891,0.39891,0.17114,0.17114,22.33333,22.33333,17.42105,17.42105,0.00478,0,0,0.00551
0.04,0.47567,0,0,0,0,0.00204,0,0,0,0,0.39891,0.39891,0.17114,0.17114,22.33333,22.33333,17.42105,17.42105,0.00478,0,0,0.00504
0.05,0.44847,0,0,0,0,0,0,0,0,0,0.39891,0.39891,0.17114,0.17114,22.33333,22.33333,17.42105,17.42105,0.00478,0,0,0.00459
0.06,0.43229,0,0,0,0,0.00204,0,0,0,0,0.17096,0.17096,0.17114,0.17114,22.33333,22.33333,17.42105,17.42105,0.00478,0,0,0.00416
0.07,0.4281,0,0,0,0,0,0,0,0,0,0.17096,0.17096,0.17114,0.17114,22.36667,22.36667,17.42105,17.42105,0.00478,0,0,0.00375
0.08,0.39282,0,0,0,0,0,0,0,0,0,0.17096,0.17096,0.17114,0.17114,22.36667,22.36667,17.42105,17.42105,0.00478,0,0,0.00336
0.09,0.34211,0,0,0,0,0,0,0,0,0,0.17096,0.17096,0.17114,0.17114,22.36667,22.36667,17.42105,17.42105,0.00478,0,0.0044,0.00301
