Time,imu_COG_acc_x,imu_COG_acc_y,imu_COG_acc_z,imu_COG_gyro_roll_rate,imu_COG_gyro_pitch_rate,imu_COG_gyro_yaw_rate,wheel_speed_FL,wheel_speed_FR,wheel_speed_RL,wheel_speed_RR,drive_torque_FL,drive_torque_FR,drive_torque_RL,drive_torque_RR,brake_pressure_FL,brake_pressure_FR,brake_pressure_RL,brake_pressure_RR,rwa_FM,rwa_RM,veh_u,veh_v
0,0.16307,0.08148,0.08148,0,0,0.00203,0,0,0,0,0,0,0,0,19.46667,19.46667,15.15789,15.15789,0,0,0,0.039
0.01,0.15526,0.07757,0.07757,0,0,0,0,0,0,0,0,0,0,0,19.43333,19.43333,15.15789,15.15789,0,0,0,0.03657
0.02,0.14745,0.0932,0.0932,0,0,0.00202,0,0,0,0,0,0,0,0,19.46667,19.46667,15.15789,15.15789,0,0,0,0.03411
0.03,0.14738,0.08536,0.08536,0,0,0,0,0,0,0,0,0,0,0,19.43333,19.43333,15.15789,15.15789,0,0,0,0.03162
0.04,0.13957,0.08536,0.08536,0,0,0,0,0,0,0,0,0,0,0,19.43333,19.43333,15.15789,15.15789,0,0,0,0.02913
0.05,0.15498,0.0892,0.0892,0,0,0.00199,0,0,0,0,0,0,0,0,19.43333,19.43333,15.15789,15.15789,0,0,0,0.02664
0.06,0.17081,0.08536,0.08536,0,0,0,0,0,0,0,0,0,0,0,19.43333,19.43333,15.15789,15.15789,0,0,0,0.02417
0.07,0.16307,0.08929,0.08929,0,0,0,0,0,0,0,0,0,0,0,19.43333,19.43333,15.15789,15.15789,0,0,0,0.02173
0.08,0.163,0.09317,0.09317,0,0,0,0,0,0,0,0,0,0,0,19.43333,19.43333,15.15789,15.15789,0,0,0,0.01934
0.09,0.15498,0.0853,0.0853,0,0,0,0,0,0,0,0,0,0,0,19.43333,19.43333,15.15789,15.15789,0,0,0,0.017
0.1,0.1395,0.08925,0.08925,0,0,0,0,0,0,0,0,0,0,0,19.43333,19.43333,15.15789,15.15789,0,0,0,0.01473
0.11,0.14326,0.0892,0.0892,0,0,0,0,0,0,0,0,0,0,0,19.43333,19.43333,15.15789,15.15789,0,0,0,0.01255
0.12,0.15889,0.0853,0.0853,0,0,0,0,0,0,0,0,0,0,0,19.43333,19.43333,15.15789,15.15789,0,0,0,0.01045
0.13,0.1591,0.08927,0.08927,0,0,0.00199,0,0,0,0,0,0,0,0,19.43333,19.43333,15.15789,15.15789,0,0,0,0.00845
0.14,0.16293,0.09706,0.09706,0,0,0,0,0,0,0,0,0,0,0,19.43333,19.43333,15.15789,15.15789,0,0,0,0.00656
0.15,0.16307,0.08148,0.08148,0,0,0,0,0,0,0,0,0,0,0,19.43333,19.43333,15.15789,15.15789,0,0,0,0.00479
0.16,0.15114,0.08922,0.08922,0,0,0,0,0,0,0,0,0,0,0,19.43333,19.43333,15.15789,15.15789,0,0,0,0.00314
0.17,0.14361,0.0815,0.0815,0,0,0,0,0,0,0,0,0,0,0,19.43333,19.43333,15.15789,15.15789,0,0,0,0.00161
0.18,0.14347,0.08536,0.08536,0,0,0,0,0,0,0,0,0,0,0,19.43333,19.43333,15.15789,15.15789,0,0,0,0
0.19,0.14731,0.08143,0.08143,0,0,0,0,0,0,0,0,0,0,0,19.43333,19.43333,15.15789,15.15789,0,0,0,0
0.2,0.1591,0.09317,0.09317,0,0,0,0,0,0,0,0,0,0,0,19.43333,19.43333,15.15789,15.15789,0,0,0,0
0.21,0.15916,0.08929,0.08929,0,0,0,0,0,0,0,0,0,0,0,19.43333,19.43333,15.15789,15.15789,0,0,0,0
0.22,0.15128,0.08927,0.08927,0,0,0,0,0,0,0,0,0,0,0,19.43333,19.43333,15.15789,15.15789,0,0,0,0
0.23,0.14724,0.08532,0.08532,0,0,0,0,0,0,0,0,0,0,0,19.43333,19.43333,15.15789,15.15789,0,0,0,0
0.24,0.13964,0.08929,0.08929,0,0,0,0,0,0,0,0,0,0,0,19.43333,19.43333,15.15789,15.15789,0,0,0,0
0.25,0.14738,0.08536,0.08536,0,0,0,0,0,0,0,0,0,0,0,19.43333,19.43333,15.15789,15.15789,0,0,0,0
0.26,0.1591,0.08536,0.08536,0,0,0.00203,0,0,0,0,0,0,0,0,19.43333,19.43333,15.15789,15.15789,0,0,0,0
0.27,0.16293,0.08925,0.08925,0,0,0,0,0,0,0,0,0,0,0,19.43333,19.43333,15.15789,15.15789,0,0,0,0
0.28,0.16307,0.08538,0.08538,0,0,0,0,0,0,0,0,0,0,0,19.43333,19.43333,15.15789,15.15789,0,0,0,0
0.29,0.15533,0.0815,0.0815,0,0,0,0,0,0,0,0,0,0,0,19.43333,19.43333,15.15789,15.15789,0,0,0,0
0.3,0.1395,0.08925,0.08925,0,0,0,0,0,0,0,0,0,0,0,19.43333,19.43333,15.15789,15.15789,0,0,0,0
0.31,0.14354,0.08929,0.08929,0,0,0,0,0,0,0,0,0,0,0,19.43333,19.43333,15.15789,15.15789,0,0,0,0
0.32,0.14354,0.08538,0.08538,0,0,0,0,0,0,0,0,0,0,0,19.43333,19.43333,15.15789,15.15789,0,0,0,0
0.33,0.15519,0.08536,0.08536,0,0,0,0,0,0,0,0,0,0,0,19.43333,19.43333,15.15789,15.15789,0,0,0,0
0.34,0.16307,0.08929,0.08929,0,0,0.00199,0,0,0,0,0,0,0,0,19.43333,19.43333,15.15789,15.15789,0,0,0,0
0.35,0.16293,0.08534,0.08534,0,0,0,0,0,0,0,0,0,0,0,19.43333,19.43333,15.15789,15.15789,0,0,0,0
0.36,0.163,0.08927,0.08927,0,0,0,0,0,0,0,0,0,0,0,19.43333,19.43333,15.15789,15.15789,0,0,0,0
0.37,0.14738,0.08146,0.08146,0,0,0,0,0,0,0,0,0,0,0,19.43333,19.43333,15.15789,15.15789,0,0,0,0
0.38,0.13573,0.08929,0.08929,0,0,0,0,0,0,0,0,0,0,0,19.43333,19.43333,15.15789,15.15789,0,0,0,0
0.39,0.15128,0.08146,0.08146,0,0,0,0,0,0,0,0,0,0,0,19.43333,19.43333,15.15789,15.15789,0,0,0,0
