Time,imu_COG_acc_x,imu_COG_acc_y,imu_COG_acc_z,imu_COG_gyro_roll_rate,imu_COG_gyro_pitch_rate,imu_COG_gyro_yaw_rate,wheel_speed_FL,wheel_speed_FR,wheel_speed_RL,wheel_speed_RR,drive_torque_FL,drive_torque_FR,drive_torque_RL,drive_torque_RR,brake_pressure_FL,brake_pressure_FR,brake_pressure_RL,brake_pressure_RR,rwa_FM,rwa_RM,veh_u,veh_v
0,0.17382,0,0,0,0,0.00199,0,0,0,0,2.90631,2.90631,3.36566,3.36566,11.33333,11.33333,8.84211,8.84211,0,0,0.0156,0
0.01,0.16203,0,0,0,0,0,0,0,0,0,2.90631,2.90631,3.08043,3.08043,11.33333,11.33333,8.84211,8.84211,0,0,0.01459,0
0.02,0.13874,0,0,0,0,0,0,0,0,0,2.90631,2.90631,3.36566,3.36566,11.36667,11.36667,8.84211,8.84211,0,0,0.01351,0
0.03,0.11928,0,0,0,0,0.00199,0,0,0,0,2.90631,2.90631,3.36566,3.36566,11.33333,11.33333,8.84211,8.84211,0,0,0.01238,0
0.04,0.1038,0,0,0,0,0,0,0,0,0,2.90631,2.90631,3.36566,3.36566,11.3,11.3,8.78947,8.78947,0,0,0.0112,0
0.05,0.09187,0,0,0,0,0,0,0,0,0,3.13426,3.13426,3.08043,3.08043,11.3,11.3,8.78947,8.78947,0,0,0,0
0.06,0.08845,0,0,0,0,0,0,0,0,0,3.13426,3.13426,3.36566,3.36566,11.3,11.3,8.78947,8.78947,0,0,0,0
0.07,0.07653,0,0,0,0,0,0,0,0,0,3.13426,3.13426,3.36566,3.36566,11.3,11.3,8.78947,8.78947,0,0,0,0
0.08,0.07276,0,0,0,0,0,0,0,0,0,3.13426,3.13426,3.08043,3.08043,11.3,11.3,8.78947,8.78947,0,0,0,0
0.09,0.06132,0,0,0,0,0,0,0,0,0,3.13426,3.13426,3.36566,3.36566,11.3,11.3,8.78947,8.78947,0,0,0,0
0.1,0.05323,0,0,0,0,0,0,0,0,0,3.13426,3.13426,3.08043,3.08043,11.3,11.3,8.78947,8.78947,0,0,0,0
0.11,0.04563,0,0,0,0,0,0,0,0,0,3.13426,3.13426,3.08043,3.08043,11.3,11.3,8.78947,8.78947,0,0,0,0
0.12,0.03796,0,0,0,0,0,0,0,0,0,3.13426,3.13426,3.36566,3.36566,11.3,11.3,8.78947,8.78947,0,0,0,0
0.13,0.03398,0,0,0,0,0,0,0,0,0,3.13426,3.13426,3.36566,3.36566,11.3,11.3,8.78947,8.78947,0,0,0,0
0.14,0.03796,0,0,0,0,0,0,0,0,0,3.13426,3.13426,3.36566,3.36566,11.3,11.3,8.78947,8.78947,0,0,0,0
0.15,0.04193,0,0,0,0,0,0,0,0,0,3.13426,3.13426,3.36566,3.36566,11.3,11.3,8.78947,8.78947,0,0,0,0
0.16,0.04207,0,0,0,0,0,0,0,0,0,3.13426,3.13426,3.36566,3.36566,11.3,11.3,8.78947,8.78947,0,0,0,0
0.17,0.04214,0,0,0,0,0,0,0,0,0,3.13426,3.13426,3.36566,3.36566,11.3,11.3,8.78947,8.78947,0,0,0,0
0.18,0.05379,0,0,0,0,0,0,0,0,0,3.13426,3.13426,3.36566,3.36566,11.3,11.3,8.78947,8.78947,0,0,0,0
0.19,0.05386,0,0,0,0,0,0,0,0,0,3.13426,3.13426,3.36566,3.36566,11.3,11.3,8.78947,8.78947,0,0,0,0
0.2,0.06181,0,0,0,0,0,0,0,0,0,3.13426,3.13426,3.36566,3.36566,11.3,11.3,8.78947,8.78947,0,0,0,0
0.21,0.06976,0,0,0,0,0,0,0,0,0,3.13426,3.13426,3.53679,3.53679,11.3,11.3,8.78947,8.78947,0,0,0,0
0.22,0.0775,0,0,0,0,0,0,0,0,0,3.41919,3.41919,3.36566,3.36566,11.3,11.3,8.78947,8.78947,0,0,0,0
0.23,0.08531,0,0,0,0,0,0,0,0,0,3.13426,3.13426,3.53679,3.53679,11.3,11.3,8.78947,8.78947,0,0,0,0
0.24,0.10094,0,0,0,0,0,0,0,0,0,3.13426,3.13426,3.36566,3.36566,11.3,11.3,8.78947,8.78947,0,0,0,0
0.25,0.10868,0,0,0,0,0,0,0,0,0,3.13426,3.13426,3.36566,3.36566,11.3,11.3,8.78947,8.78947,0,0,0,0
0.26,0.12437,0,0,0,0,0.002,0,0,0,0,3.41919,3.41919,3.53679,3.53679,11.26667,11.26667,8.78947,8.78947,0,0,0,0
0.27,0.12437,0,0,0,0,0.00203,0,0,0,0,3.13426,3.13426,3.36566,3.36566,11.26667,11.26667,8.78947,8.78947,0,0,0,0
0.28,0.13985,0,0,0,0,0,0,0,0,0,3.13426,3.13426,3.36566,3.36566,11.26667,11.26667,8.78947,8.78947,0,0,0,0
0.29,0.1515,0,0,0,0,0.002,0,0,0,0,3.13426,3.13426,3.36566,3.36566,11.26667,11.26667,8.78947,8.78947,0,0,0,0
0.3,0.16719,0,0,0,0,0.002,0,0,0,0,3.13426,3.13426,3.36566,3.36566,11.26667,11.26667,8.78947,8.78947,0,0,0,0
0.31,0.16712,0,0,0,0,0.00203,0,0,0,0,3.41919,3.41919,3.36566,3.36566,11.26667,11.26667,8.78947,8.78947,0,0,0,0
0.32,0.17877,0,0,0,0,0.002,0,0,0,0,3.13426,3.13426,3.36566,3.36566,11.26667,11.26667,8.78947,8.78947,0,0,0,0
0.33,0.17863,0,0,0,0,0.002,0,0,0,0,3.13426,3.13426,3.36566,3.36566,11.26667,11.26667,8.78947,8.78947,0,0,0,0
0.34,0.18637,0,0,0,0,0.00203,0,0,0,0,3.13426,3.13426,3.36566,3.36566,11.26667,11.26667,8.78947,8.78947,0,0,0,0
0.35,0.19816,0,0,0,0,0.00203,0,0,0,0,3.13426,3.13426,3.36566,3.36566,11.26667,11.26667,8.78947,8.78947,0,0,0,0
0.36,0.20207,0,0,0,0,0,0,0,0,0,3.13426,3.13426,3.36566,3.36566,11.26667,11.26667,8.78947,8.78947,0,0,0,0
0.37,0.20597,0,0,0,0,0,0,0,0,0,3.41919,3.41919,3.36566,3.36566,11.26667,11.26667,8.78947,8.78947,0,0,0,0
0.38,0.20597,0,0,0,0,0,0,0,0,0,3.41919,3.41919,3.36566,3.36566,11.26667,11.26667,8.78947,8.78947,0,0,0,0
0.39,0.21769,0,0,0,0,0,0,0,0,0,3.13426,3.13426,3.36566,3.36566,11.26667,11.26667,8.78947,8.78947,0,0,0,0
0.4,0.21385,0,0,0,0,0,0,0,0,0,3.13426,3.13426,3.36566,3.36566,11.26667,11.26667,8.78947,8.78947,0,0,0,0
0.41,0.20995,0,0,0,0,0,0,0,0,0,3.13426,3.13426,3.36566,3.36566,11.26667,11.26667,8.78947,8.78947,0,0,0,0
0.42,0.21762,0,0,0,0,0,0,0,0,0,3.13426,3.13426,3.36566,3.36566,11.26667,11.26667,8.78947,8.78947,0,0,0,0
0.43,0.20981,0,0,0,0,0,0,0,0,0,3.13426,3.13426,3.36566,3.36566,11.26667,11.26667,8.78947,8.78947,0,0,0,0
0.44,0.21755,0,0,0,0,0,0,0,0,0,3.13426,3.13426,3.36566,3.36566,11.23333,11.23333,8.73684,8.73684,0,0,0,0
0.45,0.2096,0,0,0,0,0,0,0,0,0,3.13426,3.13426,3.36566,3.36566,11.23333,11.23333,8.73684,8.73684,0,0,0,0
0.46,0.2135,0,0,0,0,0,0,0,0,0,3.13426,3.13426,3.36566,3.36566,11.26667,11.26667,8.78947,8.78947,0,0,0,0
