Time,imu_COG_acc_x,imu_COG_acc_y,imu_COG_acc_z,imu_COG_gyro_roll_rate,imu_COG_gyro_pitch_rate,imu_COG_gyro_yaw_rate,wheel_speed_FL,wheel_speed_FR,wheel_speed_RL,wheel_speed_RR,drive_torque_FL,drive_torque_FR,drive_torque_RL,drive_torque_RR,brake_pressure_FL,brake_pressure_FR,brake_pressure_RL,brake_pressure_RR,rwa_FM,rwa_RM,veh_u,veh_v
0,0.30556,0,0,0,0,0,0,0,0,0,0,0,0,0,35.9,35.9,28,28,0,0,0,0
0.01,0.3131,0,0,0,0,0,0,0,0,0,0,0,0,0,35.9,35.9,28,28,0,0,0,0
0.02,0.32907,0,0,0,0,0,0,0,0,0,0,0,0,0,35.86667,35.86667,27.94737,27.94737,0,0,0,0
0.03,0.32858,0,0,0,0,0,0,0,0,0,0,0,0,0,35.83333,35.83333,27.94737,27.94737,0,0,0,0
0.04,0.33283,0,0,0,0,0,0,0,0,0,0,0,0,0,35.9,35.9,28,28,0,0,0,0.00103
0.05,0.31651,0,0,0,0,0,0,0,0,0,0,0,0,0,35.86667,35.86667,27.94737,27.94737,0,0,0,0.00144
0.06,0.32467,0,0,0,0,0,0,0,0,0,0,0,0,0,35.83333,35.83333,27.94737,27.94737,0,0,0,0.00183
0.07,0.31993,0,0,0,0,0.002,0,0,0,0,0,0,0,0,35.83333,35.83333,27.94737,27.94737,0,0,0,0.00219
0.08,0.33583,0,0,0,0,0,0,0,0,0,0,0,0,0,35.83333,35.83333,27.94737,27.94737,0,0,0,0.00252
0.09,0.31979,0,0,0,0,0,0,0,0,0,0,0,0,0,35.83333,35.83333,27.94737,27.94737,0,0,0,0.00282
0.1,0.31212,0,0,0,0,0,0,0,0,0,0,0,0,0,35.83333,35.83333,27.94737,27.94737,0,0,0,0.00309
0.11,0.29196,0,0,0,0,0.00199,0,0,0,0,0,0,0,0,35.83333,35.83333,27.94737,27.94737,0,0,0,0.00332
0.12,0.2806,0,0,0,0,0.00199,0,0,0,0,0,0,0,0,35.83333,35.83333,27.94737,27.94737,0,0,0,0.00351
0.13,0.26442,0,0,0,0,0,0,0,0,0,0,0,0,0,35.86667,35.86667,27.94737,27.94737,0,0,0,0.00366
0.14,0.26051,0,0,0,0,0,0,0,0,0,0,0,0,0,35.83333,35.83333,27.94737,27.94737,0,0,0,0.00377
0.15,0.25221,0,0,0,0,0,0,0,0,0,0,0,0,0,35.9,35.9,28,28,0,0,0,0.00384
0.16,0.23289,0,0,0,0,0,0,0,0,0,0,0,0,0,35.86667,35.86667,27.94737,27.94737,0,0,0,0.00386
0.17,0.21692,0,0,0,0,0.00199,0,0,0,0,0,0,0,0,35.83333,35.83333,27.94737,27.94737,0,0,0,0.00384
0.18,0.20172,0,0,0,0,0.00202,0,0,0,0,0,0,0,0,35.86667,35.86667,28,28,0,0,0,0.00378
0.19,0.17773,0,0,0,0,0.00202,0,0,0,0,0,0,0,0,35.86667,35.86667,28,28,0,0,0,0.00368
0.2,0.16643,0,0,0,0,0,0,0,0,0,0,0,0,0,35.9,35.9,28,28,0,0,0,0.00355
0.21,0.16189,0,0,0,0,0,0,0,0,0,0,0,0,0,35.93333,35.93333,28.05263,28.05263,0,0,0,0.00337
0.22,0.16622,0,0,0,0,0,0,0,0,0,0,0,0,0,35.93333,35.93333,28.05263,28.05263,0,0,0,0.00317
0.23,0.15436,0,0,0,0,0,0,0,0,0,0,0,0,0,35.93333,35.93333,28.05263,28.05263,0,0,0,0.00293
0.24,0.14292,0,0,0,0,0,0,0,0,0,0,0,0,0,35.93333,35.93333,28.05263,28.05263,0,0,0,0.00266
0.25,0.12312,0,0,0,0,0,0,0,0,0,0,0,0,0,35.93333,35.93333,28.05263,28.05263,0,0,0,0.00237
0.26,0.11579,0,0,0,0,0,0,0,0,0,0,0,0,0,35.93333,35.93333,28.05263,28.05263,0,0,0,0.00205
0.27,0.09982,0,0,0,0,0,0,0,0,0,0,0,0,0,35.96667,35.96667,28.05263,28.05263,0,0,0,0.00172
0.28,0.10805,0,0,0,0,0,0,0,0,0,0,0,0,0,35.96667,35.96667,28.05263,28.05263,0,0,0,0.00137
0.29,0.11168,0,0,0,0,0,0,0,0,0,0,0,0,0,35.96667,35.96667,28.05263,28.05263,0,0,0,0.00102
0.3,0.11238,0,0,0,0,0,0,0,0,0,0,0,0,0,35.96667,35.96667,28.05263,28.05263,0,0,0,0
0.31,0.10805,0,0,0,0,0,0,0,0,0,0,0,0,0,35.96667,35.96667,28.05263,28.05263,0,0,0,0
0.32,0.10861,0,0,0,0,0,0,0,0,0,0,0,0,0,35.96667,35.96667,28.05263,28.05263,0,0,0,0
0.33,0.08894,0,0,0,0,0.002,0,0,0,0,0,0,0,0,35.96667,35.96667,28.05263,28.05263,0,0,0,0
0.34,0.11258,0,0,0,0,0,0,0,0,0,0,0,0,0,35.96667,35.96667,28.05263,28.05263,0,0,0,0
0.35,0.11614,0,0,0,0,0,0,0,0,0,0,0,0,0,35.96667,35.96667,28.05263,28.05263,0,0,0,0
0.36,0.15583,0,0,0,0,0.002,0,0,0,0,0,0,0,0,35.96667,35.96667,28.05263,28.05263,0,0,0,0
0.37,0.13588,0,0,0,0,0,0,0,0,0,0,0,0,0,35.96667,35.96667,28.05263,28.05263,0,0,0,0
0.38,0.1598,0,0,0,0,0,0,0,0,0,0,0,0,0,35.93333,35.93333,28,28,0,0,0,0
0.39,0.15959,0,0,0,0,0.002,0,0,0,0,0,0,0,0,35.93333,35.93333,28.05263,28.05263,0,0,0,0
0.4,0.15994,0,0,0,0,0,0,0,0,0,0,0,0,0,35.93333,35.93333,28.05263,28.05263,0,0,0,0
0.41,0.17131,0,0,0,0,0,0,0,0,0,0,0,0,0,35.93333,35.93333,28.05263,28.05263,0,0,0,0
0.42,0.19893,0,0,0,0,0.002,0,0,0,0,0,0,0,0,35.93333,35.93333,28.05263,28.05263,0,0,0,0
0.43,0.19851,0,0,0,0,0,0,0,0,0,0,0,0,0,35.96667,35.96667,28.05263,28.05263,0,0,0,0
0.44,0.22243,0,0,0,0,0,0,0,0,0,0,0,0,0,35.96667,35.96667,28.05263,28.05263,0,0,0,0
0.45,0.22578,0,0,0,0,0.002,0,0,0,0,0,0,0,0,35.93333,35.93333,28,28,0,0,0,0
