model_type;id;input_id;sequence_size;hidden_size;num_of_layers;step_size;input_size;output_size
GRU;2054;2;90;48;1;5;12;1
GRU;2055;2;90;48;2;5;12;1
GRU;2056;2;90;64;1;5;12;1
GRU;2057;2;90;64;2;5;12;1
GRU;2058;2;90;80;1;5;12;1
GRU;2059;2;90;80;2;5;12;1
GRU;2060;2;100;48;1;5;12;1
GRU;2061;2;100;48;2;5;12;1
GRU;2062;2;100;64;1;5;12;1
GRU;2063;2;100;64;2;5;12;1
GRU;2064;2;100;80;1;5;12;1
GRU;2065;2;100;80;2;5;12;1
GRU;2066;2;110;48;1;5;12;1
GRU;2067;2;110;48;2;5;12;1
GRU;2068;2;110;64;1;5;12;1
GRU;2069;2;110;64;2;5;12;1
GRU;2070;2;110;80;1;5;12;1
GRU;2071;2;110;80;2;5;12;1
GRU;2072;2;90;176;1;5;12;1
GRU;2073;2;90;176;2;5;12;1
GRU;2074;2;90;176;3;5;12;1
GRU;2075;2;90;192;1;5;12;1
GRU;2076;2;90;192;2;5;12;1
GRU;2077;2;90;192;3;5;12;1
GRU;2078;2;90;208;1;5;12;1
GRU;2079;2;90;208;2;5;12;1
GRU;2080;2;90;208;3;5;12;1
GRU;2081;2;100;176;1;5;12;1
GRU;2082;2;100;176;2;5;12;1
GRU;2083;2;100;176;3;5;12;1
GRU;2084;2;100;192;1;5;12;1
GRU;2085;2;100;192;2;5;12;1
GRU;2086;2;100;192;3;5;12;1
GRU;2087;2;100;208;1;5;12;1
GRU;2088;2;100;208;2;5;12;1
GRU;2089;2;100;208;3;5;12;1
GRU;2090;2;110;176;1;5;12;1
GRU;2091;2;110;176;2;5;12;1
GRU;2092;2;110;176;3;5;12;1
GRU;2093;2;110;192;1;5;12;1
GRU;2094;2;110;192;2;5;12;1
GRU;2095;2;110;192;3;5;12;1
GRU;2096;2;110;208;1;5;12;1
GRU;2097;2;110;208;2;5;12;1
GRU;2098;2;110;208;3;5;12;1
GRU;2099;2;40;80;1;5;12;1
GRU;2100;2;40;80;2;5;12;1
GRU;2101;2;40;80;3;5;12;1
GRU;2102;2;40;96;1;5;12;1
GRU;2103;2;40;96;2;5;12;1
GRU;2104;2;40;96;3;5;12;1
GRU;2105;2;40;112;1;5;12;1
GRU;2106;2;40;112;2;5;12;1
GRU;2107;2;40;112;3;5;12;1
GRU;2108;2;50;80;1;5;12;1
GRU;2109;2;50;80;2;5;12;1
GRU;2110;2;50;80;3;5;12;1
GRU;2111;2;50;96;1;5;12;1
GRU;2112;2;50;96;2;5;12;1
GRU;2113;2;50;96;3;5;12;1
GRU;2114;2;50;112;1;5;12;1
GRU;2115;2;50;112;2;5;12;1
GRU;2116;2;50;112;3;5;12;1
GRU;2117;2;60;80;1;5;12;1
GRU;2118;2;60;80;2;5;12;1
GRU;2119;2;60;80;3;5;12;1
GRU;2120;2;60;96;1;5;12;1
GRU;2121;2;60;96;2;5;12;1
GRU;2122;2;60;96;3;5;12;1
GRU;2123;2;60;112;1;5;12;1
GRU;2124;2;60;112;2;5;12;1
GRU;2125;2;60;112;3;5;12;1
