model_type;id;input_id;sequence_size;hidden_size;num_of_layers;step_size;input_size;output_size
LSTM;2126;2;40;176;1;5;12;1
LSTM;2127;2;40;176;2;5;12;1
LSTM;2128;2;40;176;3;5;12;1
LSTM;2129;2;40;192;1;5;12;1
LSTM;2130;2;40;192;2;5;12;1
LSTM;2131;2;40;192;3;5;12;1
LSTM;2132;2;40;208;1;5;12;1
LSTM;2133;2;40;208;2;5;12;1
LSTM;2134;2;40;208;3;5;12;1
LSTM;2135;2;50;176;1;5;12;1
LSTM;2136;2;50;176;2;5;12;1
LSTM;2137;2;50;176;3;5;12;1
LSTM;2138;2;50;192;1;5;12;1
LSTM;2139;2;50;192;2;5;12;1
LSTM;2140;2;50;192;3;5;12;1
LSTM;2141;2;50;208;1;5;12;1
LSTM;2142;2;50;208;2;5;12;1
LSTM;2143;2;50;208;3;5;12;1
LSTM;2144;2;60;176;1;5;12;1
LSTM;2145;2;60;176;2;5;12;1
LSTM;2146;2;60;176;3;5;12;1
LSTM;2147;2;60;192;1;5;12;1
LSTM;2148;2;60;192;2;5;12;1
LSTM;2149;2;60;192;3;5;12;1
LSTM;2150;2;60;208;1;5;12;1
LSTM;2151;2;60;208;2;5;12;1
LSTM;2152;2;60;208;3;5;12;1
LSTM;2153;2;90;176;1;5;12;1
LSTM;2154;2;90;176;2;5;12;1
LSTM;2155;2;90;192;1;5;12;1
LSTM;2156;2;90;192;2;5;12;1
LSTM;2157;2;90;208;1;5;12;1
LSTM;2158;2;90;208;2;5;12;1
LSTM;2159;2;100;176;1;5;12;1
LSTM;2160;2;100;176;2;5;12;1
LSTM;2161;2;100;192;1;5;12;1
LSTM;2162;2;100;192;2;5;12;1
LSTM;2163;2;100;208;1;5;12;1
LSTM;2164;2;100;208;2;5;12;1
LSTM;2165;2;110;176;1;5;12;1
LSTM;2166;2;110;176;2;5;12;1
LSTM;2167;2;110;192;1;5;12;1
LSTM;2168;2;110;192;2;5;12;1
LSTM;2169;2;110;208;1;5;12;1
LSTM;2170;2;110;208;2;5;12;1
LSTM;2171;2;90;80;1;5;12;1
LSTM;2172;2;90;80;2;5;12;1
LSTM;2173;2;90;80;3;5;12;1
LSTM;2174;2;90;96;1;5;12;1
LSTM;2175;2;90;96;2;5;12;1
LSTM;2176;2;90;96;3;5;12;1
LSTM;2177;2;90;112;1;5;12;1
LSTM;2178;2;90;112;2;5;12;1
LSTM;2179;2;90;112;3;5;12;1
LSTM;2180;2;100;80;1;5;12;1
LSTM;2181;2;100;80;2;5;12;1
LSTM;2182;2;100;80;3;5;12;1
LSTM;2183;2;100;96;1;5;12;1
LSTM;2184;2;100;96;2;5;12;1
LSTM;2185;2;100;96;3;5;12;1
LSTM;2186;2;100;112;1;5;12;1
LSTM;2187;2;100;112;2;5;12;1
LSTM;2188;2;100;112;3;5;12;1
LSTM;2189;2;110;80;1;5;12;1
LSTM;2190;2;110;80;2;5;12;1
LSTM;2191;2;110;80;3;5;12;1
LSTM;2192;2;110;96;1;5;12;1
LSTM;2193;2;110;96;2;5;12;1
LSTM;2194;2;110;96;3;5;12;1
LSTM;2195;2;110;112;1;5;12;1
LSTM;2196;2;110;112;2;5;12;1
LSTM;2197;2;110;112;3;5;12;1
